departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,48300.0
Legislatura Municipal,Seguro Social Federal,3772.0
Legislatura Municipal,Plan Medico,4320.0
Legislatura Municipal,Bono Navideno,1000.0
Legislatura Municipal,Compra de Uniformes,75.0
Legislatura Municipal,Telefono y Comunicaciones,400.0
Legislatura Municipal,Compra de Equipos,200.0
Legislatura Municipal,Dietas,24988.0
Legislatura Municipal,Adiestramientos,100.0
Legislatura Municipal,Gastos de Viaje,1250.0
Legislatura Municipal,Servicios Legales,6000.0
Legislatura Municipal,Cuotas y Suscripciones,900.0
Legislatura Municipal,Miscelaneos,500.0
Oficina del Alcalde(sa),Empleados Regulares,438416.0
Oficina del Alcalde(sa),Empleados Irregulares,542880.0
Oficina del Alcalde(sa),Seguro Social Federal,77365.0
Oficina del Alcalde(sa),Plan Medico,41040.0
Oficina del Alcalde(sa),Bono Navideno,30000.0
Oficina del Alcalde(sa),Adiestramientos,3000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,386266.0
Oficina del Alcalde(sa),Servicios No Profesionales,100.0
Oficina del Alcalde(sa),Relaciones Publicas,12000.0
Oficina del Alcalde(sa),Gastos de Viaje,2000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7600.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,2000.0
Oficina del Alcalde(sa),Franqueo,4000.0
Oficina del Alcalde(sa),Drogas, Medicinas y Otros Suministros,4000.0
Oficina del Alcalde(sa),Donaciones,20000.0
Oficina del Alcalde(sa),Becas,8400.0
Finanzas,Empleados Regulares,491952.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,10000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,35000.0
Finanzas,Seguro Choferil,2000.0
Finanzas,Seguro Social Federal,42034.0
Finanzas,Plan Medico,54000.0
Finanzas,Bono Navideno,12500.0
Finanzas,Seguros,291606.0
Finanzas,Seguro por Desempleo,50000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,226178.0
Finanzas,Materiales de Oficina,6000.0
Finanzas,Materiales de Mantenimiento,7000.0
Finanzas,Compra de Uniformes,15000.0
Finanzas,Energia Electrica,390477.0
Finanzas,Acueducto y Alcantarillados,275000.0
Finanzas,Telefono y Comunicaciones,51993.0
Finanzas,Materiales y Suministros de Operacion,5000.0
Finanzas,Vehiculos Municipales,75000.0
Finanzas,Compra de Equipos,10000.0
Finanzas,Dietas,700.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),19000.0
Finanzas,Pruebas de Dopaje,4000.0
Finanzas,Gastos de Viaje,8000.0
Finanzas,Servicios Legales,48000.0
Finanzas,Cargos por Servicios Bancarios,15000.0
Finanzas,Seguros,5500.0
Finanzas,Donaciones,15900.0
Finanzas,Renta de Edificios, Locales y Terrenos,2400.0
Finanzas,Intereses Cuentas Vendidas,284.0
Finanzas,Mantenimiento de Equipo,80000.0
Finanzas,Mantenimiento de Edificios,35000.0
Finanzas,Miscelaneos,25000.0
Finanzas,Pago de Sentencias y Reclamaciones,5000.0
Finanzas,Reclamaciones Anos Anteriores,100.0
Finanzas,Aportacion al Fondo de Equiparacion,836619.0
Finanzas,Aportacion al CRIM,103449.0
Finanzas,Festival o Actividad I,5000.0
Finanzas,Festival o Actividad II,10000.0
Finanzas,Otros Festivales o Actividades,55000.0
Finanzas,Transferencias que Salen,224953.0
Obras Publicas,Empleados Regulares,566796.0
Obras Publicas,Seguro Social Federal,44584.0
Obras Publicas,Plan Medico,69120.0
Obras Publicas,Bono Navideno,16000.0
Obras Publicas,Herramientas,5000.0
Obras Publicas,Materiales de Mantenimiento,1500.0
Obras Publicas,Combustible y Lubricantes,200000.0
Obras Publicas,Servicios de Ingenieria y Arquitectura,1000.0
Obras Publicas,Costos de Construccion,1000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,40929.0
Obras Publicas,Mantenimiento de Equipo,4000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,39479.08
Obras Publicas,Mantenimiento de Vehiculos,95000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,414780.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,32611.0
Oficina Municipal Manejo de Emergencias,Plan Medico,49680.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,11500.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,300.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,600.0
Oficina Municipal Manejo de Emergencias,Alimentos,500.0
Oficina Municipal Manejo de Emergencias,Combustible y Lubricantes,2000.0
Oficina Municipal Manejo de Emergencias,Telefono y Comunicaciones,800.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,300.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,100.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,700.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,300.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,1500.0
Guardia Municipal,Empleados Regulares,279060.0
Guardia Municipal,Seguro Social Federal,21884.0
Guardia Municipal,Plan Medico,30240.0
Guardia Municipal,Bono Navideno,7000.0
Recursos Humanos,Empleados Regulares,195396.0
Recursos Humanos,Seguro Social Federal,15331.0
Recursos Humanos,Plan Medico,21600.0
Recursos Humanos,Bono Navideno,5000.0
Recreacion y Deportes,Empleados Regulares,367032.0
Recreacion y Deportes,Seguro Social Federal,28920.0
Recreacion y Deportes,Plan Medico,47520.0
Recreacion y Deportes,Bono Navideno,11000.0
Recreacion y Deportes,Relaciones Publicas,55000.0
Centro de Envejecientes,Empleados Regulares,248976.0
Centro de Envejecientes,Seguro Social Federal,19583.0
Centro de Envejecientes,Plan Medico,30240.0
Centro de Envejecientes,Bono Navideno,7000.0
Centro de Envejecientes,Alimentos,12000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,5000.0
Cultura y Turismo,Empleados Regulares,84780.0
Cultura y Turismo,Seguro Social Federal,6639.0
Cultura y Turismo,Plan Medico,8640.0
Cultura y Turismo,Bono Navideno,2000.0
Centro de Cuidado Diurno,Empleados Regulares,55116.0
Centro de Cuidado Diurno,Seguro Social Federal,4599.0
Centro de Cuidado Diurno,Plan Medico,21600.0
Centro de Cuidado Diurno,Bono Navideno,5000.0
Secretaria Municipal,Empleados Regulares,67056.0
Secretaria Municipal,Seguro Social Federal,5245.0
Secretaria Municipal,Plan Medico,6480.0
Secretaria Municipal,Bono Navideno,1500.0
Auditoria Interna,Empleados Regulares,28644.0
Auditoria Interna,Seguro Social Federal,2230.0
Auditoria Interna,Plan Medico,2160.0
Auditoria Interna,Bono Navideno,500.0
Compras y Suministros,Empleados Regulares,119976.0
Compras y Suministros,Seguro Social Federal,9408.0
Compras y Suministros,Plan Medico,12960.0
Compras y Suministros,Bono Navideno,3000.0
Control Ambiental,Empleados Regulares,194196.0
Control Ambiental,Seguro Social Federal,15315.0
Control Ambiental,Plan Medico,25920.0
Control Ambiental,Bono Navideno,6000.0
Control Ambiental,Materiales de Mantenimiento,1000.0
Control Ambiental,Combustible y Lubricantes,4000.0
Control Ambiental,Disposicion de Desperdicios,2000.0
