departamento,ingreso,monto
Finanzas,Patentes,1500000.0
Finanzas,Impuesto Municipal sobre las Ventas,1100000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Fondo Desarrollo Municipal,285000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,25000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,75000.0
Finanzas,Licencias y Permisos,6000.0
Finanzas,Compensacion AEE,400188.0
Finanzas,Otros Ingresos Intergubernamentales,2717981.34
Finanzas,Compensaciones Estatales,0.0
Finanzas,Ingresos por Servicios Transportacion,250000.0
Finanzas,Multas,2000.0
Finanzas,Intereses en Inversiones,5000.0
Finanzas,Ingresos Eventuales,75000.0
Finanzas,Renta Locales y Propiedad Municipal,340000.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros Ingresos,40000.0
Contribucion,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2104172.74
Recaudos e Ingresos,Otros Ingresos,4000.0
