departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,234459.0
Legislatura Municipal,Empleados Transitorios,19596.0
Legislatura Municipal,Seguro Choferil,47.0
Planificacion y Desarrollo,Empleados Regulares,124395.0
Legislatura Municipal,Seguro Social Federal,20430.0
Legislatura Municipal,Plan Medico,24000.0
Legislatura Municipal,Bono de Verano,3000.0
Legislatura Municipal,Bono Navideno,10000.0
Legislatura Municipal,Materiales de Oficina,5000.0
Legislatura Municipal,Compra de Uniformes,2000.0
Legislatura Municipal,Equipo de Oficina,10000.0
Legislatura Municipal,Programas de Computadoras,2000.0
Legislatura Municipal,Compra de Equipos,5000.0
Legislatura Municipal,Dietas,125000.0
Legislatura Municipal,Adiestramientos,1500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,5000.0
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Servicios Legales,36000.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,8000.0
Legislatura Municipal,Mantenimiento de Equipo,2000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1500.0
Legislatura Municipal,Miscelaneos,10000.0
Legislatura Municipal,Publicaciones y Anuncios,5000.0
Legislatura Municipal,Franqueo,1000.0
Oficina del Alcalde(sa),Empleados Regulares,1652484.0
Oficina del Alcalde(sa),Empleados Transitorios,424068.0
Oficina del Alcalde(sa),Empleados Irregulares,317304.0
Oficina del Alcalde(sa),Seguro Choferil,312.0
Oficina del Alcalde(sa),Seguro Social Federal,192095.0
Oficina del Alcalde(sa),Plan Medico,206400.0
Oficina del Alcalde(sa),Bono de Verano,25200.0
Oficina del Alcalde(sa),Bono Navideno,92000.0
Oficina del Alcalde(sa),Compra de Uniformes,1000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Programas de Computadoras,17904.0
Oficina del Alcalde(sa),Compra de Equipos,10000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,202500.0
Oficina del Alcalde(sa),Relaciones Publicas,30000.0
Oficina del Alcalde(sa),Gastos de Viaje,8000.0
Oficina del Alcalde(sa),Servicios Legales,150000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,20000.0
Oficina del Alcalde(sa),Donaciones,120000.0
Oficina del Alcalde(sa),Miscelaneos,25000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,8000.0
Oficina del Alcalde(sa),Compra de Uniformes,6000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,11000.0
Oficina del Alcalde(sa),Equipo de Oficina,4000.0
Oficina del Alcalde(sa),Compra de Equipos,55000.0
Oficina del Alcalde(sa),Servicios No Profesionales,84000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,6000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,5000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,40000.0
Oficina del Alcalde(sa),Reparacion y Mantenimiento de Estructuras,6000.0
Oficina del Alcalde(sa),Miscelaneos,10000.0
Oficina del Alcalde(sa),Equipo de Oficina,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,3180.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Programas de Computadoras,126950.0
Oficina del Alcalde(sa),Compra de Equipos,10000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,49000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,500.0
Oficina del Alcalde(sa),Compra de Uniformes,2000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,2500.0
Oficina del Alcalde(sa),Equipo de Oficina,5000.0
