departamento,ingreso,monto
Finanzas,Patentes,19361842.0
Finanzas,Impuesto Municipal sobre las Ventas,4456303.0
Finanzas,Arbitrios de Construccion,1977187.0
Finanzas,Licencias y Permisos,56989.0
Finanzas,Compensacion AEE,1869344.0
Finanzas,Servicios de Salud,802192.0
Finanzas,Permisos de Uso Estadios y Coliseos,2500.0
Finanzas,Disposicion Derperdicios,10000.0
Finanzas,Otros Ingresos por Servicios,150000.0
Finanzas,Ingresos por Servicios Transportacion,18000.0
Finanzas,Multas,45000.0
Finanzas,Intereses en Inversiones,100000.0
Finanzas,Intereses Bancarios,38000.0
Finanzas,Ingresos Eventuales,3000.0
Finanzas,Renta Locales y Propiedad Municipal,195225.0
Finanzas,Otros Ingresos,30000.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros Ingresos,2000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),12420885.0
Finanzas,Patentes Anos AnterioresIntereses y,0.0
Finanzas,Recargos por Otros Ingresos,0.0
Finanzas,Intergubernamentale,455189.0
