departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,81876.0
Legislatura Municipal,Seguro Social Federal,6417.0
Legislatura Municipal,Plan Medico,4800.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,4500.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Dietas,56313.0
Legislatura Municipal,Adiestramientos,600.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,21800.0
Legislatura Municipal,Gastos de Viaje,3200.0
Legislatura Municipal,Servicios Legales,5000.0
Legislatura Municipal,Franqueo,500.0
Legislatura Municipal,Miscelaneos,500.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Oficina del Alcalde(sa),Empleados Regulares,428376.0
Oficina del Alcalde(sa),Seguro Social Federal,33345.0
Oficina del Alcalde(sa),Plan Medico,19200.0
Oficina del Alcalde(sa),Bono Navideno,7500.0
Oficina del Alcalde(sa),Materiales de Oficina,3477.0
Oficina del Alcalde(sa),Relaciones Publicas,4000.0
Oficina del Alcalde(sa),Donaciones,13750.0
Oficina del Alcalde(sa),Franqueo,12000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,9000.0
Finanzas,Empleados Regulares,119712.0
Finanzas,Empleados Transitorios,394920.0
Finanzas,Seguro Choferil,3120.0
Finanzas,Seguro Social Federal,52910.0
Finanzas,Plan Medico,40800.0
Finanzas,Seguro por Desempleo,48000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,334935.0
Finanzas,Bono Navideno,17000.0
Finanzas,Bono Navideno,10000.0
Finanzas,Beneficios Marginales,150000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),22500.0
Finanzas,Servicios Profesionales - No Clasificados,420385.0
Finanzas,Gastos de Transportacion a Estudiantes,65000.0
Finanzas,Servicios Legales,80100.0
Finanzas,Canon Excavaciones y Demoliciones,6000.0
Finanzas,Cargos por Servicios Bancarios,50000.0
Finanzas,Seguros,760000.0
Finanzas,Renta de Edificios, Locales y Terrenos,29771.0
Finanzas,Intereses Cuentas Vendidas,4098.0
Finanzas,Miscelaneos,12191.0
Finanzas,Pago de Sentencias y Reclamaciones,1500.0
Finanzas,Reclamaciones Anos Anteriores,1500.0
Finanzas,Aportacion al CRIM,229470.0
Finanzas,Materiales de Oficina,7500.0
Finanzas,Combustible y Lubricantes,275000.0
Finanzas,Energia Electrica,461733.0
Finanzas,Acueducto y Alcantarillados,350000.0
Finanzas,Telefono y Comunicaciones,60000.0
Obras Publicas,Empleados Regulares,482880.0
Obras Publicas,Empleados Transitorios,530112.0
Obras Publicas,Seguro Social Federal,80743.0
Obras Publicas,Plan Medico,102000.0
Obras Publicas,Bono Navideno,42472.0
Obras Publicas,Herramientas,600.0
Obras Publicas,Materiales de Construccion,3000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,35000.0
Obras Publicas,Mantenimiento de Vehiculos,85000.0
Obras Publicas,Miscelaneos,3000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,73548.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,174240.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,19759.0
Oficina Municipal Manejo de Emergencias,Plan Medico,25200.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,10500.0
Oficina Municipal Manejo de Emergencias,Alimentos,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,600.0
Guardia Municipal,Empleados Regulares,557496.0
Guardia Municipal,Empleados Transitorios,41784.0
Guardia Municipal,Seguro Social Federal,47258.0
Guardia Municipal,Plan Medico,44400.0
Guardia Municipal,Bono Navideno,18472.0
Guardia Municipal,Compra de Uniformes,2500.0
Guardia Municipal,Mantenimiento de Vehiculos,11000.0
Guardia Municipal,Miscelaneos,8340.0
Recursos Humanos,Empleados Regulares,78324.0
Recursos Humanos,Empleados Transitorios,209472.0
Recursos Humanos,Seguro Social Federal,22743.0
Recursos Humanos,Plan Medico,22800.0
Recursos Humanos,Bono Navideno,9500.0
Recursos Humanos,Materiales de Oficina,2400.0
Recursos Humanos,Adiestramientos,2800.0
Recursos Humanos,Pruebas de Dopaje,1000.0
Recursos Humanos,Drogas, Medicinas y Otros Suministros,4300.0
Recursos Humanos,Gastos de Viaje,200.0
Recursos Humanos,Miscelaneos,600.0
Recreacion y Deportes,Empleados Regulares,191352.0
Recreacion y Deportes,Empleados Transitorios,199440.0
Recreacion y Deportes,Seguro Social Federal,31190.0
Recreacion y Deportes,Plan Medico,40800.0
Recreacion y Deportes,Bono Navideno,16915.0
Recreacion y Deportes,Materiales de Mantenimiento,2300.0
Recreacion y Deportes,Materiales y Suministros de Operacion,5500.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,8000.0
Recreacion y Deportes,Miscelaneos,6500.0
Sanidad o Saneamiento,Empleados Regulares,45588.0
Sanidad o Saneamiento,Empleados Transitorios,13200.0
Sanidad o Saneamiento,Seguro Social Federal,4650.0
Sanidad o Saneamiento,Plan Medico,4800.0
Sanidad o Saneamiento,Bono Navideno,2000.0
Centro de Envejecientes,Empleados Regulares,152016.0
Centro de Envejecientes,Empleados Transitorios,681564.0
Centro de Envejecientes,Seguro Social Federal,66161.0
Centro de Envejecientes,Plan Medico,75600.0
Centro de Envejecientes,Bono Navideno,31274.0
Centro de Envejecientes,Compra de Uniformes,1500.0
Asuntos del Ciudadano,Empleados Regulares,38052.0
Asuntos del Ciudadano,Empleados Transitorios,100800.0
Asuntos del Ciudadano,Seguro Social Federal,11005.0
Asuntos del Ciudadano,Plan Medico,12000.0
Asuntos del Ciudadano,Bono Navideno,5000.0
Empresas Municipales,Empleados Regulares,112512.0
Empresas Municipales,Empleados Transitorios,318012.0
Empresas Municipales,Seguro Social Federal,34386.0
Empresas Municipales,Plan Medico,45600.0
Empresas Municipales,Bono Navideno,18972.0
Empresas Municipales,Materiales de Mantenimiento,3000.0
Empresas Municipales,Materiales y Suministros de Operacion,3000.0
Empresas Municipales,Reparacion y Mantenimiento de Estructuras,8000.0
Empresas Municipales,Miscelaneos,2000.0
Secretaria Municipal,Empleados Regulares,54372.0
Secretaria Municipal,Empleados Transitorios,53544.0
Secretaria Municipal,Seguro Social Federal,8523.0
Secretaria Municipal,Plan Medico,8400.0
Secretaria Municipal,Bono Navideno,3500.0
Secretaria Municipal,Materiales de Oficina,1320.0
Secretaria Municipal,Publicaciones y Anuncios,6000.0
Auditoria Interna,Empleados Regulares,28272.0
Auditoria Interna,Empleados Transitorios,26940.0
Auditoria Interna,Seguro Social Federal,4338.0
Auditoria Interna,Plan Medico,3600.0
Auditoria Interna,Bono Navideno,1500.0
Auditoria Interna,Materiales de Oficina,2000.0
Servicios Administrativos,Empleados Regulares,66780.0
Servicios Administrativos,Empleados Transitorios,120864.0
