departamento,ingreso,monto
Finanzas,Patentes,2247882.0
Finanzas,Impuesto Municipal sobre las Ventas,1898796.0
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Arbitrios de Construccion,100000.0
Finanzas,Licencias y Permisos,3500.0
Finanzas,Compensacion AEE,0.0
Finanzas,Otros Ingresos Intergubernamentales,3082891.0
Finanzas,Otros Ingresos por Servicios,7500.0
Finanzas,Ingresos por Servicios Transportacion,342000.0
Finanzas,Multas,1000.0
Finanzas,Intereses Bancarios,15000.0
Finanzas,Ingresos Eventuales,5000.0
Finanzas,Renta Locales y Propiedad Municipal,91046.0
Finanzas,Otros Ingresos,80000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),4724261.0
