departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,90180.0
Legislatura Municipal,Seguro Social Federal,7311.87
Legislatura Municipal,Plan Medico,6000.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,2500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,2000.0
Legislatura Municipal,Equipo de Oficina,5000.0
Legislatura Municipal,Dietas,23000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1000.0
Legislatura Municipal,Compra de Equipos,15000.0
Oficina del Alcalde(sa),Empleados Regulares,276732.0
Oficina del Alcalde(sa),Seguro Social Federal,21702.44
Oficina del Alcalde(sa),Plan Medico,16500.0
Oficina del Alcalde(sa),Bono Navideno,6600.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,20000.0
Oficina del Alcalde(sa),Servicios Legales,60000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Materiales de Oficina,2000.0
Oficina del Alcalde(sa),Equipo de Oficina,2000.0
Oficina del Alcalde(sa),Gastos de Representacion,30000.0
Oficina del Alcalde(sa),Relaciones Publicas,30000.0
Oficina del Alcalde(sa),Gastos de Viaje,10000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,10000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,10000.0
Oficina del Alcalde(sa),Festival o Actividad I,30000.0
Oficina del Alcalde(sa),Becas,12000.0
Oficina del Alcalde(sa),Fiestas Patronales,60000.0
Oficina del Alcalde(sa),Donaciones,15000.0
Oficina del Alcalde(sa),Equipo de Oficina,5000.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Festival o Actividad III,10000.0
Oficina del Alcalde(sa),Becas,5000.0
Oficina del Alcalde(sa),Miscelaneos,10000.0
Oficina del Alcalde(sa),Relaciones Publicas,15000.0
Oficina del Alcalde(sa),Relaciones Publicas,15079.67
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,80000.0
Finanzas,Empleados Regulares,201768.0
Finanzas,Empleados Transitorios,55536.0
Finanzas,Seguro Social Federal,20281.46
Finanzas,Plan Medico,19500.0
Finanzas,Bono Navideno,8400.0
Finanzas,Seguro Choferil,1000.0
Finanzas,Seguro por Desempleo,140000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,191319.07
Finanzas,Materiales de Oficina,5000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Energia Electrica,469681.85
Finanzas,Telefono y Comunicaciones,100000.0
Finanzas,Equipo de Oficina,8000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17000.0
Finanzas,Servicios Profesionales - No Clasificados,14000.0
Finanzas,Aportacion al Fondo de Equiparacion,421433.65
Finanzas,Seguros,300000.0
Finanzas,Renta de Equipos y Vehiculos,18000.0
Finanzas,Mantenimiento de Equipo,5000.0
Finanzas,Mantenimiento de Vehiculos,10000.0
Finanzas,Miscelaneos,10000.0
Finanzas,Franqueo,8000.0
Finanzas,Aportacion al CRIM,42289.44
Finanzas,Transferencias que Salen,70823.28
Finanzas,Intereses Cuentas Vendidas,5488.45
Finanzas,Liquidacion Deuda del CRIM,46173.81
Obras Publicas,Empleados Regulares,423360.0
Obras Publicas,Empleados Irregulares,212055.0
Obras Publicas,Seguro Social Federal,51133.74
Obras Publicas,Plan Medico,37500.0
Obras Publicas,Bono Navideno,24000.0
Obras Publicas,Equipo de Oficina,500.0
Obras Publicas,Materiales de Oficina,500.0
Obras Publicas,Materiales de Mantenimiento,40000.0
Obras Publicas,Gastos de Viaje,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,100000.0
Obras Publicas,Mantenimiento de Vehiculos,130000.0
Obras Publicas,Amortizacion de Principal de Prestamos,2000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Servicios de Ingenieria y Arquitectura,98838.68
Oficina Municipal Manejo de Emergencias,Empleados Regulares,62544.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,4922.32
Oficina Municipal Manejo de Emergencias,Plan Medico,4500.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,1800.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,500.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,500.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,2000.0
Guardia Municipal,Empleados Regulares,167952.0
Guardia Municipal,Seguro Social Federal,13261.43
Guardia Municipal,Plan Medico,18000.0
Guardia Municipal,Bono Navideno,6400.0
Guardia Municipal,Compra de Uniformes,3000.0
Guardia Municipal,Materiales de Oficina,500.0
Guardia Municipal,Compra de Equipos,1000.0
Guardia Municipal,Miscelaneos,5000.0
Recursos Humanos,Empleados Regulares,133752.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,45000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,40000.0
Recursos Humanos,Empleados Irregulares,282740.0
Recursos Humanos,Seguro Social Federal,44683.0
Recursos Humanos,Plan Medico,10500.0
Recursos Humanos,Bono Navideno,27600.0
Recursos Humanos,Beneficios Marginales,18000.0
Recursos Humanos,Equipo de Oficina,1000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,15000.0
Recursos Humanos,Servicios No Profesionales,15000.0
Recursos Humanos,Adiestramientos,1000.0
Recursos Humanos,Materiales de Oficina,500.0
Recursos Humanos,Pruebas de Dopaje,2000.0
Recursos Humanos,Miscelaneos,40000.0
Recursos Humanos,Pago de Sentencias y Reclamaciones,27750.0
Recursos Humanos,Miscelaneos,50000.0
Recreacion y Deportes,Empleados Regulares,172584.0
Recreacion y Deportes,Empleados Transitorios,18408.0
Recreacion y Deportes,Seguro Social Federal,15115.79
Recreacion y Deportes,Plan Medico,16500.0
Recreacion y Deportes,Bono Navideno,7800.0
Recreacion y Deportes,Materiales de Oficina,500.0
Recreacion y Deportes,Materiales de Mantenimiento,4000.0
Recreacion y Deportes,Compra de Equipos,6000.0
Recreacion y Deportes,Relaciones Publicas,4000.0
Recreacion y Deportes,Donaciones,6000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,20000.0
Recreacion y Deportes,Compra de Equipos,3000.0
Recreacion y Deportes,Servicios No Profesionales,5000.0
Recreacion y Deportes,Gastos de Viaje,5000.0
Recreacion y Deportes,Miscelaneos,500.0
Recreacion y Deportes,Festival o Actividad I,10000.0
Recreacion y Deportes,Festival o Actividad II,6000.0
Recreacion y Deportes,Festival o Actividad III,5000.0
Recreacion y Deportes,Otros Festivales o Actividades,15000.0
Recreacion y Deportes,Donaciones,10000.0
