departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,93720.0
Legislatura Municipal,Seguro Social Federal,7353.0
Legislatura Municipal,Plan Medico,8400.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Dietas,90000.0
Legislatura Municipal,Gastos de Representacion,1000.0
Legislatura Municipal,Adiestramientos,2320.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,46680.0
Legislatura Municipal,Servicios No Profesionales,13883.0
Legislatura Municipal,Relaciones Publicas,12000.0
Legislatura Municipal,Gastos de Viaje,3000.0
Legislatura Municipal,Servicios Legales,39600.0
Legislatura Municipal,Cuotas y Suscripciones,4800.0
Legislatura Municipal,Renta de Equipos y Vehiculos,2917.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Mantenimiento de Vehiculos,2000.0
Legislatura Municipal,Miscelaneos,10000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Otros Festivales o Actividades,10000.0
Oficina del Alcalde(sa),Empleados Regulares,195432.0
Oficina del Alcalde(sa),Empleados Transitorios,197616.0
Oficina del Alcalde(sa),Seguro Social Federal,30894.0
Oficina del Alcalde(sa),Plan Medico,37800.0
Oficina del Alcalde(sa),Bono Navideno,10800.0
Oficina del Alcalde(sa),Compra de Uniformes,200.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,504000.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Programas de Computadoras,40000.0
Oficina del Alcalde(sa),Compra de Equipos,25000.0
Oficina del Alcalde(sa),Gastos de Representacion,10000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,140500.0
Oficina del Alcalde(sa),Servicios No Profesionales,203335.0
Oficina del Alcalde(sa),Relaciones Publicas,15000.0
Oficina del Alcalde(sa),Gastos de Viaje,15000.0
Oficina del Alcalde(sa),Servicios Legales,62500.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,10000.0
Oficina del Alcalde(sa),Donaciones,80000.0
Finanzas,Empleados Regulares,119244.0
Finanzas,Empleados Transitorios,256668.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,100000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,300000.0
Finanzas,Seguro Choferil,4446.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,15510.0
Finanzas,Seguro Social Federal,87150.0
Finanzas,Plan Medico,37800.0
Finanzas,Seguro por Desempleo,40000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,549720.0
Finanzas,Bono de Verano,352500.0
Finanzas,Bono Navideno,10800.0
Finanzas,Interes y Penalidades,80.0
Finanzas,Compra de Uniformes,180.0
Finanzas,Energia Electrica,1087648.0
Finanzas,Acueducto y Alcantarillados,100000.0
Finanzas,Telefono y Comunicaciones,170000.0
Finanzas,Equipo de Oficina,3000.0
Finanzas,Programas de Computadoras,2000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),34900.0
Finanzas,Servicios Profesionales - No Clasificados,49925.0
Finanzas,Servicios No Profesionales,60682.0
Finanzas,Gastos de Viaje,2000.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,950000.0
Finanzas,Donaciones,56000.0
Finanzas,Renta de Equipos y Vehiculos,6600.0
Finanzas,Deficit,196251.0
Finanzas,Intereses Cuentas Vendidas,59618.0
Finanzas,Mantenimiento de Equipo,2000.0
Finanzas,Miscelaneos,92938.0
Finanzas,Pago de Sentencias y Reclamaciones,270867.0
Finanzas,Reclamaciones Anos Anteriores,180000.0
Finanzas,Aportacion al CRIM,194061.0
Finanzas,Miscelaneos,1128308.0
Finanzas,Transferencias que Salen,216486.0
Obras Publicas,Empleados Regulares,394074.0
Obras Publicas,Empleados Transitorios,696630.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,120000.0
Obras Publicas,Seguro Social Federal,86468.0
Obras Publicas,Plan Medico,138600.0
Obras Publicas,Bono Navideno,39600.0
Obras Publicas,Herramientas,300.0
Obras Publicas,Materiales de Mantenimiento,1000.0
Obras Publicas,Compra de Uniformes,5000.0
Obras Publicas,Combustible y Lubricantes,300000.0
Obras Publicas,Materiales de Construccion,300000.0
Obras Publicas,Materiales y Suministros de Operacion,15000.0
Obras Publicas,Equipo de Oficina,500.0
Obras Publicas,Compra de Equipos,400000.0
Obras Publicas,Costos de Construccion,800000.0
Obras Publicas,Renta de Equipos y Vehiculos,10000.0
Obras Publicas,Mantenimiento de Equipo,150000.0
Obras Publicas,Mantenimiento de Vehiculos,350000.0
Salud,Empleados Regulares,123504.0
Salud,Empleados Transitorios,1447596.0
Salud,Seguro Social Federal,123632.0
Salud,Plan Medico,157500.0
Salud,Bono Navideno,45000.0
Salud,Compra de Uniformes,1000.0
Salud,Materiales y Suministros de Operacion,200000.0
Salud,Compra de Equipos,4000.0
Salud,Servicios Profesionales - No Clasificados,939400.0
Salud,Renta de Equipos y Vehiculos,7593.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,112044.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,206268.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,25131.0
Oficina Municipal Manejo de Emergencias,Plan Medico,35700.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,10200.0
Oficina Municipal Manejo de Emergencias,Alimentos,2000.0
