departamento,ingreso,monto
Finanzas,Patentes,17093310.0
Finanzas,Impuesto Municipal sobre las Ventas,1009849.0
Finanzas,Intereses y Recargos por Demoras en Patentes,20000.0
Finanzas,Arbitrios de Construccion,300000.0
Finanzas,Licencias y Permisos,11000.0
Finanzas,Compensacion AEE,1087647.0
Finanzas,Otros Ingresos Intergubernamentales,3173975.0
Finanzas,Servicios Medicos Hospitalarios,850000.0
Finanzas,Disposicion Derperdicios,1189329.0
Finanzas,Multas,10000.0
Finanzas,Intereses Bancarios,10000.0
Finanzas,Ingresos Eventuales,50000.0
Finanzas,Renta Locales y Propiedad Municipal,55680.0
Finanzas,Otros Ingresos,50000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),4047068.0
