departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,43368.0
Legislatura Municipal,Empleados Transitorios,14736.0
Legislatura Municipal,Seguro Choferil,60.0
Legislatura Municipal,Seguro Social Federal,4628.55
Legislatura Municipal,Plan Medico,6300.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,1400.0
Legislatura Municipal,Compra de Equipos,5114.0
Legislatura Municipal,Dietas,55000.0
Legislatura Municipal,Gastos de Representacion,100.0
Legislatura Municipal,Servicios Legales,14400.0
Legislatura Municipal,Cuotas y Suscripciones,500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4041.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,4000.0
Oficina del Alcalde(sa),Empleados Regulares,498333.84
Oficina del Alcalde(sa),Empleados Transitorios,135603.84
Oficina del Alcalde(sa),Seguro Choferil,380.0
Oficina del Alcalde(sa),Seguro Social Federal,50577.03
Oficina del Alcalde(sa),Plan Medico,60900.0
Oficina del Alcalde(sa),Bono Navideno,27200.0
Oficina del Alcalde(sa),Gastos de Auditoria Sencilla (Single Audit),16900.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,120600.0
Oficina del Alcalde(sa),Donaciones,10000.0
Oficina del Alcalde(sa),Donaciones,125000.0
Oficina del Alcalde(sa),Gastos de Viaje,10000.0
Oficina del Alcalde(sa),Servicios Legales,127200.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,10000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,46080.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,5000.0
Oficina del Alcalde(sa),Relaciones Publicas,10000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,20000.0
Finanzas,Empleados Regulares,317100.0
Finanzas,Empleados Transitorios,78564.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,63682.44
Finanzas,Seguro Choferil,260.0
Finanzas,Seguro Social Federal,37245.1
Finanzas,Plan Medico,42000.0
Finanzas,Bono Navideno,31200.0
Finanzas,Tiempo Compensatorio Estatal,5000.0
Finanzas,Tiempo Compensatorio Federal,5000.0
Finanzas,Seguro por Desempleo,50000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,239681.0
Finanzas,Energia Electrica,319761.96
Finanzas,Acueducto y Alcantarillados,200000.0
Finanzas,Telefono y Comunicaciones,150000.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Gastos de Viaje,22000.0
Finanzas,Seguros,360000.0
Finanzas,Renta de Equipos y Vehiculos,66165.0
Finanzas,Deficit,65770.22
Finanzas,Intereses Cuentas Vendidas,7637.21
Finanzas,Mantenimiento de Equipo,111494.88
Finanzas,Miscelaneos,14478.32
Finanzas,Franqueo,10000.0
Finanzas,Pago de Sentencias y Reclamaciones,182949.8
Finanzas,Aportacion al Fondo de Equiparacion,1029112.06
Finanzas,Aportacion al CRIM,90345.62
Finanzas,Liquidacion Deuda del CRIM,25575.12
Obras Publicas,Compra de Uniformes,5000.0
Obras Publicas,Mantenimiento de Equipo,100000.0
Obras Publicas,Combustible y Lubricantes,190499.66
Obras Publicas,Empleados Regulares,679152.0
Obras Publicas,Empleados Transitorios,345469.2
Obras Publicas,Seguro Choferil,740.0
Obras Publicas,Seguro Social Federal,82667.52
Obras Publicas,Plan Medico,96600.0
Obras Publicas,Bono Navideno,56000.0
Obras Publicas,Materiales de Mantenimiento,5000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,16800.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,93252.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,119695.68
Oficina Municipal Manejo de Emergencias,Seguro Choferil,240.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,17086.1
Oficina Municipal Manejo de Emergencias,Plan Medico,8400.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,10400.0
Oficina Municipal Manejo de Emergencias,Alimentos,2000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,3000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,5000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,5000.0
Guardia Municipal,Empleados Regulares,116040.0
Guardia Municipal,Seguro Choferil,120.0
Guardia Municipal,Seguro Social Federal,9244.26
Guardia Municipal,Plan Medico,12600.0
Guardia Municipal,Bono Navideno,4800.0
Recursos Humanos,Empleados Regulares,144192.0
Recursos Humanos,Empleados Transitorios,42792.0
Recursos Humanos,Seguro Choferil,80.0
Recursos Humanos,Seguro Social Federal,14916.28
Recursos Humanos,Plan Medico,18900.0
Recursos Humanos,Bono Navideno,8000.0
Recursos Humanos,Drogas, Medicinas y Otros Suministros,4500.0
Recursos Humanos,Adiestramientos,6000.0
Recursos Humanos,Pruebas de Dopaje,2500.0
Recreacion y Deportes,Empleados Regulares,279252.0
Recreacion y Deportes,Empleados Transitorios,110082.96
Recreacion y Deportes,Seguro Choferil,280.0
Recreacion y Deportes,Seguro Social Federal,31375.33
Recreacion y Deportes,Plan Medico,37800.0
Recreacion y Deportes,Bono Navideno,20800.0
Recreacion y Deportes,Materiales y Suministros de Operacion,5000.0
Recreacion y Deportes,Otros Festivales o Actividades,10000.0
Sanidad o Saneamiento,Mantenimiento de Equipo,5000.0
Sanidad o Saneamiento,Empleados Regulares,128580.0
Sanidad o Saneamiento,Empleados Transitorios,47122.08
Sanidad o Saneamiento,Seguro Choferil,180.0
Sanidad o Saneamiento,Seguro Social Federal,14175.61
Sanidad o Saneamiento,Plan Medico,16800.0
Sanidad o Saneamiento,Bono Navideno,9600.0
Sanidad o Saneamiento,Materiales y Suministros de Operacion,5000.0
Centro de Envejecientes,Empleados Regulares,208668.0
Centro de Envejecientes,Empleados Transitorios,40388.4
Centro de Envejecientes,Seguro Choferil,80.0
Centro de Envejecientes,Seguro Social Federal,20032.01
Centro de Envejecientes,Plan Medico,31500.0
Centro de Envejecientes,Bono Navideno,12800.0
Centro de Envejecientes,Alimentos,6000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,2000.0
Centro de Envejecientes,Compra de Equipos,1020.0
Aportaciones Federales,Empleados Regulares,88272.0
Aportaciones Federales,Empleados Transitorios,47658.24
Aportaciones Federales,Seguro Choferil,40.0
Aportaciones Federales,Seguro Social Federal,11010.67
Aportaciones Federales,Plan Medico,12600.0
Aportaciones Federales,Bono Navideno,8000.0
Secretaria Municipal,Empleados Regulares,100980.0
Secretaria Municipal,Empleados Transitorios,44832.0
Secretaria Municipal,Seguro Choferil,60.0
Secretaria Municipal,Seguro Social Federal,11644.22
Secretaria Municipal,Plan Medico,10500.0
Secretaria Municipal,Bono Navideno,6400.0
Auditoria Interna,Empleados Regulares,32760.0
Auditoria Interna,Empleados Transitorios,16128.0
Auditoria Interna,Seguro Choferil,40.0
Auditoria Interna,Seguro Social Federal,3862.33
Auditoria Interna,Plan Medico,4200.0
Auditoria Interna,Bono Navideno,1600.0
Auditoria Interna,Materiales de Oficina,500.0
Auditoria Interna,Adiestramientos,500.0
Centro de Procesamiento de Datos,Empleados Regulares,58512.0
Centro de Procesamiento de Datos,Seguro Choferil,40.0
Centro de Procesamiento de Datos,Seguro Social Federal,4659.77
Centro de Procesamiento de Datos,Plan Medico,6300.0
Centro de Procesamiento de Datos,Bono Navideno,2400.0
Centro de Procesamiento de Datos,Mantenimiento de Equipo,4000.0
Planificacion y Desarrollo,Empleados Regulares,91152.0
Planificacion y Desarrollo,Empleados Transitorios,14136.0
Planificacion y Desarrollo,Seguro Choferil,80.0
Planificacion y Desarrollo,Seguro Social Federal,8360.53
Planificacion y Desarrollo,Plan Medico,10500.0
Planificacion y Desarrollo,Bono Navideno,4000.0
Compras y Suministros,Empleados Regulares,98748.0
Compras y Suministros,Empleados Transitorios,14136.0
Compras y Suministros,Seguro Choferil,120.0
Compras y Suministros,Seguro Social Federal,9064.02
Compras y Suministros,Plan Medico,12600.0
Compras y Suministros,Bono Navideno,5600.0
Compras y Suministros,Materiales de Oficina,30000.0
Compras y Suministros,Mantenimiento de Equipo,1000.0
Turismo,Empleados Regulares,198003.84
Turismo,Empleados Transitorios,28272.0
Turismo,Seguro Choferil,100.0
Turismo,Seguro Social Federal,18166.9
Turismo,Plan Medico,27300.0
