departamento,ingreso,monto
Finanzas,Patentes,774400.0
Finanzas,Impuesto Municipal sobre las Ventas,520973.0
Finanzas,Intereses y Recargos por Demoras en Patentes,25000.0
Finanzas,Arbitrios de Construccion,400000.0
Finanzas,Compensacion AEE,315651.0
Finanzas,Otros Ingresos Intergubernamentales,3663776.71
Finanzas,Permisos de Uso Parques y Recreos,12000.0
Finanzas,Disposicion Derperdicios,300000.0
Finanzas,Otros Ingresos por Servicios,15000.0
Finanzas,Multas,3000
Finanzas,Intereses en Inversiones,60.0
Finanzas,Ingresos Eventuales,1200000.0
Finanzas,Renta Locales y Propiedad Municipal,100780.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1982962.89
