departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,34980.0
Legislatura Municipal,Seguro Choferil,100.0
Legislatura Municipal,Seguro Social Federal,2768.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono Navideno,1200.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Materiales y Suministros de Operacion,500.0
Legislatura Municipal,Equipo de Oficina,2500.0
Legislatura Municipal,Dietas,30540.0
Legislatura Municipal,Gastos de Representacion,500.0
Legislatura Municipal,Adiestramientos,200.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,1500.0
Legislatura Municipal,Relaciones Publicas,4180.0
Legislatura Municipal,Gastos de Viaje,620.0
Legislatura Municipal,Servicios Legales,2000.0
Legislatura Municipal,Cuotas y Suscripciones,2100.0
Legislatura Municipal,Mantenimiento de Vehiculos,500.0
Legislatura Municipal,Publicaciones y Anuncios,2500.0
Legislatura Municipal,Franqueo,100.0
Oficina del Alcalde(sa),Empleados Regulares,275436.0
Oficina del Alcalde(sa),Seguro Choferil,100.0
Oficina del Alcalde(sa),Seguro Social Federal,21622.0
Oficina del Alcalde(sa),Plan Medico,23400.0
Oficina del Alcalde(sa),Bono Navideno,7200.0
Oficina del Alcalde(sa),Donaciones,5000.0
Oficina del Alcalde(sa),Gastos de Representacion,1500.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,74410.0
Oficina del Alcalde(sa),Gastos de Viaje,250.0
Oficina del Alcalde(sa),Servicios Legales,48000.0
Oficina del Alcalde(sa),Tasaciones,1000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Franqueo,5000.0
Oficina del Alcalde(sa),Relaciones Publicas,22000.0
Oficina del Alcalde(sa),Donaciones,1300.0
Oficina del Alcalde(sa),Donaciones,1000.0
Finanzas,Empleados Regulares,394092.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,30000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,40000.0
Finanzas,Seguro Choferil,125.0
Finanzas,Seguro Social Federal,41847.0
Finanzas,Plan Medico,46800.0
Finanzas,Bono de Verano,67320.0
Finanzas,Bono Navideno,15600.0
Finanzas,Seguro por Desempleo,80000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,250033.0
Finanzas,Materiales de Oficina,25000.0
Finanzas,Energia Electrica,273491.0
Finanzas,Acueducto y Alcantarillados,300000.0
Finanzas,Equipo de Oficina,8000.0
