departamento,ingreso,monto
Finanzas,Patentes,828710.0
Finanzas,Impuesto Municipal sobre las Ventas,941656.0
Finanzas,Intereses y Recargos por Demoras en Patentes,100000.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,500000.0
Finanzas,Licencias y Permisos,20000.0
Finanzas,Compensacion AEE,273491.0
Finanzas,Otros Ingresos Intergubernamentales,5130743.0
Finanzas,Compensaciones Estatales,85000.0
Finanzas,Ingresos por Servicios Transportacion,1030000.0
Finanzas,Multas,30000.0
Finanzas,Intereses en Inversiones,150000.0
Finanzas,Renta Locales y Propiedad Municipal,275886.0
Finanzas,Otros Ingresos,400000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1603728.0
Finanzas,Servicios Parques Diversiones,50000.0
Finanzas,Disposicion Derperdicios,100000.0
