departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,41196.0
Legislatura Municipal,Seguro Choferil,32.0
Legislatura Municipal,Seguro Social Federal,3228.0
Legislatura Municipal,Plan Medico,3120.0
Legislatura Municipal,Bono Navideno,1000.0
Legislatura Municipal,Materiales de Oficina,1400.0
Legislatura Municipal,Equipo de Oficina,500.0
Legislatura Municipal,Dietas,20000.0
Legislatura Municipal,Gastos de Representacion,250.0
Legislatura Municipal,Gastos de Viaje,1000.0
Legislatura Municipal,Cuotas y Suscripciones,2500.0
Legislatura Municipal,Publicaciones y Anuncios,800.0
Legislatura Municipal,Franqueo,500.0
Oficina del Alcalde(sa),Empleados Regulares,128846.0
Oficina del Alcalde(sa),Seguro Choferil,47.0
Oficina del Alcalde(sa),Seguro Social Federal,10010.0
Oficina del Alcalde(sa),Plan Medico,7800.0
Oficina del Alcalde(sa),Bono Navideno,2000.0
Oficina del Alcalde(sa),Materiales de Oficina,1000.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Dietas,800.0
Oficina del Alcalde(sa),Gastos de Representacion,1500.0
Oficina del Alcalde(sa),Relaciones Publicas,20000.0
Oficina del Alcalde(sa),Servicios Legales,54000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,3000.0
Oficina del Alcalde(sa),Donaciones,20000.0
Oficina del Alcalde(sa),Becas,14000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,300.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,500.0
Oficina del Alcalde(sa),Miscelaneos,2000.0
Oficina del Alcalde(sa),Franqueo,250.0
Finanzas,Empleados Regulares,343208.0
Finanzas,Pre-Retiro Voluntario,58872.0
Finanzas,Seguro Choferil,200.0
Finanzas,Seguro Social Federal,27021.0
Finanzas,Plan Medico,31200.0
Finanzas,Seguro por Desempleo,72000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,238216.0
Finanzas,Bono Navideno,10000.0
Finanzas,Tiempo Compensatorio Estatal,3500.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Materiales de Mantenimiento,1300.0
Finanzas,Energia Electrica,91342.0
Finanzas,Acueducto y Alcantarillados,90000.0
Finanzas,Telefono y Comunicaciones,36000.0
Finanzas,Materiales y Suministros de Operacion,5000.0
Finanzas,Equipo de Oficina,1200.0
Finanzas,Compra de Equipos,1000.0
Finanzas,Dietas,500.0
Finanzas,Mantenimiento de Biblioteca,3000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17000.0
Finanzas,Servicios Profesionales - No Clasificados,89000.0
Finanzas,Servicios No Profesionales,1500.0
Finanzas,Gastos de Viaje,2000.0
Finanzas,Seguros,200000.0
Finanzas,Renta de Edificios, Locales y Terrenos,10200.0
Finanzas,Renta de Equipos y Vehiculos,68200.0
Finanzas,Intereses Cuentas Vendidas,3168.0
Finanzas,Mantenimiento de Equipo,10000.0
Finanzas,Mantenimiento de Vehiculos,10014.0
Finanzas,Mantenimiento de Edificios,3500.0
Finanzas,Miscelaneos,15000.0
Finanzas,Franqueo,1000.0
Finanzas,Pago de Sentencias y Reclamaciones,500.0
Finanzas,Reclamaciones Anos Anteriores,25000.0
Finanzas,Aportacion al CRIM,23039.0
Finanzas,Liquidacion Deuda del CRIM,255775.0
Finanzas,Miscelaneos,661942.0
Finanzas,Transferencias que Salen,130281.0
Obras Publicas,Empleados Regulares,255058.0
Obras Publicas,Pre-Retiro Voluntario,15660.0
Obras Publicas,Empleados Irregulares,114792.0
Obras Publicas,Seguro Choferil,250.0
Obras Publicas,Seguro Social Federal,30104.0
Obras Publicas,Plan Medico,24960.0
Obras Publicas,Bono Navideno,8000.0
Obras Publicas,Materiales de Oficina,500.0
Obras Publicas,Combustible y Lubricantes,276267.0
Obras Publicas,Materiales de Mantenimiento,1500.0
Obras Publicas,Materiales y Suministros de Operacion,15000.0
Obras Publicas,Equipo de Oficina,1000.0
Obras Publicas,Costos de Construccion,500.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,2000.0
Obras Publicas,Mantenimiento de Equipo,5000.0
Obras Publicas,Mantenimiento de Vehiculos,35000.0
Obras Publicas,Miscelaneos,500.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,123350.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,203.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,9704.0
Oficina Municipal Manejo de Emergencias,Plan Medico,10920.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,3500.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,400.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,500.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,10000.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,200.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,500.0
Oficina Municipal Manejo de Emergencias,Dietas,2000.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,500.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,2000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,5000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,100.0
Guardia Municipal,Empleados Regulares,247021.0
Guardia Municipal,Seguro Choferil,265.0
Guardia Municipal,Seguro Social Federal,19471.0
Guardia Municipal,Plan Medico,21840.0
Guardia Municipal,Bono Navideno,7500.0
Guardia Municipal,Materiales de Oficina,500.0
Guardia Municipal,Compra de Uniformes,100.0
Guardia Municipal,Materiales y Suministros de Operacion,3000.0
Guardia Municipal,Dietas,500.0
Guardia Municipal,Mantenimiento de Equipo,500.0
Guardia Municipal,Mantenimiento de Vehiculos,2500.0
Guardia Municipal,Miscelaneos,200.0
Recursos Humanos,Empleados Regulares,97595.0
Recursos Humanos,Pre-Retiro Voluntario,20736.0
Recursos Humanos,Seguro Choferil,14.0
Recursos Humanos,Seguro Social Federal,7658.0
Recursos Humanos,Plan Medico,7800.0
Recursos Humanos,Bono Navideno,2500.0
Recursos Humanos,Materiales de Oficina,1500.0
Recursos Humanos,Equipo de Oficina,500.0
Recursos Humanos,Dietas,250.0
Recursos Humanos,Adiestramientos,25000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,20000.0
Recursos Humanos,Pruebas de Dopaje,3000.0
Recursos Humanos,Servicios Legales,20000.0
Recursos Humanos,Mantenimiento de Equipo,250.0
Recursos Humanos,Miscelaneos,1000.0
Recursos Humanos,Franqueo,100.0
Recreacion y Deportes,Empleados Regulares,126732.0
Recreacion y Deportes,Seguro Choferil,115.0
Recreacion y Deportes,Seguro Social Federal,10001.0
Recreacion y Deportes,Plan Medico,12480.0
Recreacion y Deportes,Bono Navideno,4000.0
Recreacion y Deportes,Materiales de Mantenimiento,4000.0
Recreacion y Deportes,Compra de Uniformes,3000.0
Recreacion y Deportes,Compra de Equipos,2500.0
Recreacion y Deportes,Dietas,100.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,30000.0
Recreacion y Deportes,Donaciones,2500.0
Recreacion y Deportes,Mantenimiento de Equipo,2000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,1000.0
Recreacion y Deportes,Miscelaneos,500.0
Recreacion y Deportes,Festival o Actividad III,37500.0
Sanidad o Saneamiento,Empleados Regulares,46914.0
Sanidad o Saneamiento,Seguro Choferil,95.0
Sanidad o Saneamiento,Seguro Social Federal,3704.0
Sanidad o Saneamiento,Plan Medico,4680.0
Sanidad o Saneamiento,Bono Navideno,1500.0
Sanidad o Saneamiento,Materiales de Mantenimiento,1500.0
Sanidad o Saneamiento,Materiales y Suministros de Operacion,30000.0
Sanidad o Saneamiento,Equipo de Mantenimiento,1200.0
Sanidad o Saneamiento,Dietas,150.0
Sanidad o Saneamiento,Renta de Edificios, Locales y Terrenos,6000.0
Sanidad o Saneamiento,Mantenimiento de Equipo,1000.0
Sanidad o Saneamiento,Mantenimiento de Vehiculos,30000.0
Sanidad o Saneamiento,Miscelaneos,500.0
Sanidad o Saneamiento,Disposicion de Desperdicios,65000.0
Sanidad o Saneamiento,Empleados Regulares,100833.0
Sanidad o Saneamiento,Seguro Choferil,30.0
