departamento,ingreso,monto
Finanzas,Patentes,69319.0
Finanzas,Impuesto Municipal sobre las Ventas,75000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,200.0
Finanzas,Fondo Desarrollo Municipal,651616.0
Finanzas,Intereses y Recargos por Demoras en Patentes,5000.0
Finanzas,Arbitrios de Construccion,50000.0
Finanzas,Licencias y Permisos,3000.0
Finanzas,Compensacion AEE,91342.0
Finanzas,Otros Ingresos Intergubernamentales,4325345.0
Finanzas,Permisos de Uso Estadios y Coliseos,100.0
Finanzas,Multas,300.0
Finanzas,Ingresos Eventuales,500.0
Finanzas,Renta Locales y Propiedad Municipal,44000.0
Finanzas,Otros Ingresos,118094.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),474707.0
