departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,77370.0
Legislatura Municipal,Materiales de Oficina,3000.0
Legislatura Municipal,Materiales de Mantenimiento,500.0
Legislatura Municipal,Materiales y Suministros de Operacion,1000.0
Legislatura Municipal,Equipo de Oficina,6000.0
Legislatura Municipal,Compra de Equipos,2000.0
Legislatura Municipal,Dietas,65000.0
Legislatura Municipal,Gastos de Representacion,2000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Gastos de Viaje,2000.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Mantenimiento de Equipo,1000.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Servicios Legales,32500.0
Oficina del Alcalde(sa),Empleados Regulares,385608.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,106500.0
Oficina del Alcalde(sa),Donaciones,1000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,72600.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,15000.0
Oficina del Alcalde(sa),Dietas,6200.0
Oficina del Alcalde(sa),Gastos de Representacion,23000.0
Oficina del Alcalde(sa),Mantenimiento de Biblioteca,2000.0
Oficina del Alcalde(sa),Servicios No Profesionales,64980.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Servicios Legales,90000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,11500.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,5000.0
Oficina del Alcalde(sa),Festival o Actividad I,3500.0
Oficina del Alcalde(sa),Donaciones,1000.0
Finanzas,Empleados Regulares,281089.2
Finanzas,Beneficio por Fondo del Seguro del Estado,228476.15
Finanzas,Interes y Penalidades,36705.96
Finanzas,Servicios Profesionales - No Clasificados,40000.0
Finanzas,Energia Electrica,455701.51
Finanzas,Acueducto y Alcantarillados,75000.0
Finanzas,Telefono y Comunicaciones,93780.0
Finanzas,Materiales y Suministros de Operacion,1500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),30000.0
Finanzas,Servicios Profesionales - No Clasificados,169640.0
Finanzas,Servicios Legales,26000.0
Finanzas,Cargos por Servicios Bancarios,10000.0
Finanzas,Seguros,535239.0
Finanzas,Cuotas y Suscripciones,1000.0
Finanzas,Renta de Equipos y Vehiculos,48703.0
Finanzas,Intereses y Recargos Adelanto Remesa,21151.7
Finanzas,Amortizacion de Principal de Prestamos,100.0
Finanzas,Deficit,322480.42
Finanzas,Reserva de Deficit,100.0
Finanzas,Miscelaneos,77796.08
Finanzas,Franqueo,6890.0
Finanzas,Pago de Sentencias y Reclamaciones,5000.0
Finanzas,Reclamaciones Anos Anteriores,100.0
Finanzas,Reserva,119058.7
Finanzas,Aportacion al Fondo de Equiparacion,688884.5
Finanzas,Aportacion al CRIM,169691.61
Finanzas,Liquidacion Deuda del CRIM,73645.58
Finanzas,Contribucion Propiedad Aplicada,13355.0
Obras Publicas,Empleados Regulares,155740.8
Obras Publicas,Herramientas,5000.0
Obras Publicas,Alimentos,5000.0
Obras Publicas,Compra de Uniformes,1000.0
Obras Publicas,Combustible y Lubricantes,200000.0
Obras Publicas,Materiales de Construccion,36550.54
Obras Publicas,Materiales y Suministros de Operacion,9500.0
Obras Publicas,Equipo de Mantenimiento,1000.0
Obras Publicas,Equipo de Construccion,800.0
Obras Publicas,Costos de Construccion,735495.88
Obras Publicas,Canon Excavaciones y Demoliciones,8000.0
Obras Publicas,Renta de Edificios, Locales y Terrenos,59500.0
Obras Publicas,Renta de Equipos y Vehiculos,128500.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,65000.0
Obras Publicas,Miscelaneos,1000.0
Obras Publicas,Disposicion de Desperdicios,706758.46
Obras Publicas,Transferencias que Salen,140025.0
Salud,Empleados Regulares,103387.2
Salud,Drogas, Medicinas y Otros Suministros,5000.0
Salud,Compra de Uniformes,2210.0
Salud,Materiales y Suministros de Operacion,1900.0
Salud,Equipo Medico,100.0
Salud,Miscelaneos,1000.0
Salud,Empleados Transitorios,541699.2
Salud,Miscelaneos,9600.0
Salud,Servicios Profesionales - No Clasificados,340000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,123525.6
Oficina Municipal Manejo de Emergencias,Herramientas,100.0
Oficina Municipal Manejo de Emergencias,Alimentos,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,1600.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,1000.0
Oficina Municipal Manejo de Emergencias,Equipo Medico,1000.0
Oficina Municipal Manejo de Emergencias,Renta de Edificios, Locales y Terrenos,12000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,1000.0
Guardia Municipal,Empleados Regulares,441356.4
Guardia Municipal,Compra de Uniformes,4250.0
Guardia Municipal,Materiales y Suministros de Operacion,1000.0
Guardia Municipal,Renta de Equipos y Vehiculos,1000.0
Guardia Municipal,Miscelaneos,500.0
Recursos Humanos,Empleados Regulares,173050.8
Recursos Humanos,Empleados Transitorios,905750.4
Recursos Humanos,Empleados Irregulares,894683.04
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,52000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,110000.0
Recursos Humanos,Seguro Choferil,500.0
Recursos Humanos,Seguro Social Federal,446416.27
Recursos Humanos,Plan Medico,318000.0
Recursos Humanos,Seguro por Desempleo,55108.8
Recursos Humanos,Bono Navideno,214200.0
Recursos Humanos,Servicios Profesionales - No Clasificados,3536.4
Recursos Humanos,Miscelaneos,1000.0
Recursos Humanos,Materiales y Suministros de Operacion,500.0
Recursos Humanos,Adiestramientos,5525.0
Recursos Humanos,Pruebas de Dopaje,2000.0
Recreacion y Deportes,Empleados Regulares,123873.6
Recreacion y Deportes,Servicios No Profesionales,20000.0
Recreacion y Deportes,Materiales de Mantenimiento,1000.0
Recreacion y Deportes,Compra de Uniformes,8500.0
Recreacion y Deportes,Materiales de Construccion,4250.0
Recreacion y Deportes,Materiales y Suministros de Operacion,5525.0
Recreacion y Deportes,Equipo de Mantenimiento,1000.0
Recreacion y Deportes,Cuotas y Suscripciones,25000.0
Recreacion y Deportes,Donaciones,65000.0
Recreacion y Deportes,Renta de Edificios, Locales y Terrenos,2600.0
Recreacion y Deportes,Mantenimiento de Equipo,5270.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,25000.0
Recreacion y Deportes,Mantenimiento de Edificios,4250.0
Recreacion y Deportes,Miscelaneos,8500.0
Recreacion y Deportes,Festival o Actividad I,5000.0
Centro de Envejecientes,Empleados Regulares,142993.2
Centro de Envejecientes,Alimentos,20000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,4250.0
Centro de Envejecientes,Miscelaneos,4420.0
Relaciones Publicas,Empleados Regulares,35602.32
Relaciones Publicas,Servicios No Profesionales,60000.0
Relaciones Publicas,Miscelaneos,6800.0
Relaciones Publicas,Materiales y Suministros de Operacion,100.0
Relaciones Publicas,Gastos de Representacion,100.0
Relaciones Publicas,Relaciones Publicas,6402.68
Relaciones Publicas,Publicaciones y Anuncios,1000.0
Relaciones Publicas,Festival o Actividad I,50000.0
Relaciones Publicas,Festival o Actividad II,15000.0
Relaciones Publicas,Festival o Actividad III,20000.0
Relaciones Publicas,Otros Festivales o Actividades,30000.0
Aportaciones Federales,Empleados Regulares,39513.6
Aportaciones Federales,Beneficios Marginales,15000.0
Aportaciones Federales,Servicios Profesionales - No Clasificados,30000.0
Aportaciones Federales,Miscelaneos,32600.0
Cultura y Turismo,Empleados Regulares,64014.0
Cultura y Turismo,Materiales y Suministros de Operacion,500.0
Asuntos del Ciudadano,Empleados Regulares,84217.8
Asuntos del Ciudadano,Drogas, Medicinas y Otros Suministros,2000.0
Asuntos del Ciudadano,Alimentos,7310.0
Asuntos del Ciudadano,Donaciones,10000.0
Asuntos del Ciudadano,Becas,40000.0
Asuntos del Ciudadano,Renta de Equipos y Vehiculos,13850.0
Secretaria Municipal,Empleados Regulares,56104.8
Secretaria Municipal,Materiales y Suministros de Operacion,500.0
Secretaria Municipal,Dietas,1500.0
Secretaria Municipal,Publicaciones y Anuncios,3100.0
Auditoria Interna,Empleados Regulares,91795.2
Auditoria Interna,Materiales y Suministros de Operacion,500.0
Gerencia y Presupuesto,Empleados Regulares,55338.0
Gerencia y Presupuesto,Miscelaneos,100.0
Centro de Procesamiento de Datos,Empleados Regulares,16723.2
Centro de Procesamiento de Datos,Programas de Computadoras,1000.0
Centro de Procesamiento de Datos,Servicios Profesionales - No Clasificados,9000.0
Centro de Procesamiento de Datos,Mantenimiento de Equipo,9000.0
Planificacion y Desarrollo,Empleados Regulares,48988.2
Planificacion y Desarrollo,Miscelaneos,100.0
Planificacion y Desarrollo,Servicios Profesionales - No Clasificados,36000.0
Servicios Administrativos,Empleados Regulares,136876.8
Servicios Administrativos,Materiales y Suministros de Operacion,100.0
Conservacion y Ornato,Empleados Regulares,36921.6
Conservacion y Ornato,Mantenimiento de Equipo,7225.0
Desarrollo Economico,Empleados Regulares,55246.8
Desarrollo Economico,Miscelaneos,500.0
Oficina del Alcalde(sa),Empleados Regulares,66181.8
Oficina del Alcalde(sa),Servicios No Profesionales,9600.0
Oficina del Alcalde(sa),Miscelaneos,100.0
Compras y Suministros,Empleados Regulares,52695.6
Compras y Suministros,Materiales de Oficina,20000.0
Compras y Suministros,Materiales de Mantenimiento,12000.0
Compras y Suministros,Equipo de Oficina,9000.0
Compras y Suministros,Equipo de Mantenimiento,4250.0
Compras y Suministros,Compra de Equipos,10000.0
Oficina de Permisos,Empleados Regulares,13881.6
Oficina de Permisos,Materiales y Suministros de Operacion,500.0
Reciclaje,Empleados Regulares,89208.0
Reciclaje,Materiales y Suministros de Operacion,1200.0
Mecanica y Transportacion,Empleados Regulares,41961.6
Mecanica y Transportacion,Equipo de Mecanica,4250.0
Mecanica y Transportacion,Mantenimiento de Equipo,10200.0
Mecanica y Transportacion,Mantenimiento de Vehiculos,100000.0
Asuntos de la Mujer,Empleados Regulares,54145.2
Asuntos de la Mujer,Miscelaneos,100.0
Asuntos de la Mujer,Festival o Actividad I,1000.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Empleados Regulares,45225.6
Contribucion Recaudos e Ingresos Municipales (CRIM),Miscelaneos,100.0
Facilidades Municipales,Empleados Regulares,24537.6
Facilidades Municipales,Herramientas,1000.0
Facilidades Municipales,Mantenimiento de Edificios,25000.0
