departamento,ingreso,monto
Finanzas,Patentes,5159730.0
Finanzas,Impuesto Municipal sobre las Ventas,1463315.0
Finanzas,Intereses y Recargos por Demoras en Patentes,17444.74
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,493875.0
Finanzas,Licencias y Permisos,11535.0
Finanzas,Compensacion AEE,455701.51
Finanzas,Otros Ingresos Intergubernamentales,2522024.93
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Parques y Recreos,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,0.0
Finanzas,Disposicion Derperdicios,1328.63
Finanzas,Otros Ingresos por Servicios,79.0
Finanzas,Multas,3061.36
Finanzas,Confiscaciones,0.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,9695.28
Finanzas,Estacionamiento,0.0
Finanzas,Ingresos EventualesRenta Locales y,10109.25
Finanzas,Propiedad Municipal,27175.0
Finanzas,Otros IngresosOtros Recursos,111060.85
Finanzas,FinancierosContribucion,0.0
Finanzas,Propiedad No,3508279.45
