departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,96250.0
Legislatura Municipal,Seguro Social Federal,7516.0
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,2500.0
Legislatura Municipal,Equipo de Oficina,5000.0
Legislatura Municipal,Dietas,40000.0
Legislatura Municipal,Adiestramientos,1400.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,9600.0
Legislatura Municipal,Gastos de Viaje,1500.0
Legislatura Municipal,Servicios Legales,37020.0
Legislatura Municipal,Seguros,1000.0
Legislatura Municipal,Cuotas y Suscripciones,4170.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,9600.0
Legislatura Municipal,Miscelaneos,2500.0
Oficina del Alcalde(sa),Empleados Regulares,238860.0
Oficina del Alcalde(sa),Empleados Transitorios,96642.0
Oficina del Alcalde(sa),Seguro Social Federal,26125.0
Oficina del Alcalde(sa),Plan Medico,12000.0
Oficina del Alcalde(sa),Bono Navideno,6000.0
Oficina del Alcalde(sa),Donaciones,60000.0
Oficina del Alcalde(sa),Materiales de Oficina,3000.0
Oficina del Alcalde(sa),Compra de Uniformes,30000.0
Oficina del Alcalde(sa),Compra de Equipos,2000.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Gastos de Transportacion a Estudiantes,10000.0
Oficina del Alcalde(sa),Servicios Legales,122400.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,15000.0
Oficina del Alcalde(sa),Franqueo,3000.0
Oficina del Alcalde(sa),Fiestas Patronales,90000.0
Oficina del Alcalde(sa),Festival o Actividad I,80000.0
Oficina del Alcalde(sa),Donaciones,45000.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Donaciones,15000.0
Oficina del Alcalde(sa),Donaciones,6000.0
Finanzas,Empleados Regulares,231659.0
Finanzas,Empleados Transitorios,159896.0
Finanzas,Seguro Choferil,2164.0
Finanzas,Seguro Social Federal,30681.0
Finanzas,Plan Medico,16800.0
Finanzas,Seguro por Desempleo,10000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,208476.0
Finanzas,Bono Navideno,9500.0
Finanzas,Materiales de Oficina,15000.0
Finanzas,Materiales de Mantenimiento,15000.0
Finanzas,Energia Electrica,325846.0
Finanzas,Acueducto y Alcantarillados,228000.0
Finanzas,Telefono y Comunicaciones,120456.0
Finanzas,Programas de Computadoras,2000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Servicios Profesionales - No Clasificados,226296.0
Finanzas,Servicios No Profesionales,36000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,10000.0
Finanzas,Seguros,300000.0
Finanzas,Renta de Edificios, Locales y Terrenos,2700.0
Finanzas,Renta de Equipos y Vehiculos,46380.0
Finanzas,Deficit,221663.0
Finanzas,Intereses Cuentas Vendidas,8920.0
Finanzas,Miscelaneos,53809.0
Finanzas,Pago de Sentencias y Reclamaciones,77035.0
Finanzas,Reclamaciones Anos Anteriores,15000.0
Finanzas,Aportacion al Fondo de Equiparacion,577124.0
Finanzas,Aportacion al CRIM,77140.0
Finanzas,Liquidacion Deuda del CRIM,66697.0
Finanzas,Transferencias que Salen,33916.0
Obras Publicas,Empleados Regulares,457944.0
Obras Publicas,Empleados Transitorios,614029.0
Obras Publicas,Empleados Irregulares,45240.0
Obras Publicas,Seguro Social Federal,89030.0
Obras Publicas,Plan Medico,50400.0
Obras Publicas,Bono de Verano,7580.0
Obras Publicas,Bono Navideno,39000.0
Obras Publicas,Herramientas,4000.0
Obras Publicas,Materiales de Construccion,3000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,5000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,251539.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,457985.0
Oficina Municipal Manejo de Emergencias,Empleados Irregulares,24505.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,57836.0
Oficina Municipal Manejo de Emergencias,Plan Medico,27600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,22000.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,5000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,10000.0
Guardia Municipal,Empleados Regulares,435612.0
Guardia Municipal,Empleados Irregulares,7540.0
Guardia Municipal,Seguro Social Federal,34819.0
Guardia Municipal,Plan Medico,15600.0
Guardia Municipal,Bono Navideno,12000.0
Guardia Municipal,Compra de Equipos,5000.0
Guardia Municipal,Adiestramientos,35892.0
Recursos Humanos,Empleados Regulares,193783.0
Recursos Humanos,Empleados Transitorios,65784.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,63000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,10000.0
Recursos Humanos,Seguro Social Federal,25900.0
Recursos Humanos,Plan Medico,10800.0
Recursos Humanos,Bono Navideno,6000.0
Recursos Humanos,Compra de Equipos,8000.0
Recursos Humanos,Adiestramientos,2300.0
Recursos Humanos,Pruebas de Dopaje,1300.0
Recreacion y Deportes,Empleados Regulares,163733.0
Recreacion y Deportes,Empleados Transitorios,177427.0
Recreacion y Deportes,Empleados Irregulares,147030.0
Recreacion y Deportes,Seguro Social Federal,39068.0
Recreacion y Deportes,Plan Medico,18000.0
Recreacion y Deportes,Bono Navideno,22500.0
Recreacion y Deportes,Compra de Equipos,15000.0
Recreacion y Deportes,Cuotas y Suscripciones,10000.0
Relaciones Publicas,Empleados Regulares,90025.0
Relaciones Publicas,Empleados Transitorios,55476.0
Relaciones Publicas,Empleados Irregulares,18876.0
Relaciones Publicas,Seguro Social Federal,12919.0
Relaciones Publicas,Plan Medico,6000.0
Relaciones Publicas,Bono Navideno,4500.0
Relaciones Publicas,Compra de Equipos,2000.0
Relaciones Publicas,Relaciones Publicas,30000.0
