departamento,ingreso,monto
Finanzas,Patentes,413304.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,1600.0
Finanzas,Intereses y Recargos por Demoras en Patentes,23000.0
Finanzas,Arbitrios de Construccion,200000.0
Finanzas,Licencias y Permisos,6025.0
Finanzas,Compensacion AEE,325846.0
Finanzas,Otros Ingresos Intergubernamentales,5425792.0
Finanzas,Aportaciones Estatales,0.0
Finanzas,Multas,2500.0
Finanzas,Intereses Bancarios,3000.0
Finanzas,Ingresos Eventuales,550956.0
Finanzas,Renta Locales y Propiedad Municipal,86800.0
Finanzas,Fiestas Patronales,25000.0
Finanzas,Otros Ingresos,437502.0
Finanzas,Ventas Sellos y Comprobantes Departamento de Hacienda,20000.0
Finanzas,Otros Recursos Financieros,728393.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1657688.0
