departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,67548.0
Legislatura Municipal,Seguro Social Federal,5282.17
Legislatura Municipal,Plan Medico,5400.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Dietas,27000.0
Legislatura Municipal,Gastos de Representacion,1000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,13200.0
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Cuotas y Suscripciones,4100.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Miscelaneos,500.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Legislatura Municipal,Franqueo,200.0
Oficina del Alcalde(sa),Empleados Regulares,324840.0
Oficina del Alcalde(sa),Empleados Transitorios,91020.0
Oficina del Alcalde(sa),Empleados Irregulares,18661.68
Oficina del Alcalde(sa),Seguro Social Federal,34120.66
Oficina del Alcalde(sa),Plan Medico,27900.0
Oficina del Alcalde(sa),Bono Navideno,11500.0
Oficina del Alcalde(sa),Materiales de Oficina,1500.0
Oficina del Alcalde(sa),Equipo de Oficina,2500.0
Oficina del Alcalde(sa),Compra de Equipos,5000.0
Oficina del Alcalde(sa),Gastos de Auditoria Sencilla (Single Audit),25995.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,307744.0
Oficina del Alcalde(sa),Relaciones Publicas,11340.0
Oficina del Alcalde(sa),Gastos de Viaje,2000.0
Oficina del Alcalde(sa),Servicios Legales,74700.0
Oficina del Alcalde(sa),Miscelaneos,25000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7000.0
Oficina del Alcalde(sa),Donaciones,107000.0
Finanzas,Empleados Regulares,655056.0
Finanzas,Empleados Transitorios,76674.0
Finanzas,Seguro Social Federal,57316.09
Finanzas,Plan Medico,54900.0
Finanzas,Bono Navideno,17500.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Equipo de Oficina,900.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Gastos de Viaje,300.0
Finanzas,Renta de Equipos y Vehiculos,560.0
Finanzas,Mantenimiento de Equipo,45000.0
Finanzas,Seguro Choferil,750.0
Finanzas,Seguro por Desempleo,80000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,198516.02
Finanzas,Materiales de Mantenimiento,3000.0
Finanzas,Energia Electrica,310992.8
Finanzas,Acueducto y Alcantarillados,65000.0
Finanzas,Telefono y Comunicaciones,42000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,500000.0
Finanzas,Renta de Edificios, Locales y Terrenos,14000.0
