departamento,ingreso,monto
Finanzas,PatentesImpuesto Municipal,15489547.0
Finanzas,sobre las VentasArbitrios de,1648611.0
Finanzas,Construccion,500000.0
Finanzas,Licencias y Permisos,4250.0
Finanzas,Compensacion AEEOtros Ingresos,1006861.0
Finanzas,IntergubernamentaleCompensaciones,2369901.46
Finanzas,EstatalesServicios Parques,0.0
Finanzas,DiversionesDisposicion,10000.0
Finanzas,DerperdiciosIngresos por,50000.0
Finanzas,Servicios,100.0
Finanzas,MultasIntereses en,1000.0
Finanzas,Inversiones,50000.0
Finanzas,Estacionamiento,20760.0
Finanzas,Ingresos EventualesRenta Locales y,450000.0
Finanzas,Propiedad Municipal,258712.08
Finanzas,Otros IngresosContribucion,1500000.0
Finanzas,Propiedad No,6614410.27
