departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,15672.0
Legislatura Municipal,Seguro Social Federal,1318.0
Legislatura Municipal,Plan Medico,1500.0
Legislatura Municipal,Bono de Verano,300.0
Legislatura Municipal,Bono Navideno,1255.0
Legislatura Municipal,Dietas,15000.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Cuotas y Suscripciones,500.0
Oficina del Alcalde(sa),Empleados Regulares,54324.0
Oficina del Alcalde(sa),Seguro Choferil,16.0
Oficina del Alcalde(sa),Seguro Social Federal,4513.0
Oficina del Alcalde(sa),Plan Medico,3000.0
Oficina del Alcalde(sa),Bono de Verano,900.0
Oficina del Alcalde(sa),Bono Navideno,3765.0
Oficina del Alcalde(sa),Donaciones,15000.0
Oficina del Alcalde(sa),Becas,2000.0
Oficina del Alcalde(sa),Donaciones,2000.0
Oficina del Alcalde(sa),Servicios Legales,6000.0
Finanzas,Empleados Regulares,168314.0
Finanzas,Empleados Transitorios,23232.0
Finanzas,Seguro Social Federal,16200.0
Finanzas,Plan Medico,9000.0
Finanzas,Seguro por Desempleo,15000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,130397.0
Finanzas,Bono de Verano,3900.0
Finanzas,Bono Navideno,16315.0
Finanzas,Dietas,2000.0
Finanzas,Gastos de Viaje,5000.0
Finanzas,Materiales de Mantenimiento,4000.0
Finanzas,Energia Electrica,100143.0
Finanzas,Acueducto y Alcantarillados,100000.0
Finanzas,Telefono y Comunicaciones,65000.0
Finanzas,Compra de Equipos,3000.0
Finanzas,Servicios Profesionales - No Clasificados,98000.0
Finanzas,Gastos de Viaje,1500.0
Finanzas,Cargos por Servicios Bancarios,10000.0
Finanzas,Seguros,165000.0
Finanzas,Miscelaneos,24276.0
Finanzas,Franqueo,500.0
Finanzas,Aportacion al Fondo de Equiparacion,537076.0
Finanzas,Aportacion al CRIM,16027.0
Finanzas,Liquidacion Deuda del CRIM,281242.0
Finanzas,Transferencias que Salen,71458.0
Finanzas,Deficit,90000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),30000.0
Obras Publicas,Empleados Regulares,578449.0
Obras Publicas,Empleados Transitorios,401405.0
Obras Publicas,Empleados Irregulares,301920.0
Obras Publicas,Seguro Choferil,312.0
Obras Publicas,Seguro Social Federal,113378.0
Obras Publicas,Plan Medico,54000.0
Obras Publicas,Bono de Verano,38400.0
Obras Publicas,Bono Navideno,161881.0
Obras Publicas,Combustible y Lubricantes,60000.0
Obras Publicas,Materiales de Construccion,5000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,1200.0
Obras Publicas,Mantenimiento de Vehiculos,80000.0
Obras Publicas,Mantenimiento de Edificios,17000.0
Obras Publicas,Miscelaneos,6000.0
Obras Publicas,Disposicion de Desperdicios,65000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,60912.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,147213.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,172.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,17295.0
Oficina Municipal Manejo de Emergencias,Plan Medico,9000.0
Oficina Municipal Manejo de Emergencias,Bono de Verano,5400.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,12550.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,1500.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,1500.0
Guardia Municipal,Empleados Regulares,84306.0
Guardia Municipal,Seguro Choferil,94.0
Guardia Municipal,Seguro Social Federal,7164.0
Guardia Municipal,Plan Medico,4500.0
Guardia Municipal,Bono de Verano,1800.0
Guardia Municipal,Bono Navideno,7530.0
Guardia Municipal,Compra de Uniformes,2500.0
Recursos Humanos,Empleados Regulares,79104.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,15000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,80000.0
Recursos Humanos,Seguro Social Federal,13915.0
Recursos Humanos,Plan Medico,7500.0
Recursos Humanos,Bono de Verano,1500.0
