departamento,ingreso,monto
Finanzas,Patentes,140000.0
Finanzas,Impuesto Municipal sobre las Ventas,325000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,1000.0
Finanzas,Arbitrios de Construccion,258880.0
Finanzas,Licencias y Permisos,150.0
Finanzas,Compensacion AEE,100143.0
Finanzas,Otros Ingresos Intergubernamentales,3420064.0
Finanzas,Multas,0.0
Finanzas,Ingresos Eventuales,100.0
Finanzas,Renta Locales y Propiedad Municipal,2000.0
Finanzas,Otros Ingresos,400000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),344923.0
