departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,18000.0
Legislatura Municipal,Seguro Social Federal,1396.13
Legislatura Municipal,Plan Medico,1200.0
Legislatura Municipal,Bono Navideno,250.0
Legislatura Municipal,Materiales de Oficina,100.0
Legislatura Municipal,Compra de Equipos,100.0
Legislatura Municipal,Dietas,18000.0
Legislatura Municipal,Gastos de Representacion,300.0
Legislatura Municipal,Servicios Legales,12000.0
Legislatura Municipal,Cuotas y Suscripciones,500.0
Legislatura Municipal,Mantenimiento de Equipo,100.0
Legislatura Municipal,Publicaciones y Anuncios,100.0
Oficina del Alcalde(sa),Empleados Regulares,108000.0
Oficina del Alcalde(sa),Empleados Transitorios,19608.0
Oficina del Alcalde(sa),Seguro Choferil,15.0
Oficina del Alcalde(sa),Seguro Social Federal,9838.51
Oficina del Alcalde(sa),Plan Medico,4800.0
Oficina del Alcalde(sa),Bono Navideno,1000.0
Finanzas,Empleados Regulares,216048.0
Finanzas,Empleados Transitorios,42228.0
Finanzas,Seguro Social Federal,20159.74
Finanzas,Plan Medico,20400.0
Finanzas,Seguro por Desempleo,30000.0
Finanzas,Bono Navideno,5250.0
Finanzas,Aportacion al CRIM,30447.6
Finanzas,Beneficio por Fondo del Seguro del Estado,221442.85
Finanzas,Gastos de Auditoria Sencilla (Single Audit),20000.0
Finanzas,Servicios Profesionales - No Clasificados,68888.0
Finanzas,Seguros,300000.0
Finanzas,Deficit,52888.89
Finanzas,Miscelaneos,5200.85
Finanzas,Franqueo,500.0
Finanzas,Pago de Sentencias y Reclamaciones,100.0
Finanzas,Aportacion al Fondo de Equiparacion,571617.51
Finanzas,Liquidacion Deuda del CRIM,106193.79
Finanzas,Transferencias que Salen,203048.88
Obras Publicas,Empleados Regulares,674754.0
Obras Publicas,Empleados Transitorios,311100.0
Obras Publicas,Seguro Choferil,1500.0
Obras Publicas,Seguro Social Federal,77119.96
Obras Publicas,Plan Medico,42000.0
Obras Publicas,Bono Navideno,22250.0
Obras Publicas,Energia Electrica,459278.54
Obras Publicas,Disposicion de Desperdicios,222000.0
Salud,Empleados Regulares,137646.0
Salud,Empleados Transitorios,99888.0
Salud,Seguro Social Federal,18515.6
Salud,Plan Medico,8400.0
Salud,Bono Navideno,4500.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,59790.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,71634.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,10283.44
Oficina Municipal Manejo de Emergencias,Plan Medico,4800.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,3000.0
Guardia Municipal,Empleados Regulares,160596.0
Guardia Municipal,Empleados Transitorios,31440.0
Guardia Municipal,Seguro Social Federal,14977.63
Guardia Municipal,Plan Medico,9600.0
Guardia Municipal,Bono Navideno,3750.0
Guardia Municipal,Materiales y Suministros de Operacion,200.0
Guardia Municipal,Compra de Equipos,500.0
Guardia Municipal,Adiestramientos,500.0
Recursos Humanos,Empleados Regulares,100548.0
Recursos Humanos,Empleados Transitorios,32430.0
Recursos Humanos,Empleados Irregulares,270000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,25000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,65000.0
Recursos Humanos,Seguro Choferil,100.0
Recursos Humanos,Seguro Social Federal,10364.07
Recursos Humanos,Seguro Social Federal,27540.0
Recursos Humanos,Plan Medico,7200.0
Recursos Humanos,SINOT,16000.0
Recursos Humanos,Bono Navideno,2500.0
Recursos Humanos,Beneficios Marginales,10500.0
Recreacion y Deportes,Empleados Regulares,329352.0
Recreacion y Deportes,Empleados Transitorios,41856.0
Recreacion y Deportes,Seguro Choferil,100.0
Recreacion y Deportes,Seguro Social Federal,29047.66
Recreacion y Deportes,Plan Medico,14400.0
Recreacion y Deportes,Bono Navideno,8500.0
Centro de Envejecientes,Empleados Regulares,42990.0
Centro de Envejecientes,Empleados Transitorios,25356.0
Centro de Envejecientes,Seguro Choferil,45.0
Centro de Envejecientes,Seguro Social Federal,5343.22
Centro de Envejecientes,Plan Medico,3600.0
Centro de Envejecientes,Bono Navideno,1500.0
Asuntos del Ciudadano,Empleados Regulares,95910.0
Asuntos del Ciudadano,Empleados Transitorios,40710.0
Asuntos del Ciudadano,Seguro Choferil,60.0
Asuntos del Ciudadano,Seguro Social Federal,10680.93
Asuntos del Ciudadano,Plan Medico,10800.0
Asuntos del Ciudadano,Bono Navideno,3000.0
Secretaria Municipal,Empleados Regulares,26910.0
Secretaria Municipal,Seguro Social Federal,2096.87
Secretaria Municipal,Plan Medico,2400.0
Secretaria Municipal,Bono Navideno,500.0
Auditoria Interna,Empleados Regulares,29310.0
Auditoria Interna,Empleados Transitorios,13200.0
Auditoria Interna,Seguro Choferil,15.0
Auditoria Interna,Seguro Social Federal,3309.39
Auditoria Interna,Plan Medico,1200.0
Auditoria Interna,Bono Navideno,750.0
Control Ambiental,Empleados Regulares,41478.0
Control Ambiental,Empleados Transitorios,24696.0
Control Ambiental,Seguro Choferil,45.0
Control Ambiental,Seguro Social Federal,5177.06
Control Ambiental,Bono Navideno,1500.0
Secretaria de Administracion,Empleados Regulares,91320.0
Secretaria de Administracion,Empleados Transitorios,101886.0
Secretaria de Administracion,Seguro Social Federal,15009.76
Secretaria de Administracion,Plan Medico,7200.0
Secretaria de Administracion,Bono Navideno,3000.0
Secretaria de Administracion,Materiales de Oficina,4500.0
Secretaria de Administracion,Materiales de Mantenimiento,8000.0
Secretaria de Administracion,Compra de Uniformes,500.0
Secretaria de Administracion,Combustible y Lubricantes,150000.0
Secretaria de Administracion,Acueducto y Alcantarillados,240000.0
Secretaria de Administracion,Telefono y Comunicaciones,36000.0
Secretaria de Administracion,Materiales de Construccion,20000.0
Secretaria de Administracion,Materiales y Suministros de Operacion,70000.0
Secretaria de Administracion,Equipo de Oficina,2000.0
Secretaria de Administracion,Compra de Equipos,5000.0
Secretaria de Administracion,Gastos de Representacion,10000.0
Secretaria de Administracion,Adiestramientos,500.0
Secretaria de Administracion,Servicios Profesionales - No Clasificados,257400.0
Secretaria de Administracion,Servicios No Profesionales,2800.0
Secretaria de Administracion,Relaciones Publicas,2500.0
Secretaria de Administracion,Gastos de Viaje,5000.0
Secretaria de Administracion,Servicios Legales,48000.0
Secretaria de Administracion,Canon Excavaciones y Demoliciones,5000.0
Secretaria de Administracion,Cuotas y Suscripciones,5000.0
Secretaria de Administracion,Donaciones,82000.0
Secretaria de Administracion,Renta de Edificios, Locales y Terrenos,2400.0
Secretaria de Administracion,Renta de Equipos y Vehiculos,117940.16
Secretaria de Administracion,Mantenimiento de Equipo,62572.0
Secretaria de Administracion,Reparacion y Mantenimiento de Estructuras,10000.0
Secretaria de Administracion,Mantenimiento de Vehiculos,105000.0
Secretaria de Administracion,Mantenimiento de Edificios,30000.0
Secretaria de Administracion,Miscelaneos,500.0
Secretaria de Administracion,Publicaciones y Anuncios,6000.0
Secretaria de Administracion,Fiestas Patronales,1000.0
Secretaria de Administracion,Otros Festivales o Actividades,139800.0
Secretaria de Administracion,Empleados Regulares,68346.0
Secretaria de Administracion,Empleados Transitorios,54606.0
Secretaria de Administracion,Seguro Social Federal,9616.2
Secretaria de Administracion,Plan Medico,8400.0
Secretaria de Administracion,Bono Navideno,2750.0
Secretaria de Administracion,Empleados Regulares,22620.0
Secretaria de Administracion,Seguro Social Federal,1768.68
Secretaria de Administracion,Plan Medico,1200.0
Secretaria de Administracion,Bono Navideno,500.0
Secretaria de Administracion,Empleados Regulares,38670.0
Secretaria de Administracion,Seguro Choferil,15.0
Secretaria de Administracion,Seguro Social Federal,3015.63
Secretaria de Administracion,Plan Medico,2400.0
Secretaria de Administracion,Bono Navideno,750.0
