departamento,ingreso,monto
Finanzas,Patentes,187887.0
Finanzas,Impuesto Municipal sobre las Ventas,86559.0
Finanzas,Arbitrios de Construccion,88785.0
Finanzas,Compensacion AEE,459278.54
Finanzas,Otros Ingresos Intergubernamentales,4563278.52
Finanzas,Disposicion Derperdicios,6000.0
Finanzas,Multas,500.0
Finanzas,Ingresos Eventuales,500000.0
Finanzas,Renta Locales y Propiedad Municipal,12000.0
Finanzas,Otros Ingresos,5000.0
Finanzas,Otros Recursos Financieros,1245000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),650962.47
