departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,127107.0
Legislatura Municipal,Empleados Transitorios,943.0
Legislatura Municipal,Seguro Social Federal,10438.0
Legislatura Municipal,Plan Medico,11760.0
Legislatura Municipal,Bono Navideno,8400.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,23000.0
Legislatura Municipal,Servicios No Profesionales,1500.0
Legislatura Municipal,Servicios Legales,48000.0
Legislatura Municipal,Materiales de Oficina,2678.0
Legislatura Municipal,Materiales de Mantenimiento,1000.0
Legislatura Municipal,Compra de Uniformes,1000.0
Legislatura Municipal,Telefono y Comunicaciones,4000.0
Legislatura Municipal,Materiales y Suministros de Operacion,1500.0
Legislatura Municipal,Equipo de Oficina,3000.0
Legislatura Municipal,Compra de Equipos,10000.0
Legislatura Municipal,Dietas,60000.0
Legislatura Municipal,Gastos de Representacion,2000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Relaciones Publicas,8000.0
Legislatura Municipal,Gastos de Viaje,1300.0
Legislatura Municipal,Cuotas y Suscripciones,2000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3000.0
Legislatura Municipal,Mantenimiento de Equipo,1500.0
Legislatura Municipal,Reparacion y Mantenimiento de Estructuras,10000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1000.0
Legislatura Municipal,Miscelaneos,10000.0
Legislatura Municipal,Publicaciones y Anuncios,10000.0
Legislatura Municipal,Festival o Actividad I,25000.0
Oficina del Alcalde(sa),Empleados Regulares,351073.0
Oficina del Alcalde(sa),Empleados Transitorios,94175.0
Oficina del Alcalde(sa),Seguro Social Federal,36540.0
Oficina del Alcalde(sa),Plan Medico,31920.0
Oficina del Alcalde(sa),Bono Navideno,32400.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,2000.0
Oficina del Alcalde(sa),Gastos de Representacion,5000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,28800.0
Oficina del Alcalde(sa),Miscelaneos,5000.0
Finanzas,Empleados Regulares,307982.0
Finanzas,Empleados Transitorios,164141.0
Finanzas,Seguro Choferil,7000.0
Finanzas,Seguro Social Federal,39698.0
Finanzas,Plan Medico,44520.0
Finanzas,Seguro por Desempleo,180000.0
Finanzas,SINOT,39471.0
Finanzas,SINOT,8352.0
Finanzas,Beneficio por Fondo del Seguro del Estado,659861.0
Finanzas,Bono Navideno,46800.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),81500.0
Finanzas,Servicios Profesionales - No Clasificados,365370.0
Finanzas,Materiales de Oficina,45000.0
Finanzas,Energia Electrica,4996200.0
Finanzas,Acueducto y Alcantarillados,1551766.0
Finanzas,Telefono y Comunicaciones,155635.0
Finanzas,Materiales y Suministros de Operacion,54854.0
Finanzas,Compra de Equipos,50000.0
Finanzas,Dietas Artisticas,5000.0
Finanzas,Gastos de Viaje,50000.0
Finanzas,Gastos de Viaje,5000.0
Finanzas,Canon Excavaciones y Demoliciones,12000.0
Finanzas,Cargos por Servicios Bancarios,15000.0
Finanzas,Seguros,2500000.0
Finanzas,Cuotas y Suscripciones,1500.0
Finanzas,Deficit,571660.0
Finanzas,Intereses Cuentas Vendidas,49820.0
Finanzas,Miscelaneos,5171045.0
Finanzas,Miscelaneos,500000.0
Finanzas,Reclamaciones Anos Anteriores,100000.0
Finanzas,Aportacion al CRIM,823661.0
Finanzas,Liquidacion Deuda del CRIM,95365.0
Finanzas,Miscelaneos,839369.0
Finanzas,Empleados Regulares,33573.0
Finanzas,Empleados Transitorios,14027.0
Finanzas,Seguro Social Federal,4009.0
Finanzas,Plan Medico,5040.0
Finanzas,Bono Navideno,4800.0
Finanzas,Programas de Computadoras,152364.0
Finanzas,Compra de Equipos,5000.0
Obras Publicas,Empleados Regulares,207155.0
Obras Publicas,Empleados Transitorios,329782.0
Obras Publicas,Seguro Social Federal,47134.0
Obras Publicas,Plan Medico,46200.0
Obras Publicas,Bono Navideno,79200.0
Obras Publicas,Servicios Profesionales - No Clasificados,73400.0
Obras Publicas,Servicios No Profesionales,1285000.0
Obras Publicas,Herramientas,1000.0
Obras Publicas,Combustible y Lubricantes,400000.0
Obras Publicas,Materiales de Construccion,62000.0
Obras Publicas,Materiales y Suministros de Operacion,1000.0
Obras Publicas,Equipo de Mecanica,1000.0
Obras Publicas,Landscaping o Paisajismo,1000.0
Obras Publicas,Mantenimiento de Equipo,70000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,10000.0
Obras Publicas,Miscelaneos,10000.0
Obras Publicas,Festival o Actividad I,400000.0
Obras Publicas,Materiales de Mantenimiento,4580.0
Obras Publicas,Mantenimiento de Vehiculos,660000.0
Obras Publicas,Materiales de Construccion,10000.0
Obras Publicas,Renta de Equipos y Vehiculos,60500.0
Obras Publicas,Mantenimiento de Equipo,1000.0
Obras Publicas,Festival o Actividad I,680.0
Obras Publicas,Miscelaneos,500.0
Obras Publicas,Empleados Regulares,3891.0
Obras Publicas,Empleados Transitorios,14282.0
Obras Publicas,Seguro Social Federal,1574.0
Obras Publicas,Plan Medico,1680.0
Obras Publicas,Bono Navideno,2400.0
Obras Publicas,Disposicion de Desperdicios,4788000.0
Obras Publicas,Festival o Actividad I,1000.0
Obras Publicas,Seguro Social Federal,1893.0
Obras Publicas,SINOT,2880.0
Obras Publicas,Beneficio por Fondo del Seguro del Estado,1658.0
Obras Publicas,Relaciones Publicas,5000.0
Obras Publicas,Miscelaneos,5000.0
Obras Publicas,Otros Festivales o Actividades,5000.0
Obras Publicas,Gastos de Viaje,3000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,134739.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,112355.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,21014.0
Oficina Municipal Manejo de Emergencias,Plan Medico,25200.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,27600.0
Oficina Municipal Manejo de Emergencias,Alimentos,1000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,40000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,2000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Edificios,5000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,5000.0
Oficina Municipal Manejo de Emergencias,Festival o Actividad I,400.0
Guardia Municipal,Empleados Regulares,1579447.0
Guardia Municipal,Empleados Transitorios,107145.0
Guardia Municipal,Seguro Social Federal,136368.0
Guardia Municipal,Plan Medico,121800.0
Guardia Municipal,Bono Navideno,96000.0
Guardia Municipal,Compra de Uniformes,10000.0
Guardia Municipal,Vehiculos Municipales,10000.0
Guardia Municipal,Mantenimiento de Equipo,500.0
Guardia Municipal,Festival o Actividad I,3500.0
Guardia Municipal,Festival o Actividad II,3000.0
Recursos Humanos,Empleados Regulares,242776.0
Recursos Humanos,Empleados Transitorios,75261.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,150000.0
Recursos Humanos,Seguro Social Federal,44893.0
Recursos Humanos,Plan Medico,31080.0
Recursos Humanos,Bono Navideno,28800.0
Recursos Humanos,Beneficios Marginales,90000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,12120.0
Recursos Humanos,Miscelaneos,100000.0
Recursos Humanos,Compra de Uniformes,10000.0
Recursos Humanos,Adiestramientos,30000.0
Recursos Humanos,Pruebas de Dopaje,3500.0
Recursos Humanos,Cuotas y Suscripciones,200.0
Recursos Humanos,Mantenimiento de Equipo,11900.0
Recursos Humanos,Miscelaneos,5000.0
Recursos Humanos,Franqueo,15000.0
Recursos Humanos,Festival o Actividad I,15000.0
Recursos Humanos,Miscelaneos,3000.0
Recreacion y Deportes,Empleados Regulares,139833.0
Recreacion y Deportes,Empleados Transitorios,315212.0
Recreacion y Deportes,Empleados Irregulares,55189.0
Recreacion y Deportes,Seguro Social Federal,46285.0
Recreacion y Deportes,Plan Medico,54600.0
Recreacion y Deportes,Bono Navideno,94800.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,326880.0
Recreacion y Deportes,Servicios No Profesionales,717011.0
Recreacion y Deportes,Compra de Uniformes,5000.0
Recreacion y Deportes,Materiales de Construccion,5000.0
Recreacion y Deportes,Relaciones Publicas,18000.0
Recreacion y Deportes,Renta de Equipos y Vehiculos,5000.0
Recreacion y Deportes,Miscelaneos,10000.0
Recreacion y Deportes,Becas,18000.0
Recreacion y Deportes,Miscelaneos,10000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,10000.0
Recreacion y Deportes,Miscelaneos,1746000.0
Recreacion y Deportes,Fiestas Patronales,10000.0
Recreacion y Deportes,Festival o Actividad I,36180.0
Recreacion y Deportes,Festival o Actividad II,41000.0
Recreacion y Deportes,Festival o Actividad III,320000.0
Recreacion y Deportes,Otros Festivales o Actividades,82920.0
Recreacion y Deportes,Mantenimiento de Equipo,10000.0
Recreacion y Deportes,Donaciones,100000.0
Cultura y Turismo,Empleados Regulares,113054.0
Cultura y Turismo,Empleados Transitorios,118953.0
Cultura y Turismo,Seguro Social Federal,19676.0
Cultura y Turismo,Plan Medico,19320.0
Cultura y Turismo,Bono Navideno,25200.0
Cultura y Turismo,Servicios Profesionales - No Clasificados,380414.0
Cultura y Turismo,Servicios Profesionales - No Clasificados,2980.0
Cultura y Turismo,Relaciones Publicas,100000.0
Cultura y Turismo,Mantenimiento de Equipo,3000.0
Cultura y Turismo,Fiestas Patronales,535000.0
Cultura y Turismo,Festival o Actividad I,50000.0
Cultura y Turismo,Festival o Actividad III,4000.0
Cultura y Turismo,Donaciones,30000.0
Cultura y Turismo,Donaciones,50000.0
Cultura y Turismo,Donaciones,25000.0
Asuntos del Ciudadano,Empleados Regulares,162533.0
Asuntos del Ciudadano,Empleados Transitorios,387874.0
Asuntos del Ciudadano,Seguro Social Federal,49358.0
Asuntos del Ciudadano,Plan Medico,53760.0
Asuntos del Ciudadano,Bono Navideno,94800.0
Asuntos del Ciudadano,Servicios Profesionales - No Clasificados,829740.0
Asuntos del Ciudadano,Servicios No Profesionales,3600.0
Asuntos del Ciudadano,Empleados Transitorios,5765.0
Asuntos del Ciudadano,Seguro Social Federal,808.0
Asuntos del Ciudadano,Plan Medico,840.0
Asuntos del Ciudadano,Bono Navideno,4800.0
Asuntos del Ciudadano,Servicios Profesionales - No Clasificados,20000.0
Asuntos del Ciudadano,Donaciones,60000.0
Asuntos del Ciudadano,Alimentos,61612.0
Asuntos del Ciudadano,Donaciones,10000.0
Asuntos del Ciudadano,Donaciones,65000.0
Asuntos del Ciudadano,Alimentos,20000.0
Asuntos del Ciudadano,Relaciones Publicas,2000.0
Asuntos del Ciudadano,Miscelaneos,500000.0
Asuntos del Ciudadano,Festival o Actividad I,1600.0
Asuntos del Ciudadano,Miscelaneos,500.0
Vivienda,Empleados Regulares,123140.0
Vivienda,Empleados Transitorios,35911.0
Vivienda,Seguro Social Federal,13177.0
Vivienda,Plan Medico,14280.0
Vivienda,Bono Navideno,13200.0
Vivienda,Servicios Profesionales - No Clasificados,5000.0
Vivienda,Renta Vivienda Subsidiada,20000.0
Secretaria Municipal,Empleados Regulares,22982.0
Secretaria Municipal,Empleados Transitorios,28934.0
Secretaria Municipal,Seguro Social Federal,4431.0
Secretaria Municipal,Plan Medico,5040.0
Secretaria Municipal,Bono Navideno,6000.0
Secretaria Municipal,Publicaciones y Anuncios,13000.0
Secretaria Municipal,Dietas,2000.0
Secretaria Municipal,Miscelaneos,1500.0
Secretaria Municipal,Publicaciones y Anuncios,10000.0
Asuntos Legales,Empleados Regulares,35963.0
Asuntos Legales,Empleados Transitorios,26556.0
Asuntos Legales,Seguro Social Federal,5242.0
Asuntos Legales,Plan Medico,5880.0
Asuntos Legales,Bono Navideno,6000.0
Asuntos Legales,Servicios Legales,530430.0
Asuntos Legales,Cuotas y Suscripciones,1800.0
Asuntos Legales,Pago de Sentencias y Reclamaciones,456573.0
Auditoria Interna,Empleados Regulares,34850.0
Auditoria Interna,Empleados Transitorios,16298.0
Auditoria Interna,Seguro Social Federal,4188.0
Auditoria Interna,Plan Medico,3360.0
Auditoria Interna,Bono Navideno,3600.0
Educacion,Empleados Regulares,35384.0
Educacion,Empleados Transitorios,115786.0
Educacion,Seguro Social Federal,13401.0
Educacion,Plan Medico,13440.0
Educacion,Bono Navideno,24000.0
Educacion,Seguro Social Federal,4422.0
Educacion,Plan Medico,485520.0
Educacion,Bono Navideno,57800.0
Educacion,Servicios Profesionales - No Clasificados,7140.0
Educacion,Relaciones Publicas,12000.0
Educacion,Becas,749850.0
Educacion,Renta de Equipos y Vehiculos,1500.0
Educacion,Miscelaneos,7500.0
Educacion,Festival o Actividad I,9600.0
Educacion,Festival o Actividad II,75000.0
Educacion,Otros Festivales o Actividades,2000.0
Educacion,Alimentos,20000.0
Educacion,Materiales y Suministros de Operacion,1500.0
Educacion,Donaciones,3200.0
Educacion,Donaciones,1000.0
Educacion,Donaciones,5000.0
Planificacion y Desarrollo,Empleados Regulares,159981.0
Planificacion y Desarrollo,Empleados Transitorios,181983.0
Planificacion y Desarrollo,Seguro Social Federal,28731.0
Planificacion y Desarrollo,Plan Medico,25200.0
Planificacion y Desarrollo,Bono Navideno,33600.0
Planificacion y Desarrollo,Servicios Profesionales - No Clasificados,713376.0
Planificacion y Desarrollo,Mantenimiento de Vehiculos,10000.0
Planificacion y Desarrollo,Miscelaneos,65000.0
Planificacion y Desarrollo,Materiales de Oficina,2000.0
Planificacion y Desarrollo,Materiales de Mantenimiento,10000.0
Planificacion y Desarrollo,Materiales de Construccion,10000.0
Planificacion y Desarrollo,Mantenimiento de Equipo,3000.0
Planificacion y Desarrollo,Donaciones,30000.0
Planificacion y Desarrollo,Relaciones Publicas,20000.0
Servicios Administrativos,Empleados Regulares,122194.0
Servicios Administrativos,Empleados Transitorios,116475.0
Servicios Administrativos,Seguro Social Federal,20829.0
Servicios Administrativos,Plan Medico,29400.0
Servicios Administrativos,Bono Navideno,33600.0
Servicios Administrativos,Servicios Profesionales - No Clasificados,336000.0
Servicios Administrativos,Servicios No Profesionales,58834.0
Servicios Administrativos,Materiales de Mantenimiento,10000.0
Servicios Administrativos,Materiales de Construccion,2000.0
Servicios Administrativos,Renta de Edificios, Locales y Terrenos,697560.0
Servicios Administrativos,Renta de Edificios, Locales y Terrenos,370172.0
Servicios Administrativos,Renta de Equipos y Vehiculos,358563.0
Servicios Administrativos,Mantenimiento de Equipo,388100.0
Servicios Administrativos,Mantenimiento de Edificios,185000.0
Servicios Administrativos,Miscelaneos,4500.0
Servicios Administrativos,Festival o Actividad I,2400.0
Conservacion y Ornato,Empleados Regulares,149853.0
Conservacion y Ornato,Empleados Transitorios,136123.0
Conservacion y Ornato,Seguro Social Federal,24815.0
Conservacion y Ornato,Plan Medico,32760.0
Conservacion y Ornato,Bono Navideno,38400.0
Conservacion y Ornato,Miscelaneos,18500.0
Conservacion y Ornato,Servicios de Ingenieria y Arquitectura,10000.0
Conservacion y Ornato,Landscaping o Paisajismo,1500.0
Conservacion y Ornato,Adquisicion y/o Restauracion de Obras de Arte,280000.0
Conservacion y Ornato,Inspeccion de Edificios y Construcciones,244000.0
Conservacion y Ornato,Costos de Construccion,40000.0
Conservacion y Ornato,Servicios Profesionales - No Clasificados,14000.0
Bomberos Municipales,Empleados Regulares,197770.0
Bomberos Municipales,Empleados Transitorios,199871.0
Bomberos Municipales,Seguro Social Federal,33357.0
Bomberos Municipales,Plan Medico,34440.0
Bomberos Municipales,Bono Navideno,38400.0
Bomberos Municipales,Materiales de Mantenimiento,600.0
Bomberos Municipales,Compra de Uniformes,5000.0
Bomberos Municipales,Renta de Equipos y Vehiculos,1000.0
Bomberos Municipales,Mantenimiento de Equipo,600.0
Bomberos Municipales,Miscelaneos,400.0
Bomberos Municipales,Festival o Actividad I,6000.0
Bomberos Municipales,Drogas, Medicinas y Otros Suministros,25000.0
Prensa y Comunicacion,Empleados Regulares,41027.0
