departamento,ingreso,monto
Finanzas,Patentes,10236179.0
Finanzas,Impuesto Municipal sobre las Ventas,9779204.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,50000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,100000.0
Finanzas,Arbitrios de Construccion,1349399.0
Finanzas,Licencias y Permisos,50000.0
Finanzas,Compensacion AEE,5189781.0
Finanzas,Permisos de Uso Parques y Recreos,1000.0
Finanzas,Permisos de Uso Estadios y Coliseos,45000.0
Finanzas,Permisos de Uso Estadios y Coliseos,5000.0
Finanzas,Permisos de Uso Estadios y Coliseos,10000.0
Finanzas,Disposicion Derperdicios,450000.0
Finanzas,Otros Ingresos por Servicios,65000.0
Finanzas,Otros Ingresos por Servicios,40000.0
Finanzas,Otros Ingresos por Servicios,20000.0
Finanzas,Ingresos por Servicios Transportacion,1000.0
Finanzas,Multas,20000.0
Finanzas,Intereses en Inversiones,25000.0
Finanzas,Estacionamiento,200000.0
Finanzas,Ingresos Eventuales,5000000.0
Finanzas,Ingresos EventualesRenta Locales y,3000000.0
Finanzas,Propiedad MunicipalRenta Locales y,270000.0
Finanzas,Propiedad MunicipalRenta Locales y,500000.0
Finanzas,Propiedad Municipal,150000.0
Finanzas,Otros Ingresos,40000.0
Finanzas,Otros Ingresos,10000.0
Finanzas,Otros IngresosContribucion,70000.0
Finanzas,Propiedad No,17859530.0
