departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,111984.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Regular,100.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Enfermedad,3500.0
Legislatura Municipal,Seguro Choferil,62.4
Legislatura Municipal,Seguro Social Federal,9164.1
Legislatura Municipal,Plan Medico,9000.0
Legislatura Municipal,Bono Navideno,3000.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Materiales de Mantenimiento,1000.0
Legislatura Municipal,Compra de Uniformes,500.0
Legislatura Municipal,Combustible y Lubricantes,100.0
Legislatura Municipal,Telefono y Comunicaciones,1000.0
Legislatura Municipal,Materiales y Suministros de Operacion,500.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Equipo de Mecanica,200.0
Legislatura Municipal,Vehiculos Municipales,100.0
Legislatura Municipal,Dietas,60000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,100.0
Legislatura Municipal,Relaciones Publicas,3299.93
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Servicios Legales,29700.0
Legislatura Municipal,Seguros,100.0
Legislatura Municipal,Cuotas y Suscripciones,2500.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,20732.24
Legislatura Municipal,Renta de Equipos y Vehiculos,3000.0
Legislatura Municipal,Mantenimiento de Equipo,2000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1000.0
Legislatura Municipal,Miscelaneos,2000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Franqueo,100.0
Oficina del Alcalde(sa),Empleados Regulares,461616.0
Oficina del Alcalde(sa),Seguro Social Federal,35313.62
Oficina del Alcalde(sa),Plan Medico,34500.0
Oficina del Alcalde(sa),Materiales de Oficina,10000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,2000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,2000.0
Oficina del Alcalde(sa),Programas de Computadoras,1000.0
Oficina del Alcalde(sa),Compra de Equipos,1000.0
Oficina del Alcalde(sa),Mantenimiento de Biblioteca,10000.0
Oficina del Alcalde(sa),Relaciones Publicas,1500.0
Oficina del Alcalde(sa),Gastos de Viaje,4000.0
Oficina del Alcalde(sa),Servicios Legales,60000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,2000.0
Oficina del Alcalde(sa),Mantenimiento de Vehiculos,12675.63
Oficina del Alcalde(sa),Franqueo,2000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,12000.0
Oficina del Alcalde(sa),Mantenimiento de Edificios,15000.0
Finanzas,Empleados Regulares,411696.0
Finanzas,Seguro Social Federal,31494.74
Finanzas,Plan Medico,33000.0
Finanzas,Seguro por Desempleo,150000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,248702.89
Finanzas,Energia Electrica,400000.0
Finanzas,Acueducto y Alcantarillados,200000.0
Finanzas,Telefono y Comunicaciones,80000.0
Finanzas,Compra de Equipos,500.0
Finanzas,Dietas,300.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),18800.0
Finanzas,Servicios Profesionales - No Clasificados,95000.0
Finanzas,Gastos de Viaje,6000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,20000.0
Finanzas,Seguros,600000.0
Finanzas,Cuotas y Suscripciones,5000.0
Finanzas,Renta de Edificios, Locales y Terrenos,80000.0
Finanzas,Intereses Cuentas Vendidas,12178.62
Finanzas,Mantenimiento de Equipo,5000.0
Finanzas,Miscelaneos,30000.0
Finanzas,Franqueo,200.0
Finanzas,Pago de Sentencias y Reclamaciones,100.0
Finanzas,Reclamaciones Anos Anteriores,500.0
Finanzas,Aportacion al Fondo de Equiparacion,523950.57
Finanzas,Aportacion al CRIM,116319.72
Finanzas,Liquidacion Deuda del CRIM,23736.42
Finanzas,Transferencias que Salen,30000.0
Finanzas,Transferencias que Salen,25000.0
