departamento,ingreso,monto
Finanzas,Patentes,1300000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,40000.0
Finanzas,Arbitrios de Construccion,200000.0
Finanzas,Licencias y Permisos,3500.0
Finanzas,Compensacion AEE,292835.0
Finanzas,Otros Ingresos Intergubernamentales,4487601.44
Finanzas,Servicios Parques Diversiones,25000.0
Finanzas,Permisos de Uso Estadios y Coliseos,4000.0
Finanzas,Disposicion Derperdicios,603346.98
Finanzas,Otros Ingresos por Servicios,60000.0
Finanzas,Ingresos por Servicios Transportacion,409068.08
Finanzas,Multas,30000.0
Finanzas,Intereses Bancarios,40000.0
Finanzas,Ingresos Eventuales,20000.0
Finanzas,Renta Locales y Propiedad Municipal,80000.0
Finanzas,Otros Ingresos,200000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2399708.7
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros Ingresos,2000.0
