departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,92376.0
Legislatura Municipal,Seguro Social Federal,7251.0
Legislatura Municipal,Plan Medico,4800.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,3500.0
Legislatura Municipal,Dietas,70000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,2000.0
Legislatura Municipal,Servicios Legales,15000.0
Legislatura Municipal,Cuotas y Suscripciones,3000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,6919.0
Legislatura Municipal,Mantenimiento de Vehiculos,1200.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,3000.0
Oficina del Alcalde(sa),Empleados Regulares,281100.0
Oficina del Alcalde(sa),Seguro Social Federal,21871.0
Oficina del Alcalde(sa),Plan Medico,10800.0
Oficina del Alcalde(sa),Bono Navideno,4800.0
Oficina del Alcalde(sa),Relaciones Publicas,2000.0
Oficina del Alcalde(sa),Servicios Legales,60000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,5000.0
Oficina del Alcalde(sa),Miscelaneos,30000.0
Oficina del Alcalde(sa),Festival o Actividad I,4000.0
Oficina del Alcalde(sa),Festival o Actividad I,1500.0
Oficina del Alcalde(sa),Festival o Actividad I,1800.0
Finanzas,Empleados Regulares,478692.0
Finanzas,Seguro Social Federal,37814.0
Finanzas,Plan Medico,31200.0
Finanzas,Bono Navideno,15600.0
Finanzas,Materiales de Oficina,20000.0
Finanzas,Materiales de Mantenimiento,4000.0
Finanzas,Energia Electrica,199978.0
Finanzas,Utilidades Atrasadas,120000.0
Finanzas,Acueducto y Alcantarillados,240000.0
Finanzas,Telefono y Comunicaciones,72000.0
Finanzas,Programas de Computadoras,92733.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),42400.0
Finanzas,Servicios Profesionales - No Clasificados,63000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,320000.0
Finanzas,Renta de Edificios, Locales y Terrenos,47940.0
Finanzas,Renta de Equipos y Vehiculos,11640.0
Finanzas,Mantenimiento de Equipo,6000.0
Finanzas,Miscelaneos,20000.0
Finanzas,Franqueo,1500.0
