departamento,ingreso,monto
Finanzas,Patentes,755910.0
Finanzas,Patentes Anos Anteriores,100000.0
Finanzas,Impuesto Municipal sobre las Ventas,875222.0
Finanzas,Intereses y Recargos por Demoras en Patentes,40000.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,200000.0
Finanzas,Arbitrios de Construccion,616184.0
Finanzas,Licencias y Permisos,25000.0
Finanzas,Compensacion AEE,199978.0
Finanzas,Otros Ingresos Intergubernamentales,5480914.0
Finanzas,Disposicion Derperdicios,10000.0
Finanzas,Multas,10000.0
Finanzas,Intereses Bancarios,12000.0
Finanzas,Ingresos Eventuales,5000.0
Finanzas,Ingresos Eventuales,1000000.0
Finanzas,Renta Locales y Propiedad Municipal,126358.0
Finanzas,Otros Ingresos,10000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1586188.0
