departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,42576.0
Legislatura Municipal,Seguro Social Federal,3334.0
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Bono Navideno,1000.0
Legislatura Municipal,Dietas,30000.0
Legislatura Municipal,Servicios Legales,12000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,5328.0
Legislatura Municipal,Materiales de Oficina,800.0
Legislatura Municipal,Equipo de Oficina,500.0
Legislatura Municipal,Adiestramientos,200.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Mantenimiento de Vehiculos,200.0
Legislatura Municipal,Miscelaneos,1500.0
Legislatura Municipal,Publicaciones y Anuncios,800.0
Legislatura Municipal,Franqueo,100.0
Oficina del Alcalde(sa),Empleados Regulares,143820.0
Oficina del Alcalde(sa),Empleados Transitorios,29688.0
Oficina del Alcalde(sa),Seguro Social Federal,13465.0
Oficina del Alcalde(sa),Plan Medico,7200.0
Oficina del Alcalde(sa),Bono Navideno,2500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,200.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,48000.0
Oficina del Alcalde(sa),Gastos de Viaje,7500.0
Oficina del Alcalde(sa),Servicios Legales,24000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Franqueo,2350.0
Oficina del Alcalde(sa),Relaciones Publicas,1500.0
Oficina del Alcalde(sa),Becas,1000.0
Oficina del Alcalde(sa),Festival o Actividad I,2000.0
Oficina del Alcalde(sa),Festival o Actividad II,500.0
Oficina del Alcalde(sa),Festival o Actividad III,500.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,1500.0
Oficina del Alcalde(sa),Donaciones,20000.0
Finanzas,Empleados Regulares,443256.0
Finanzas,Empleados Transitorios,18528.0
Finanzas,#N/A,3500.0
Finanzas,Seguro Social Federal,36130.0
Finanzas,Plan Medico,25200.0
Finanzas,Bono Navideno,10500.0
Finanzas,Materiales de Oficina,10500.0
Finanzas,Materiales de Mantenimiento,1594.0
Finanzas,Materiales y Suministros de Operacion,1000.0
Finanzas,Equipo de Oficina,9000.0
Finanzas,Programas de Computadoras,4000.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21900.0
Finanzas,Servicios Profesionales - No Clasificados,82850.0
Finanzas,Servicios No Profesionales,15000.0
