departamento,ingreso,monto
Finanzas,Patentes,898990.0
Finanzas,Impuesto Municipal sobre las Ventas,748616.0
Finanzas,Intereses y Recargos por Demoras en Patentes,15000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1888308.0
Finanzas,Arbitrios de Construccion,189082.0
Finanzas,Licencias y Permisos,6000.0
Finanzas,Compensacion AEE,388743.0
Finanzas,Otros Ingresos Intergubernamentales,3830636.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,100.0
Finanzas,Multas,5000.0
Finanzas,Otros Ingresos por Servicios,8000.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Ingresos Eventuales,180000.0
Finanzas,Renta Locales y Propiedad Municipal,130000.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros Ingresos,20000.0
