departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,67512.0
Legislatura Municipal,Seguro Choferil,24.0
Legislatura Municipal,Seguro Social Federal,5302.37
Legislatura Municipal,Plan Medico,5040.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,250.0
Legislatura Municipal,Dietas,20000.0
Legislatura Municipal,Adiestramientos,250.0
Legislatura Municipal,Relaciones Publicas,2152.9
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Servicios Legales,31500.0
Legislatura Municipal,Cuotas y Suscripciones,2400.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4188.0
Legislatura Municipal,Mantenimiento de Equipo,100.0
Legislatura Municipal,Miscelaneos,200.0
Legislatura Municipal,Publicaciones y Anuncios,300.0
Legislatura Municipal,Telefono y Comunicaciones,1200.0
Oficina del Alcalde(sa),Empleados Regulares,302604.0
Oficina del Alcalde(sa),Seguro Choferil,90.0
Oficina del Alcalde(sa),Seguro Social Federal,23562.31
Oficina del Alcalde(sa),Plan Medico,16800.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,74400.0
Oficina del Alcalde(sa),Servicios Legales,48000.0
Oficina del Alcalde(sa),Programas de Computadoras,500.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Compra de Equipos,5000.0
Oficina del Alcalde(sa),Dietas,7000.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,6000.0
Oficina del Alcalde(sa),Miscelaneos,500.0
Oficina del Alcalde(sa),Becas,5150.0
Oficina del Alcalde(sa),Empleados Regulares,59388.0
Oficina del Alcalde(sa),Seguro Social Federal,4726.78
Oficina del Alcalde(sa),Plan Medico,6720.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,15000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,8400.0
Finanzas,Empleados Regulares,294012.0
Finanzas,Empleados Transitorios,42552.0
Finanzas,Seguro Choferil,25.0
Finanzas,Seguro Social Federal,26481.55
Finanzas,Plan Medico,26880.0
Finanzas,Seguro por Desempleo,25000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,196212.48
Finanzas,Servicios Profesionales - No Clasificados,21000.0
Finanzas,Cargos por Servicios Bancarios,6000.0
Finanzas,Renta de Equipos y Vehiculos,60000.0
Finanzas,Materiales de Oficina,15000.0
Finanzas,Materiales de Mantenimiento,25000.0
Finanzas,Combustible y Lubricantes,150000.0
Finanzas,Energia Electrica,230085.28
Finanzas,Acueducto y Alcantarillados,200000.0
Finanzas,Telefono y Comunicaciones,75000.0
Finanzas,Materiales y Suministros de Operacion,3000.0
Finanzas,Equipo de Oficina,50000.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),22995.0
Finanzas,Servicios No Profesionales,91765.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,340000.0
Finanzas,Cuotas y Suscripciones,100.0
Finanzas,Intereses Cuentas Vendidas,4458.11
Finanzas,Mantenimiento de Equipo,20000.0
Finanzas,Miscelaneos,50000.0
Finanzas,Franqueo,4500.0
Finanzas,Reclamaciones Anos Anteriores,50914.78
Finanzas,Aportacion al Fondo de Equiparacion,955442.0
