departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,48528.0
Legislatura Municipal,Seguro Social Federal,3851.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Materiales y Suministros de Operacion,300.0
Legislatura Municipal,Equipo de Oficina,500.0
Legislatura Municipal,Compra de Equipos,3000.0
Legislatura Municipal,Dietas,25000.0
Legislatura Municipal,Gastos de Representacion,200.0
Legislatura Municipal,Relaciones Publicas,200.0
Legislatura Municipal,Gastos de Viaje,400.0
Legislatura Municipal,Servicios Legales,14400.0
Legislatura Municipal,Cuotas y Suscripciones,2400.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4200.0
Legislatura Municipal,Miscelaneos,100.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Oficina del Alcalde(sa),Empleados Regulares,226056.0
Oficina del Alcalde(sa),Empleados Transitorios,300540.0
Oficina del Alcalde(sa),Seguro Social Federal,41708.0
Oficina del Alcalde(sa),Plan Medico,38400.0
Oficina del Alcalde(sa),Bono Navideno,18600.0
Oficina del Alcalde(sa),Drogas, Medicinas y Otros Suministros,1000.0
Oficina del Alcalde(sa),Donaciones,8000.0
Oficina del Alcalde(sa),Materiales de Oficina,3000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,2000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,3000.0
Oficina del Alcalde(sa),Equipo de Oficina,2000.0
Oficina del Alcalde(sa),Gastos de Representacion,4000.0
Oficina del Alcalde(sa),Adiestramientos,500.0
Oficina del Alcalde(sa),Gastos de Auditoria Sencilla (Single Audit),30000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,150000.0
Oficina del Alcalde(sa),Pruebas de Dopaje,2500.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Gastos de Viaje,10000.0
Oficina del Alcalde(sa),Servicios Legales,15000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,4000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,45000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,12500.0
Oficina del Alcalde(sa),Mantenimiento de Edificios,104950.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,5000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,7000.0
Oficina del Alcalde(sa),Becas,10000.0
Oficina del Alcalde(sa),Donaciones,1000.0
Oficina del Alcalde(sa),Festival o Actividad III,4000.0
Oficina del Alcalde(sa),Donaciones,1000.0
Oficina del Alcalde(sa),Donaciones,35000.0
Finanzas,Empleados Regulares,196332.0
Finanzas,Empleados Transitorios,220968.0
Finanzas,Seguro Choferil,700.0
