departamento,ingreso,monto
Finanzas,Patentes,470000.0
Finanzas,Impuesto Municipal sobre las Ventas,400000.0
Finanzas,Fondo Desarrollo Municipal,350000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,1000.0
Finanzas,Arbitrios de Construccion,200000.0
Finanzas,Licencias y Permisos,5000.0
Finanzas,Compensacion AEE,268856.0
Finanzas,Otros Ingresos Intergubernamentales,5982842.0
Finanzas,Permisos de Uso Estadios y Coliseos,15000.0
Finanzas,Disposicion Derperdicios,50000.0
Finanzas,Multas,500.0
Finanzas,Ingresos Eventuales,10000.0
Finanzas,Renta Locales y Propiedad Municipal,2000.0
Finanzas,Otros Ingresos,150000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1101793.0
Finanzas,Disposicion Derperdicios,7500.0
Finanzas,Otros Ingresos,4000.0
