departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,87770.0
Legislatura Municipal,Seguro Social Federal,6868.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,2500.0
Legislatura Municipal,Materiales de Mantenimiento,1000.0
Legislatura Municipal,Vehiculos Municipales,30000.0
Legislatura Municipal,Compra de Equipos,20000.0
Legislatura Municipal,Dietas,24000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,500.0
Legislatura Municipal,Relaciones Publicas,500.0
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Servicios Legales,20625.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,6000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3800.0
Legislatura Municipal,Reparacion y Mantenimiento de Estructuras,500.0
Legislatura Municipal,Mantenimiento de Vehiculos,500.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Oficina del Alcalde(sa),Empleados Regulares,195508.0
Oficina del Alcalde(sa),Seguro Social Federal,15225.0
Oficina del Alcalde(sa),Bono Navideno,3500.0
Oficina del Alcalde(sa),Materiales de Oficina,1500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1500.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Dietas,1000.0
Oficina del Alcalde(sa),Gastos de Representacion,1000.0
Oficina del Alcalde(sa),Relaciones Publicas,4000.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Donaciones,1000.0
Oficina del Alcalde(sa),Festival o Actividad III,2000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,1000.0
Oficina del Alcalde(sa),Miscelaneos,1500.0
Finanzas,Empleados Regulares,442699.0
Finanzas,Seguro Social Federal,34823.0
Finanzas,Bono Navideno,12500.0
Finanzas,Materiales de Oficina,3500.0
Finanzas,Materiales y Suministros de Operacion,2000.0
Finanzas,Equipo de Oficina,2500.0
Finanzas,Compra de Equipos,1500.0
Finanzas,Adiestramientos,300.0
Finanzas,Mantenimiento de Equipo,1000.0
Finanzas,Mantenimiento de Vehiculos,268.0
Finanzas,Miscelaneos,2000.0
Finanzas,Seguro Choferil,1800.0
Finanzas,Plan Medico,81600.0
Finanzas,Seguro por Desempleo,30000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,223281.0
Finanzas,Materiales de Oficina,4000.0
Finanzas,Materiales de Mantenimiento,1500.0
Finanzas,Energia Electrica,259132.0
Finanzas,Acueducto y Alcantarillados,192000.0
Finanzas,Telefono y Comunicaciones,40000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),28925.0
Finanzas,Servicios Profesionales - No Clasificados,77875.0
Finanzas,Servicios No Profesionales,1500.0
Finanzas,Servicios Legales,60000.0
Finanzas,Servicios de Ingenieria y Arquitectura,16000.0
Finanzas,Tasaciones,1000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,395000.0
Finanzas,Deficit,69774.0
Finanzas,Renta de Equipos y Vehiculos,121656.0
Finanzas,Intereses Cuentas Vendidas,3440.0
Finanzas,Mantenimiento de Equipo,2200.0
Finanzas,Miscelaneos,3000.0
Finanzas,Franqueo,4000.0
Finanzas,Pago de Sentencias y Reclamaciones,127200.0
Finanzas,Reclamaciones Anos Anteriores,25000.0
Finanzas,Aportacion al Fondo de Equiparacion,720646.0
Finanzas,Aportacion al CRIM,50071.0
Finanzas,Liquidacion Deuda del CRIM,116047.0
Obras Publicas,Empleados Regulares,778061.0
Obras Publicas,Empleados Transitorios,96658.0
Obras Publicas,Empleados Irregulares,419413.0
Obras Publicas,Seguro Social Federal,102750.0
Obras Publicas,Bono Navideno,49000.0
Obras Publicas,Equipo de Mantenimiento,1000.0
Obras Publicas,Vehiculos Municipales,25000.0
Obras Publicas,Costos de Construccion,8000.0
Obras Publicas,Renta de Equipos y Vehiculos,151350.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,1800.0
Obras Publicas,Mantenimiento de Vehiculos,7000.0
Obras Publicas,Miscelaneos,2000.0
Obras Publicas,Disposicion de Desperdicios,168000.0
Obras Publicas,Materiales y Suministros de Operacion,2000.0
Obras Publicas,Equipo de Mantenimiento,1000.0
Obras Publicas,Mantenimiento de Vehiculos,1000.0
Obras Publicas,Compra de Uniformes,500.0
Obras Publicas,Compra de Equipos,1000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,1500.0
Obras Publicas,Mantenimiento de Vehiculos,2500.0
Obras Publicas,Miscelaneos,1000.0
Obras Publicas,Combustible y Lubricantes,80000.0
Obras Publicas,Seguros,3600.0
Obras Publicas,Mantenimiento de Vehiculos,25000.0
Obras Publicas,Miscelaneos,550.0
Obras Publicas,Materiales y Suministros de Operacion,6500.0
Obras Publicas,Compra de Equipos,3000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,6000.0
Obras Publicas,Mantenimiento de Edificios,1000.0
Obras Publicas,Renta de Edificios, Locales y Terrenos,127920.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,300.0
Obras Publicas,Compra de Equipos,500.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,2500.0
Obras Publicas,Materiales de Oficina,1000.0
Obras Publicas,Compra de Equipos,1300.0
Obras Publicas,Adiestramientos,150.0
Obras Publicas,Mantenimiento de Vehiculos,2500.0
Obras Publicas,Miscelaneos,100.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,172189.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,13555.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,5000.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,1300.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,500.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,500.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,500.0
Oficina Municipal Manejo de Emergencias,Relaciones Publicas,150.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,150.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,2500.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,600.0
Oficina Municipal Manejo de Emergencias,Publicaciones y Anuncios,100.0
