departamento,ingreso,monto
Finanzas,Patentes,405704.0
Finanzas,Impuesto Municipal sobre las Ventas,227875.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,2500.0
Finanzas,Intereses y Recargos por Demoras en Patentes,10000.0
Finanzas,Otros Impuestos Locales,1000.0
Finanzas,Arbitrios de Construccion,62833.0
Finanzas,Licencias y Permisos,0.0
Finanzas,Compensacion AEE,259132.0
Finanzas,Otros Ingresos Intergubernamentales,4239570.0
Finanzas,Disposicion Derperdicios,1000.0
Finanzas,Multas,500.0
Finanzas,Intereses en Inversiones,1000.0
Finanzas,Ingresos Eventuales,1150000.0
Finanzas,Renta Locales y Propiedad Municipal,32400.0
Finanzas,Otros Ingresos,700000.0
Finanzas,Ventas Sellos y Comprobantes Departamento de Hacienda,1000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1077503.0
