departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,34272.0
Legislatura Municipal,Empleados Transitorios,14148.0
Legislatura Municipal,Seguro Choferil,32.0
Legislatura Municipal,Seguro Social Federal,3826.53
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Seguro por Desempleo,792.0
Legislatura Municipal,Bono Navideno,1600.0
Legislatura Municipal,Materiales de Oficina,800.0
Legislatura Municipal,Dietas,35000.0
Legislatura Municipal,Gastos de Viaje,2400.0
Legislatura Municipal,Cuotas y Suscripciones,3900.0
Legislatura Municipal,Publicaciones y Anuncios,1000.0
Oficina del Alcalde(sa),Empleados Regulares,362160.0
Oficina del Alcalde(sa),Empleados Transitorios,62400.0
Oficina del Alcalde(sa),Seguro Choferil,128.0
Oficina del Alcalde(sa),Seguro Social Federal,33396.84
Oficina del Alcalde(sa),Plan Medico,24000.0
Oficina del Alcalde(sa),Seguro por Desempleo,6336.0
Oficina del Alcalde(sa),Bono Navideno,12000.0
Oficina del Alcalde(sa),Materiales de Oficina,800.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,5500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,9000.0
Oficina del Alcalde(sa),Gastos de Auditoria Sencilla (Single Audit),22000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,131000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Gastos de Viaje,10000.0
Oficina del Alcalde(sa),Servicios Legales,126000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7500.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,17000.0
Finanzas,Empleados Regulares,226656.0
Finanzas,Empleados Transitorios,63084.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,25000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,106600.0
Finanzas,Seguro Choferil,48.0
Finanzas,Seguro Social Federal,30080.95
Finanzas,Plan Medico,24000.0
Finanzas,Seguro por Desempleo,6336.0
Finanzas,SINOT,8300.0
Finanzas,Bono Navideno,90675.0
Finanzas,Bono Navideno,12800.0
Finanzas,Beneficios Marginales,53143.44
Finanzas,Materiales de Oficina,7200.0
Finanzas,Materiales y Suministros de Operacion,200.0
Finanzas,Servicios Profesionales - No Clasificados,78870.0
Finanzas,Servicios No Profesionales,400000.0
Finanzas,Renta de Edificios, Locales y Terrenos,10752.0
Finanzas,Mantenimiento de Vehiculos,3200.0
Finanzas,Beneficio por Fondo del Seguro del Estado,365421.98
Finanzas,Energia Electrica,461391.0
Finanzas,Acueducto y Alcantarillados,220000.0
Finanzas,Telefono y Comunicaciones,56000.0
Finanzas,Pruebas de Dopaje,1500.0
Finanzas,Gastos de Viaje,8000.0
Finanzas,Seguros,477000.0
Finanzas,Renta de Equipos y Vehiculos,182256.0
Finanzas,Intereses Cuentas Vendidas,32959.72
Finanzas,Miscelaneos,75725.44
Finanzas,Reclamaciones Anos Anteriores,124981.0
Finanzas,Aportacion al Fondo de Equiparacion,1205918.0
Finanzas,Aportacion al CRIM,141566.0
Finanzas,Liquidacion Deuda del CRIM,91158.0
Finanzas,Transferencias que Salen,456743.87
Obras Publicas,Empleados Regulares,641280.0
Obras Publicas,Empleados Transitorios,1224714.24
Obras Publicas,Seguro Choferil,448.0
Obras Publicas,Seguro Social Federal,150337.36
Obras Publicas,Plan Medico,120000.0
Obras Publicas,Seguro por Desempleo,49104.0
Obras Publicas,Bono Navideno,99200.0
Obras Publicas,Materiales de Oficina,1100.0
Obras Publicas,Materiales de Mantenimiento,2700.0
Obras Publicas,Combustible y Lubricantes,235000.0
Obras Publicas,Materiales de Construccion,150000.0
Obras Publicas,Servicios de Ingenieria y Arquitectura,24000.0
Obras Publicas,Costos de Construccion,350000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,5000.0
Obras Publicas,Mantenimiento de Vehiculos,300000.0
Obras Publicas,Materiales y Suministros de Operacion,58000.0
Obras Publicas,Compra de Equipos,50000.0
Obras Publicas,Canon Excavaciones y Demoliciones,8000.0
Obras Publicas,Renta de Equipos y Vehiculos,17900.0
