departamento,ingreso,monto
Finanzas,Patentes,6733377.16
Finanzas,Impuesto Municipal sobre las Ventas,465500.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,461240.06
Finanzas,Licencias y Permisos,10600.0
Finanzas,Compensacion AEE,358130.97
Finanzas,Otros Ingresos Intergubernamentales,3074019.0
Finanzas,Disposicion Derperdicios,13900.0
Finanzas,Multas,3400.0
Finanzas,Intereses en Inversiones,60000.0
Finanzas,Ingresos Eventuales,36000.0
Finanzas,Renta Locales y Propiedad Municipal,145000.0
Finanzas,Otros Ingresos,1390000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2867723.0
Finanzas,Fiestas Patronales,15000.0
