departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,361692.0
Legislatura Municipal,Seguro Social Federal,27990.74
Legislatura Municipal,Plan Medico,18480.0
Legislatura Municipal,Bono Navideno,4200.0
Legislatura Municipal,Materiales de Oficina,1200.0
Legislatura Municipal,Materiales y Suministros de Operacion,400.0
Legislatura Municipal,Compra de Equipos,4000.0
Legislatura Municipal,Dietas,47000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,23800.0
Legislatura Municipal,Cuotas y Suscripciones,1000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,7400.0
Legislatura Municipal,Mantenimiento de Edificios,10000.0
Legislatura Municipal,Miscelaneos,2144.0
Legislatura Municipal,Publicaciones y Anuncios,30000.0
Oficina del Alcalde(sa),Empleados Regulares,469727.0
Oficina del Alcalde(sa),Seguro Social Federal,36163.59
Oficina del Alcalde(sa),Plan Medico,14520.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Alimentos,3200.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1200.0
Oficina del Alcalde(sa),Gastos de Viaje,2400.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,24000.0
Oficina del Alcalde(sa),Miscelaneos,400.0
Oficina del Alcalde(sa),Festival o Actividad III,800.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,800.0
Finanzas,Empleados Regulares,304644.0
Finanzas,Empleados Transitorios,7536.0
Finanzas,Seguro Social Federal,24180.12
Finanzas,Plan Medico,17160.0
Finanzas,Bono Navideno,3900.0
Finanzas,Empleados Regulares,320976.0
Finanzas,Seguro Social Federal,24967.76
Finanzas,Plan Medico,23760.0
Finanzas,Bono Navideno,5400.0
Finanzas,Empleados Regulares,16440.0
Finanzas,Empleados Transitorios,36744.0
Finanzas,Seguro Social Federal,4114.48
Finanzas,Plan Medico,2640.0
Finanzas,Bono Navideno,600.0
Finanzas,Empleados Regulares,328164.0
Finanzas,Empleados Transitorios,28296.0
Finanzas,Seguro Social Federal,27797.04
Finanzas,Plan Medico,30360.0
Finanzas,Bono Navideno,6900.0
Finanzas,Seguro Choferil,22000.0
Finanzas,Seguro por Desempleo,400000.0
Finanzas,SINOT,80000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,1433276.02
Finanzas,Compra de Uniformes,2000.0
Finanzas,Energia Electrica,6886602.25
Finanzas,Acueducto y Alcantarillados,4000000.0
Finanzas,Telefono y Comunicaciones,417000.0
Finanzas,Materiales y Suministros de Operacion,400.0
Finanzas,Adiestramientos,120.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),135880.0
Finanzas,Servicios Profesionales - No Clasificados,68000.0
Finanzas,Gastos de Viaje,160.0
Finanzas,Canon Excavaciones y Demoliciones,9600.0
Finanzas,Cargos por Servicios Bancarios,600.0
Finanzas,Seguros,3952701.0
Finanzas,Deficit,1078010.0
Finanzas,Intereses Cuentas Vendidas,162752.01
Finanzas,Miscelaneos,30000.0
Finanzas,Aportacion al Fondo de Equiparacion,10671860.0
Finanzas,Reclamaciones Anos Anteriores,166150.0
Finanzas,Reserva,44000.0
Finanzas,Aportacion al CRIM,1212655.15
Finanzas,Liquidacion Deuda del CRIM,35629.15
Finanzas,Transferencias que Salen,1993002.5
Obras Publicas,Empleados Regulares,322104.0
Obras Publicas,Empleados Transitorios,22608.0
Obras Publicas,Seguro Social Federal,26875.37
Obras Publicas,Plan Medico,29040.0
Obras Publicas,Bono Navideno,6600.0
Obras Publicas,Herramientas,1200.0
Obras Publicas,Compra de Uniformes,200.0
Obras Publicas,Equipo de Oficina,600.0
Obras Publicas,Compra de Equipos,30000.0
Obras Publicas,Servicios Profesionales - No Clasificados,27180.0
Obras Publicas,Gastos de Viaje,240.0
Obras Publicas,Cuotas y Suscripciones,480.0
Obras Publicas,Mantenimiento de Equipo,400.0
Obras Publicas,Disposicion de Desperdicios,4000.0
Obras Publicas,Empleados Regulares,867060.0
Obras Publicas,Empleados Transitorios,128412.0
Obras Publicas,Seguro Social Federal,77828.96
Obras Publicas,Plan Medico,96360.0
Obras Publicas,Bono Navideno,21900.0
Obras Publicas,Materiales de Construccion,24000.0
Obras Publicas,Materiales y Suministros de Operacion,125000.0
Obras Publicas,Costos de Construccion,64000.0
Obras Publicas,Renta de Equipos y Vehiculos,8000.0
Obras Publicas,Miscelaneos,600.0
Obras Publicas,Empleados Regulares,129888.0
Obras Publicas,Seguro Social Federal,10188.88
Obras Publicas,Plan Medico,14520.0
Obras Publicas,Bono Navideno,3300.0
Obras Publicas,Compra de Equipos,444.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,20000.0
Salud,Empleados Regulares,163968.0
Salud,Empleados Transitorios,185040.0
Salud,Seguro Social Federal,26997.46
Salud,Plan Medico,17160.0
Salud,Bono Navideno,3900.0
Salud,Drogas, Medicinas y Otros Suministros,60000.0
Salud,Vehiculos Municipales,5000.0
Salud,Equipo Medico,5000.0
Salud,Compra de Equipos,1000.0
Salud,Servicios Profesionales - No Clasificados,41000.0
Salud,Miscelaneos,7775.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,121492.88
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,9454.86
Oficina Municipal Manejo de Emergencias,Plan Medico,9240.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,2100.0
Oficina Municipal Manejo de Emergencias,Telefono y Comunicaciones,23000.0
