departamento,ingreso,monto
Finanzas,Patentes,19000000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,14123101.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,76253.25
Finanzas,Intereses y Recargos por Demoras en Patentes,724047.04
Finanzas,Otros Impuestos Locales,10000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,2500000.0
Finanzas,Licencias y Permisos,453464.71
Finanzas,Compensacion AEE,3497620.0
Finanzas,Otros Ingresos Intergubernamentales,0.0
Finanzas,Aportaciones Federales,0.0
Finanzas,Aportaciones Estatales,0.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Servicios Medicos Ambulatorios,42765.0
Finanzas,Servicios Parques Diversiones,38383.0
Finanzas,Permisos de Uso Parques y RecreosPermisos de Uso,122000.0
Finanzas,Estadios y ColiseosDisposicion,50427.0
Finanzas,DerperdiciosIngresos por,1930000.0
Finanzas,Servicios,0.0
Finanzas,MultasIntereses en,900000.0
Finanzas,Inversiones,0.0
Finanzas,Intereses Bancarios,3676.0
Finanzas,Ingresos EventualesRenta Locales y,0.0
Finanzas,Propiedad Municipal,837115.0
Finanzas,Otros IngresosOtros Recursos,1278083.0
Finanzas,FinancierosContribucion,5853027.0
Finanzas,Propiedad No Licencias y,26546890.0
Finanzas,Permisos,0.0
Finanzas,Otros Ingresos,0.0
Finanzas,Otros Ingresos,634622.0
Finanzas,Otros IngresosContribucion sobre,120000.0
Finanzas,la Propiedad, Anos Disposicion,0.0
Finanzas,DerperdiciosOtros Ingresos por,0.0
Oficina Municipal,ServiciosOtros Ingresos por,180000.0
Manejo de,ServiciosOtros Ingresos por,936000.0
Oficina de,ServiciosOtros Ingresos por,62258.0
Permisos,Servicios,726716.0
