departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,66336.0
Legislatura Municipal,Seguro Social Federal,5121.0
Legislatura Municipal,Plan Medico,5400.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,3000.0
Legislatura Municipal,Materiales de Construccion,1000.0
Legislatura Municipal,Compra de Equipos,1500.0
Legislatura Municipal,Dietas,35596.0
Legislatura Municipal,Gastos de Representacion,100.0
Legislatura Municipal,Adiestramientos,1600.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,20000.0
Legislatura Municipal,Cuotas y Suscripciones,2800.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3900.0
Legislatura Municipal,Miscelaneos,2000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Franqueo,100.0
Oficina del Alcalde(sa),Empleados Regulares,323652.0
Oficina del Alcalde(sa),Seguro Social Federal,25172.0
Oficina del Alcalde(sa),Plan Medico,18000.0
Oficina del Alcalde(sa),Bono Navideno,5400.0
Oficina del Alcalde(sa),Donaciones,10000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7000.0
Oficina del Alcalde(sa),Donaciones,35000.0
Oficina del Alcalde(sa),Miscelaneos,2500.0
Oficina del Alcalde(sa),Empleados Regulares,26220.0
Oficina del Alcalde(sa),Seguro Social Federal,2052.0
Oficina del Alcalde(sa),Plan Medico,1800.0
Oficina del Alcalde(sa),Bono Navideno,600.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Finanzas,Empleados Regulares,278568.0
Finanzas,Seguro Social Federal,22508.0
Finanzas,Plan Medico,25200.0
Finanzas,Seguro por Desempleo,155000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,191689.0
Finanzas,Bono Navideno,8400.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Materiales de Mantenimiento,5000.0
Finanzas,Combustible y Lubricantes,112000.0
Finanzas,Telefono y Comunicaciones,60000.0
Finanzas,Materiales y Suministros de Operacion,1000.0
Finanzas,Equipo de Oficina,6000.0
Finanzas,Dietas,10000.0
