departamento,ingreso,monto
Finanzas,Patentes,750000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,600000.0
Finanzas,Fondo Desarrollo Municipal,320000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,15000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,150000.0
Finanzas,Licencias y Permisos,0.0
Finanzas,Compensacion AEE,236157.0
Finanzas,Otros Ingresos Intergubernamentales,4138168.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,10000.0
Finanzas,Otros Ingresos por Servicios,2000.0
Finanzas,Multas,1000.0
Finanzas,Intereses Bancarios,50000.0
Finanzas,Ingresos Eventuales,200000.0
Finanzas,Renta Locales y Propiedad Municipal,15000.0
Finanzas,Otros IngresosContribucion,2000.0
Contribucion,Propiedad No,1616920.0
Recaudos e Ingresos,Otros Ingresos,5000.0
