departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,58044.0
Legislatura Municipal,Seguro Social Federal,4579.0
Legislatura Municipal,Plan Medico,4320.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,2050.0
Legislatura Municipal,Materiales y Suministros de Operacion,1000.0
Legislatura Municipal,Compra de Equipos,2000.0
Legislatura Municipal,Dietas,25000.0
Legislatura Municipal,Gastos de Representacion,200.0
Legislatura Municipal,Adiestramientos,2000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,1000.0
Legislatura Municipal,Relaciones Publicas,200.0
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Servicios Legales,20000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,1800.0
Legislatura Municipal,Mantenimiento de Equipo,400.0
Legislatura Municipal,Mantenimiento de Vehiculos,600.0
Legislatura Municipal,Miscelaneos,800.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Legislatura Municipal,Otros Festivales o Actividades,1500.0
Oficina del Alcalde(sa),Empleados Regulares,457212.0
Oficina del Alcalde(sa),Seguro Social Federal,35666.0
Oficina del Alcalde(sa),Plan Medico,23040.0
Oficina del Alcalde(sa),Bono Navideno,9000.0
Oficina del Alcalde(sa),Materiales de Oficina,4300.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,2000.0
Oficina del Alcalde(sa),Gastos de Representacion,1800.0
Oficina del Alcalde(sa),Adiestramientos,4000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,62000.0
Oficina del Alcalde(sa),Relaciones Publicas,8000.0
Oficina del Alcalde(sa),Gastos de Viaje,4000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Donaciones,5000.0
Oficina del Alcalde(sa),Becas,10000.0
Oficina del Alcalde(sa),Miscelaneos,1500.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,7000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,10000.0
Oficina del Alcalde(sa),Festival o Actividad I,2500.0
Finanzas,Empleados Regulares,373284.0
Finanzas,Seguro Social Federal,29429.0
Finanzas,Plan Medico,27360.0
Finanzas,Bono Navideno,11400.0
Finanzas,Cargos por Servicios Bancarios,8000.0
Finanzas,Seguro Choferil,1500.0
Finanzas,Seguro Social Federal,10710.0
Finanzas,Seguro por Desempleo,20000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,181686.0
Finanzas,Bono Navideno,40000.0
Finanzas,Materiales de Oficina,6000.0
Finanzas,Energia Electrica,492528.0
Finanzas,Acueducto y Alcantarillados,350000.0
Finanzas,Telefono y Comunicaciones,45000.0
Finanzas,Compra de Equipos,3000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),22000.0
Finanzas,Servicios Profesionales - No Clasificados,48000.0
Finanzas,Gastos de Viaje,4800.0
Finanzas,Servicios Legales,84000.0
Finanzas,Seguros,500000.0
Finanzas,Renta de Equipos y Vehiculos,25000.0
Finanzas,Intereses Cuentas Vendidas,2929.0
Finanzas,Mantenimiento de Equipo,5000.0
Finanzas,Mantenimiento de Edificios,4000.0
Finanzas,Miscelaneos,12577.0
Finanzas,Franqueo,4000.0
Finanzas,Pago de Sentencias y Reclamaciones,5000.0
Finanzas,Aportacion al Fondo de Equiparacion,585669.0
Finanzas,Aportacion al CRIM,106437.0
Finanzas,Liquidacion Deuda del CRIM,35122.0
Finanzas,Transferencias que Salen,1000.0
Obras Publicas,Empleados Regulares,1042452.0
Obras Publicas,Seguro Social Federal,82823.0
Obras Publicas,Plan Medico,96480.0
Obras Publicas,Bono Navideno,40200.0
Obras Publicas,Materiales de Oficina,500.0
Obras Publicas,Materiales de Mantenimiento,3500.0
Obras Publicas,Combustible y Lubricantes,225000.0
Obras Publicas,Materiales de Construccion,15000.0
