departamento,ingreso,monto
Finanzas,Patentes,550000.0
Finanzas,Impuesto Municipal sobre las Ventas,525000.0
Finanzas,Fondo Desarrollo Municipal,560000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,5000.0
Finanzas,Arbitrios de Construccion,300000.0
Finanzas,Licencias y Permisos,15000.0
Finanzas,Compensacion AEE,456683.0
Finanzas,Otros Ingresos Intergubernamentales,3322340.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Ingresos por Servicios Transportacion,206668.0
Finanzas,Multas,3000.0
Finanzas,Intereses Bancarios,25000.0
Finanzas,Ingresos Eventuales,20064.0
Finanzas,Renta Locales y Propiedad Municipal,160000.0
Finanzas,Otros Ingresos,50000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2161245.0
