departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,111768.0
Legislatura Municipal,Seguro Choferil,15.6
Legislatura Municipal,Seguro Social Federal,8856.25
Legislatura Municipal,Plan Medico,6000.0
Legislatura Municipal,Bono Navideno,4000.0
Legislatura Municipal,Dietas,40000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Servicios Legales,30000.0
Legislatura Municipal,Cuotas y Suscripciones,3100.0
Legislatura Municipal,Miscelaneos,2000.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Equipo de Oficina,16372.0
Legislatura Municipal,Compra de Equipos,2000.0
Legislatura Municipal,Publicaciones y Anuncios,1000.0
Oficina del Alcalde(sa),Empleados Regulares,453324.0
Oficina del Alcalde(sa),Empleados Transitorios,88464.0
Oficina del Alcalde(sa),Seguro Choferil,62.4
Oficina del Alcalde(sa),Seguro Social Federal,42609.58
Oficina del Alcalde(sa),Plan Medico,24000.0
Oficina del Alcalde(sa),Bono Navideno,14400.0
Oficina del Alcalde(sa),Gastos de Representacion,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,62000.0
Oficina del Alcalde(sa),Servicios Legales,60000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,11000.0
Oficina del Alcalde(sa),Donaciones,20000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,67644.0
Oficina del Alcalde(sa),Miscelaneos,2000.0
Oficina del Alcalde(sa),Franqueo,10000.0
Oficina del Alcalde(sa),Relaciones Publicas,2000.0
Oficina del Alcalde(sa),Becas,36000.0
Oficina del Alcalde(sa),Donaciones,85000.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Compra de Equipos,1000.0
Oficina del Alcalde(sa),Miscelaneos,3768.8
Finanzas,Empleados Regulares,296532.0
Finanzas,Empleados Transitorios,250608.0
Finanzas,Seguro Choferil,171.6
Finanzas,Seguro Social Federal,43814.61
Finanzas,Plan Medico,38400.0
Finanzas,Bono Navideno,25600.0
Finanzas,Energia Electrica,382347.55
Finanzas,Acueducto y Alcantarillados,132000.0
Finanzas,Servicios Profesionales - No Clasificados,118000.0
Finanzas,Servicios Legales,38355.0
Finanzas,Seguros,400000.0
Finanzas,Miscelaneos,30000.0
Finanzas,Pago de Sentencias y Reclamaciones,290000.0
Finanzas,Aportacion al Fondo de Equiparacion,1524345.71
Finanzas,Aportacion al CRIM,347694.16
