departamento,ingreso,monto
Finanzas,Patentes,2383577.0
Finanzas,Impuesto Municipal sobre las Ventas,1859763.0
Finanzas,Arbitrios de Construccion,1850000.0
Finanzas,Licencias y Permisos,9200.0
Finanzas,Compensacion AEE,382347.55
Finanzas,Multas,5916.25
Finanzas,Ingresos Eventuales,201800.0
Finanzas,Renta Locales y Propiedad Municipal,60000.0
Finanzas,Otros Ingresos,1848000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),7137213.19
Finanzas,Otros Ingresos Intergubernamentales,656572.6
