departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,85776.0
Legislatura Municipal,Empleados Transitorios,21744.0
Legislatura Municipal,Seguro Social Federal,8493.03
Legislatura Municipal,Plan Medico,9000.0
Legislatura Municipal,Bono Navideno,3500.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Compra de Equipos,250.0
Legislatura Municipal,Dietas,40000.0
Legislatura Municipal,Servicios Legales,19500.0
Legislatura Municipal,Mantenimiento de Equipo,250.0
Legislatura Municipal,Miscelaneos,250.0
Legislatura Municipal,Publicaciones y Anuncios,500.0
Oficina del Alcalde(sa),Empleados Regulares,418860.0
Oficina del Alcalde(sa),Empleados Transitorios,225948.0
Oficina del Alcalde(sa),Seguro Social Federal,51163.81
Oficina del Alcalde(sa),Plan Medico,54000.0
Oficina del Alcalde(sa),Bono Navideno,24000.0
Oficina del Alcalde(sa),Bono Navideno,40000.0
Oficina del Alcalde(sa),Seguro Social Federal,25517.58
Oficina del Alcalde(sa),Materiales de Oficina,25000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,15000.0
Oficina del Alcalde(sa),Compra de Equipos,5000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,95000.0
Oficina del Alcalde(sa),Servicios Legales,70000.0
Oficina del Alcalde(sa),Donaciones,500.0
Oficina del Alcalde(sa),Empleados Irregulares,333563.1
Oficina del Alcalde(sa),Servicios No Profesionales,50000.0
Oficina del Alcalde(sa),Miscelaneos,3000.0
Oficina del Alcalde(sa),Franqueo,8000.0
Oficina del Alcalde(sa),Fiestas Patronales,100.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,20000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,40500.0
Oficina del Alcalde(sa),Donaciones,100000.0
Oficina del Alcalde(sa),Pago de Sentencias y Reclamaciones,43100.0
Finanzas,Empleados Regulares,155664.0
Finanzas,Empleados Transitorios,155364.0
Finanzas,Seguro Social Federal,24596.89
Finanzas,Plan Medico,27000.0
Finanzas,Bono Navideno,10500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17000.0
Finanzas,Seguros,370000.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,25000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,115000.0
Finanzas,Seguro Social Federal,11000.0
Finanzas,Seguro Choferil,3000.0
Finanzas,Seguro por Desempleo,5000.0
Finanzas,Interes y Penalidades,500.0
Finanzas,Acueducto y Alcantarillados,25000.0
Finanzas,Telefono y Comunicaciones,50000.0
Finanzas,Adiestramientos,2000.0
Finanzas,Servicios Profesionales - No Clasificados,28800.0
Finanzas,Gastos de Viaje,18000.0
Finanzas,Seguros,6000.0
Finanzas,Cuotas y Suscripciones,8000.0
Finanzas,Deficit,111118.6
Finanzas,Mantenimiento de Equipo,30000.0
Finanzas,Miscelaneos,65000.0
Finanzas,Publicaciones y Anuncios,8000.0
Finanzas,Aportacion al CRIM,68352.5
Finanzas,Intereses Cuentas Vendidas,2066.09
Finanzas,Liquidacion Deuda del CRIM,30601.84
Finanzas,Transferencias que Salen,49268.22
Finanzas,Transferencias que Salen,215219.92
Finanzas,Renta de Equipos y Vehiculos,50000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,312212.27
Obras Publicas,Empleados Regulares,297804.0
Obras Publicas,Empleados Transitorios,241320.0
Obras Publicas,Seguro Social Federal,42925.99
Obras Publicas,Plan Medico,52500.0
Obras Publicas,Bono Navideno,22000.0
Obras Publicas,Energia Electrica,341404.98
Obras Publicas,Materiales de Construccion,1500.0
Obras Publicas,Renta de Equipos y Vehiculos,500.0
Obras Publicas,Miscelaneos,500.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Disposicion de Desperdicios,25000.0
Salud,Empleados Regulares,312000.0
Salud,Empleados Transitorios,327456.0
Salud,Seguro Social Federal,50448.38
Salud,Plan Medico,51000.0
Salud,Bono Navideno,20000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,42732.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,119616.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,12916.87
Oficina Municipal Manejo de Emergencias,Plan Medico,13500.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,6500.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,100.0
Oficina Municipal Manejo de Emergencias,Alimentos,100.0
Oficina Municipal Manejo de Emergencias,Combustible y Lubricantes,100.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,100.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,100.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,100.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,100.0
Guardia Municipal,Empleados Regulares,183276.0
Guardia Municipal,Empleados Transitorios,14448.0
Guardia Municipal,Seguro Social Federal,15584.89
Guardia Municipal,Plan Medico,16500.0
Guardia Municipal,Bono Navideno,6000.0
Recursos Humanos,Empleados Regulares,169428.0
Recursos Humanos,Empleados Transitorios,61992.0
Recursos Humanos,Seguro Social Federal,18239.13
Recursos Humanos,Plan Medico,19500.0
Recursos Humanos,Bono Navideno,7000.0
Recursos Humanos,Pruebas de Dopaje,2500.0
Recreacion y Deportes,Empleados Regulares,134052.0
Recreacion y Deportes,Empleados Transitorios,83772.0
Recreacion y Deportes,Seguro Social Federal,17099.59
Recreacion y Deportes,Plan Medico,22500.0
Recreacion y Deportes,Bono Navideno,9500.0
Recreacion y Deportes,Materiales y Suministros de Operacion,5000.0
Recreacion y Deportes,Servicios No Profesionales,5000.0
Recreacion y Deportes,Donaciones,1000.0
Recreacion y Deportes,Miscelaneos,1000.0
Centro de Envejecientes,Empleados Regulares,75576.0
Centro de Envejecientes,Empleados Transitorios,125856.0
Centro de Envejecientes,Seguro Social Federal,16059.8
Centro de Envejecientes,Plan Medico,9000.0
Centro de Envejecientes,Bono Navideno,8500.0
Centro de Envejecientes,Alimentos,40000.0
Centro de Envejecientes,Miscelaneos,2000.0
Relaciones Publicas,Empleados Regulares,13968.0
Relaciones Publicas,Empleados Transitorios,24516.0
Relaciones Publicas,Seguro Social Federal,3058.78
Relaciones Publicas,Plan Medico,4500.0
Relaciones Publicas,Bono Navideno,1500.0
Relaciones Publicas,Relaciones Publicas,10000.0
Secretaria Municipal,Empleados Regulares,65880.0
Secretaria Municipal,Empleados Transitorios,11352.0
Secretaria Municipal,Seguro Social Federal,6137.75
