departamento,ingreso,monto
Finanzas,Otros Ingresos Intergubernamentales,3939398.42
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,2000.0
Finanzas,Ingresos por Servicios Transportacion,5000.0
Finanzas,Servicios de Salud,50000.0
Finanzas,Multas,3000.0
Finanzas,Intereses en Inversiones,10000.0
Finanzas,Ingresos Eventuales,305398.73
Finanzas,Patentes,922544.0
Finanzas,Impuesto Municipal sobre las Ventas,506593.0
Finanzas,Fondo Desarrollo Municipal,670857.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1437649.0
Finanzas,Arbitrios de Construccion,77583.0
Finanzas,Licencias y Permisos,10000.0
Finanzas,Compensacion AEE,339515.42
Finanzas,Renta Locales y Propiedad Municipal,145066.15
Finanzas,Otros Ingresos,300000.0
Finanzas,Otros Impuestos Locales,33632.0
Finanzas,Fiestas Patronales,100.0
