departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,110628.0
Legislatura Municipal,Seguro Choferil,46.8
Legislatura Municipal,Seguro Social Federal,8922.04
Legislatura Municipal,Plan Medico,8640.0
Legislatura Municipal,Bono Navideno,3600.0
Legislatura Municipal,Dietas,46600.0
Legislatura Municipal,Servicios Legales,12000.0
Legislatura Municipal,Cuotas y Suscripciones,1400.0
Legislatura Municipal,Mantenimiento de Equipo,1200.0
Legislatura Municipal,Publicaciones y Anuncios,4000.0
Legislatura Municipal,Miscelaneos,2500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,1200.0
Oficina del Alcalde(sa),Empleados Regulares,210108.0
Oficina del Alcalde(sa),Seguro Choferil,78.0
Oficina del Alcalde(sa),Seguro Social Federal,16379.26
Oficina del Alcalde(sa),Plan Medico,5760.0
Oficina del Alcalde(sa),Bono Navideno,2400.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8000.0
Finanzas,Empleados Regulares,274728.0
Finanzas,Seguro Choferil,109.2
Finanzas,Seguro Social Federal,29856.11
Finanzas,Plan Medico,28800.0
Finanzas,Bono Navideno,12000.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,21000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,10000.0
Finanzas,Equipo de Oficina,30000.0
Finanzas,Seguro por Desempleo,15000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,177999.89
Finanzas,Materiales de Oficina,20000.0
Finanzas,Acueducto y Alcantarillados,500000.0
Finanzas,Telefono y Comunicaciones,72061.56
Finanzas,Servicios Profesionales - No Clasificados,310641.8
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17850.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,382846.44
Finanzas,Intereses Cuentas Vendidas,13681.72
Finanzas,Miscelaneos,80000.0
Finanzas,Franqueo,3000.0
Finanzas,Deficit,50000.0
Finanzas,Reserva de Deficit,60000.0
Finanzas,Pago de Sentencias y Reclamaciones,107350.0
Finanzas,Reclamaciones Anos Anteriores,230000.0
Finanzas,Aportacion al CRIM,89383.42
Finanzas,Liquidacion Deuda del CRIM,84505.15
Finanzas,Transferencias que Salen,86459.3
Finanzas,Mantenimiento de Equipo,9162.0
Finanzas,Compra de Equipos,90000.0
Finanzas,Servicios Legales,48000.0
Finanzas,Aportacion al Fondo de Equiparacion,839266.96
Finanzas,Empleados Transitorios,64548.0
Obras Publicas,Empleados Regulares,509148.0
Obras Publicas,Seguro Choferil,717.6
Obras Publicas,Seguro Social Federal,59280.46
Obras Publicas,Plan Medico,67680.0
Obras Publicas,Bono Navideno,28200.0
Obras Publicas,Compra de Equipos,250000.0
Obras Publicas,Equipo de Mecanica,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,111000.0
Obras Publicas,Materiales de Mantenimiento,12000.0
Obras Publicas,Combustible y Lubricantes,175000.0
Obras Publicas,Energia Electrica,320773.35
Obras Publicas,Equipo de Mecanica,5000.0
Obras Publicas,Equipo de Construccion,2000.0
Obras Publicas,Renta de Equipos y Vehiculos,170000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,20000.0
Obras Publicas,Mantenimiento de Vehiculos,150000.0
Obras Publicas,Mantenimiento de Edificios,64000.0
Obras Publicas,Materiales de Construccion,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,274061.69
Obras Publicas,Empleados Transitorios,218760.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,233952.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,202.8
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,22892.17
Oficina Municipal Manejo de Emergencias,Plan Medico,21600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,9000.0
Oficina Municipal Manejo de Emergencias,Alimentos,3000.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,50292.0
Guardia Municipal,Empleados Regulares,574368.0
Guardia Municipal,Seguro Choferil,390.0
Guardia Municipal,Seguro Social Federal,47163.47
Guardia Municipal,Plan Medico,40320.0
Guardia Municipal,Bono Navideno,16800.0
Guardia Municipal,Empleados Transitorios,14148.0
Recursos Humanos,Empleados Regulares,159708.0
Recursos Humanos,Seguro Choferil,109.2
Recursos Humanos,Seguro Social Federal,25032.31
Recursos Humanos,Plan Medico,14400.0
Recursos Humanos,Bono Navideno,25200.0
Recursos Humanos,Pruebas de Dopaje,500.0
Recursos Humanos,Adiestramientos,3000.0
Recursos Humanos,Empleados Transitorios,14568.0
Recursos Humanos,Empleados Irregulares,123743.75
Recreacion y Deportes,Empleados Regulares,176772.0
Recreacion y Deportes,Seguro Choferil,140.4
Recreacion y Deportes,Seguro Social Federal,15523.38
Recreacion y Deportes,Plan Medico,17280.0
Recreacion y Deportes,Bono Navideno,7200.0
Recreacion y Deportes,Compra de Equipos,20000.0
Recreacion y Deportes,Donaciones,8000.0
Recreacion y Deportes,Festival o Actividad I,30000.0
Recreacion y Deportes,Donaciones,39500.0
Recreacion y Deportes,Empleados Transitorios,14148.0
Centro de Envejecientes,Empleados Regulares,84852.0
Centro de Envejecientes,Seguro Choferil,15.6
Centro de Envejecientes,Seguro Social Federal,9486.0
Centro de Envejecientes,Plan Medico,10080.0
Centro de Envejecientes,Bono Navideno,4200.0
Centro de Envejecientes,Miscelaneos,35000.0
Centro de Envejecientes,Empleados Transitorios,32148.0
Aportaciones Federales,Empleados Regulares,26352.0
Aportaciones Federales,Seguro Choferil,78.0
Aportaciones Federales,Seguro Social Federal,2536.13
Aportaciones Federales,Bono Navideno,3600.0
Aportaciones Federales,Plan Medico,4800.0
Cultura y Turismo,Empleados Regulares,65700.0
Cultura y Turismo,Seguro Choferil,31.2
Cultura y Turismo,Seguro Social Federal,6414.37
Cultura y Turismo,Plan Medico,5760.0
Cultura y Turismo,Bono Navideno,2400.0
Cultura y Turismo,Festival o Actividad I,35000.0
Cultura y Turismo,Festival o Actividad I,40000.0
Cultura y Turismo,Fiestas Patronales,27500.0
Cultura y Turismo,Festival o Actividad I,30000.0
Cultura y Turismo,Empleados Transitorios,14148.0
Asuntos del Ciudadano,Empleados Regulares,55704.0
Asuntos del Ciudadano,Seguro Choferil,46.8
Asuntos del Ciudadano,Seguro Social Federal,6977.41
Asuntos del Ciudadano,Plan Medico,7200.0
Asuntos del Ciudadano,Bono Navideno,3000.0
Asuntos del Ciudadano,Donaciones,80000.0
Asuntos del Ciudadano,Empleados Transitorios,30504.0
Secretaria Municipal,Empleados Regulares,57912.0
Secretaria Municipal,Seguro Choferil,15.6
Secretaria Municipal,Seguro Social Federal,4659.77
Secretaria Municipal,Plan Medico,4320.0
Secretaria Municipal,Bono Navideno,1800.0
Secretaria Municipal,Publicaciones y Anuncios,15000.0
Auditoria Interna,Empleados Regulares,27600.0
Auditoria Interna,Seguro Choferil,15.6
Auditoria Interna,Seguro Social Federal,2187.9
Auditoria Interna,Plan Medico,1440.0
Auditoria Interna,Bono Navideno,600.0
Educacion,Empleados Regulares,28296.0
Educacion,Seguro Social Federal,2317.64
Educacion,Plan Medico,2880.0
Educacion,Bono Navideno,1200.0
Planificacion y Desarrollo,Empleados Regulares,135252.0
Planificacion y Desarrollo,Seguro Social Federal,10882.28
Planificacion y Desarrollo,Plan Medico,10080.0
Planificacion y Desarrollo,Bono Navideno,4200.0
Planificacion y Desarrollo,Seguro Choferil,62.4
Turismo,Empleados Regulares,100620.0
Turismo,Seguro Choferil,31.2
Turismo,Seguro Social Federal,8079.93
Turismo,Plan Medico,7200.0
Turismo,Bono Navideno,3000.0
Turismo,Miscelaneos,3000.0
Turismo,Compra de Equipos,10000.0
Desarrollo Social y Participacion Ciudadana,Empleados Regulares,123444.0
Desarrollo Social y Participacion Ciudadana,Seguro Choferil,109.2
Desarrollo Social y Participacion Ciudadana,Seguro Social Federal,11432.47
Desarrollo Social y Participacion Ciudadana,Plan Medico,11520.0
Desarrollo Social y Participacion Ciudadana,Bono Navideno,4800.0
Desarrollo Social y Participacion Ciudadana,Miscelaneos,2000.0
Reciclaje,Empleados Regulares,14148.0
Reciclaje,Seguro Choferil,15.6
Reciclaje,Seguro Social Federal,1158.82
Reciclaje,Plan Medico,1440.0
Reciclaje,Bono Navideno,600.0
Asuntos de la Juventud,Empleados Regulares,72084.0
Asuntos de la Juventud,Seguro Choferil,15.6
Asuntos de la Juventud,Seguro Social Federal,5820.43
Asuntos de la Juventud,Plan Medico,5760.0
Asuntos de la Juventud,Bono Navideno,2400.0
Asuntos de la Juventud,Otros Festivales o Actividades,5000.0
Asuntos de la Juventud,Donaciones,1000.0
Asuntos de la Juventud,Donaciones,15000.0
Asuntos de la Juventud,Miscelaneos,5000.0
Desarrollo Social y Participacion Ciudadana,Empleados Transitorios,18000.0
Asuntos de la Juventud,Becas,5000.0
Asuntos de la Juventud,Renta de Equipos y Vehiculos,5000.0
Recursos Humanos,Compra de Uniformes,20000.0
Asuntos de la Juventud,Donaciones,10000.0
Legislatura Municipal,Beneficios Marginales,2400.0
Oficina del Alcalde(sa),Beneficios Marginales,1600.0
Finanzas,Beneficios Marginales,8000.0
Obras Publicas,Beneficios Marginales,18800.0
Oficina Municipal Manejo de Emergencias,Beneficios Marginales,6000.0
Guardia Municipal,Beneficios Marginales,11200.0
Recursos Humanos,Beneficios Marginales,4000.0
Recreacion y Deportes,Beneficios Marginales,4800.0
Centro de Envejecientes,Beneficios Marginales,2800.0
Aportaciones Federales,Beneficios Marginales,3200.0
Cultura y Turismo,Beneficios Marginales,1600.0
Asuntos del Ciudadano,Beneficios Marginales,2000.0
Secretaria Municipal,Beneficios Marginales,1200.0
Auditoria Interna,Beneficios Marginales,400.0
Educacion,Beneficios Marginales,800.0
Planificacion y Desarrollo,Beneficios Marginales,2800.0
Turismo,Beneficios Marginales,2000.0
Desarrollo Social y Participacion Ciudadana,Beneficios Marginales,3200.0
Reciclaje,Beneficios Marginales,400.0
Asuntos de la Juventud,Beneficios Marginales,1600.0
