departamento,ingreso,monto
Finanzas,Compensacion AEE,312104.0
Finanzas,Otros Ingresos Intergubernamentales,4056946.33
Finanzas,Disposicion Derperdicios,170382.81
Finanzas,Patentes,1045634.96
Finanzas,Arbitrios de Construccion,978619.62
Finanzas,Impuesto Municipal sobre las Ventas,647826.08
Finanzas,Licencias y Permisos,25000.0
Finanzas,Multas,5000.0
Finanzas,Renta Locales y Propiedad Municipal,30888.0
Finanzas,Otros Ingresos,40000.0
Finanzas,Otros Ingresos,12000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,10000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,15000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1919295.34
Finanzas,Permisos de Uso Parques y Recreos,5000.0
Finanzas,Otros Ingresos por Servicios,10000.0
Finanzas,Otros Ingresos por Servicios,5000.0
Finanzas,Otros Ingresos,5000.0
Finanzas,Ingresos Eventuales,575323.04
