departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,74028.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Enfermedad,2524.0
Legislatura Municipal,Seguro Social Federal,5971.0
Legislatura Municipal,Plan Medico,5400.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Materiales de Oficina,1440.0
Legislatura Municipal,Telefono y Comunicaciones,1410.0
Legislatura Municipal,Compra de Equipos,3506.0
Legislatura Municipal,Dietas,30000.0
Legislatura Municipal,Gastos de Representacion,3600.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,30000.0
Legislatura Municipal,Relaciones Publicas,2812.0
Legislatura Municipal,Gastos de Viaje,2400.0
Legislatura Municipal,Cuotas y Suscripciones,2100.0
Legislatura Municipal,Renta de Equipos y Vehiculos,500.0
Legislatura Municipal,Mantenimiento de Vehiculos,7500.0
Legislatura Municipal,Miscelaneos,320.0
Legislatura Municipal,Publicaciones y Anuncios,1920.0
Oficina del Alcalde(sa),Empleados Regulares,412188.0
Oficina del Alcalde(sa),Empleados Transitorios,94836.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,11336.0
Oficina del Alcalde(sa),Seguro Social Federal,40534.0
Oficina del Alcalde(sa),Plan Medico,43200.0
Oficina del Alcalde(sa),Bono Navideno,11500.0
Oficina del Alcalde(sa),Beneficios Marginales,900.0
Oficina del Alcalde(sa),Materiales de Oficina,1792.0
Oficina del Alcalde(sa),Gastos de Representacion,3600.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,105000.0
Oficina del Alcalde(sa),Relaciones Publicas,20000.0
Oficina del Alcalde(sa),Gastos de Viaje,3000.0
Oficina del Alcalde(sa),Donaciones,20000.0
Oficina del Alcalde(sa),Becas,5250.0
Oficina del Alcalde(sa),Mantenimiento de Edificios,7000.0
Oficina del Alcalde(sa),Miscelaneos,5083.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,2400.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Empleados Regulares,38400.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,1309.09
Oficina del Alcalde(sa),Seguro Social Federal,3076.0
Oficina del Alcalde(sa),Plan Medico,1800.0
Oficina del Alcalde(sa),Bono Navideno,500.0
Finanzas,Empleados Regulares,447984.0
Finanzas,Empleados Transitorios,66000.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,20000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,13394.0
Finanzas,Seguro Choferil,3500.0
Finanzas,Seguro Social Federal,43022.0
Finanzas,Plan Medico,54000.0
Finanzas,Bono Navideno,15000.0
Finanzas,Seguro por Desempleo,40000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,364347.0
Finanzas,Materiales de Oficina,5500.0
Finanzas,Acueducto y Alcantarillados,320000.0
Finanzas,Telefono y Comunicaciones,52200.0
Finanzas,Materiales y Suministros de Operacion,6000.0
Finanzas,Compra de Equipos,9000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),20000.0
Finanzas,Servicios Profesionales - No Clasificados,205000.0
Finanzas,Pruebas de Dopaje,1000.0
Finanzas,Gastos de Viaje,5600.0
Finanzas,Seguros,339000.0
Finanzas,Cuotas y Suscripciones,10000.0
Finanzas,Renta de Edificios, Locales y Terrenos,1000.0
Finanzas,Renta de Equipos y Vehiculos,40000.0
Finanzas,Intereses Cuentas Vendidas,6861.0
Finanzas,Miscelaneos,78019.0
Finanzas,Franqueo,6000.0
Finanzas,Pago de Sentencias y Reclamaciones,169146.0
Finanzas,Reclamaciones Anos Anteriores,4000.0
Finanzas,Aportacion al Fondo de Equiparacion,1459449.0
Finanzas,Aportacion al CRIM,157258.0
