departamento,ingreso,monto
Finanzas,Patentes,2785000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1475000.0
Finanzas,Fondo Desarrollo Municipal,250000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,0.0
Finanzas,Arbitrios de Construccion,418265.0
Finanzas,Licencias y Permisos,13500.0
Finanzas,Compensacion AEE,732831.0
Finanzas,Otros Ingresos Intergubernamentales,3148729.0
Finanzas,Permisos de Uso Parques y Recreos,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,82000.0
Finanzas,Otros Ingresos por Servicios,12000.0
Finanzas,Ingresos por Servicios Transportacion,0.0
Finanzas,Multas,10000.0
Finanzas,Intereses en Inversiones,12000.0
Finanzas,Estacionamiento,40000.0
Finanzas,Ingresos Eventuales,1500.0
Finanzas,Renta Locales y Propiedad Municipal,236698.0
Finanzas,Otros IngresosVentas Sellos y,392345.0
Finanzas,Comprobantes Contribucion,10000.0
Finanzas,Propiedad No Transferencias que,3279477.0
Finanzas,Entran,360000.0
Empresas,Otros Ingresos,130000.0
Contribucion,Otros Ingresos,0.0
Recaudos e Ingresos,Otros Ingresos,7000.0
