departamento,gasto,monto
Educacion,Gastos de Transportacion a Estudiantes,163.0
Educacion,Empleados Regulares,254862.0
Educacion,Empleados Transitorios,4924608.0
Educacion,Seguro Social Federal,405654.0
Educacion,Plan Medico,528000.0
Educacion,Beneficio por Fondo del Seguro del Estado,11495.0
Educacion,Bono Navideno,123200.0
Educacion,Materiales de Oficina,19500.0
Educacion,Alimentos,25000.0
Educacion,Compra de Uniformes,407.0
Cultura y Turismo,Empleados Regulares,400980.0
Cultura y Turismo,Empleados Transitorios,126858.0
Cultura y Turismo,Seguro Social Federal,41236.0
Cultura y Turismo,Plan Medico,48000.0
Cultura y Turismo,Beneficio por Fondo del Seguro del Estado,11320.0
Cultura y Turismo,Bono Navideno,11200.0
Cultura y Turismo,Materiales de Oficina,500.0
Cultura y Turismo,Materiales y Suministros de Operacion,1000.0
Cultura y Turismo,Servicios Profesionales - No Clasificados,64800.0
Cultura y Turismo,Renta de Equipos y Vehiculos,5662.0
Cultura y Turismo,Miscelaneos,36844.0
Cultura y Turismo,Empleados Regulares,519630.0
Cultura y Turismo,Empleados Transitorios,833811.0
Cultura y Turismo,Seguro Social Federal,107371.0
Cultura y Turismo,Plan Medico,198000.0
Cultura y Turismo,Beneficio por Fondo del Seguro del Estado,29474.0
Cultura y Turismo,Bono Navideno,46200.0
Cultura y Turismo,Beneficios Marginales,3900.0
Cultura y Turismo,Materiales de Oficina,1050.0
Cultura y Turismo,Alimentos,1000.0
Cultura y Turismo,Compra de Uniformes,1000.0
Cultura y Turismo,Materiales de Construccion,12000.0
Cultura y Turismo,Materiales y Suministros de Operacion,21550.0
Cultura y Turismo,Gastos de Representacion,250.0
Cultura y Turismo,Servicios Profesionales - No Clasificados,409564.0
Cultura y Turismo,Servicios No Profesionales,1800.0
Cultura y Turismo,Donaciones,70000.0
Cultura y Turismo,Renta de Equipos y Vehiculos,35480.0
Cultura y Turismo,Reparacion y Mantenimiento de Estructuras,4250.0
Cultura y Turismo,Miscelaneos,2156051.0
Cultura y Turismo,Publicaciones y Anuncios,30000.0
