departamento,ingreso,monto
Finanzas,Patentes,112287237.0
Finanzas,Impuesto Municipal sobre las Ventas,52489563.0
Finanzas,Intereses y Recargos por Demoras en Patentes,4294423.0
Finanzas,Otros Impuestos Locales,130000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),123686921.0
Finanzas,Arbitrios de Construccion,24213844.0
Finanzas,Licencias y Permisos,21715.0
Finanzas,Compensacion AEE,14539276.0
Finanzas,Otros Ingresos por Servicios,123000.0
Finanzas,Multas,10315000.0
Finanzas,Intereses en Inversiones,3363826.0
Finanzas,Ingresos Eventuales,16108794.0
Finanzas,Otros Ingresos,13654299.0
Desarrollo Economico,Licencias y Permisos,3166.0
Desarrollo Economico,Permisos de Uso Estadios y Coliseos,1471910.0
Desarrollo Economico,Otros Ingresos por Servicios,872657.0
Desarrollo Economico,Estacionamiento,4531949.0
Desarrollo Economico,Renta Locales y Propiedad Municipal,1924521.0
Planificacion y,Licencias y PermisosOtros Ingresos por,8855.0
Recreacion y,ServiciosPermisos de Uso,180000.0
Recreacion y,Parques y RecreosRenta Locales y,525100.0
Deportes,Propiedad Municipal,3620.0
Salud,Servicios de SaludServicios Medicos,8380827.0
Salud,HospitalariosServicios Medicos,24988229.0
Salud,AmbulatoriosRenta Locales y,5531119.0
Oficina Municipal,Propiedad MunicipalOtros Ingresos por,2743224.0
Manejo de,ServiciosOtros Ingresos por,600000.0
Oficina de,Servicios,25000.0
Permisos,Licencias y Permisos,1341732.0
Secretaria,EstacionamientoOtros Ingresos por,105000.0
Municipal,Servicios,94537.0
Obras Publicas,Licencias y PermisosRenta Locales y,16433.0
Recreacion y,Propiedad MunicipalPermisos de Uso,180000.0
Deportes,Estadios y Coliseos,5000.0
