departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,32400.0
Legislatura Municipal,Seguro Choferil,18.6
Legislatura Municipal,Seguro Social Federal,2478.6
Legislatura Municipal,Plan Medico,1800.0
Legislatura Municipal,Materiales de Mantenimiento,600.0
Legislatura Municipal,Compra de Equipos,6000.0
Legislatura Municipal,Dietas,34000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,12000.0
Legislatura Municipal,Servicios Legales,20000.0
Legislatura Municipal,Cuotas y Suscripciones,1600.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,18000.0
Legislatura Municipal,Mantenimiento de Equipo,400.0
Legislatura Municipal,Publicaciones y Anuncios,800.0
Legislatura Municipal,Otros Festivales o Actividades,25443.0
Oficina del Alcalde(sa),Empleados Regulares,177708.0
Oficina del Alcalde(sa),Empleados Transitorios,51360.0
Oficina del Alcalde(sa),Seguro Choferil,93.0
Oficina del Alcalde(sa),Seguro Social Federal,17523.7
Oficina del Alcalde(sa),Plan Medico,7908.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,472528.0
Oficina del Alcalde(sa),Servicios No Profesionales,150000.0
Oficina del Alcalde(sa),Gastos de Viaje,20000.0
Oficina del Alcalde(sa),Servicios Legales,99000.0
Oficina del Alcalde(sa),Donaciones,250000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,37583.0
Oficina del Alcalde(sa),Miscelaneos,325000.0
Oficina del Alcalde(sa),Festival o Actividad III,350000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,175000.0
Finanzas,Empleados Regulares,202332.0
Finanzas,Empleados Transitorios,191496.0
Finanzas,Seguro Choferil,167.4
Finanzas,Seguro Social Federal,40914.34
Finanzas,Plan Medico,15000.0
Finanzas,Seguro por Desempleo,318083.21
Finanzas,SINOT,35175.59
Finanzas,Bono Navideno,141000.0
Finanzas,Beneficios Marginales,56600.0
Finanzas,Beneficio por Fondo del Seguro del Estado,226231.91
Finanzas,Energia Electrica,498138.32
Finanzas,Acueducto y Alcantarillados,600000.0
Finanzas,Telefono y Comunicaciones,113376.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),25000.0
Finanzas,Servicios Profesionales - No Clasificados,201451.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,10000.0
Finanzas,Seguros,700000.0
Finanzas,Renta de Edificios, Locales y Terrenos,18000.0
Finanzas,Deficit,26695.87
Finanzas,Intereses Cuentas Vendidas,17666.95
Finanzas,Miscelaneos,30000.0
Finanzas,Franqueo,15000.0
Finanzas,Pago de Sentencias y Reclamaciones,55377.94
Finanzas,Reclamaciones Anos Anteriores,30000.0
Finanzas,,397629.9
Finanzas,Aportacion al CRIM,141658.96
Finanzas,Liquidacion Deuda del CRIM,48912.2
Finanzas,Otros Festivales o Actividades,64707.98
Finanzas,Transferencias que Salen,411155.95
Finanzas,Transferencias que Salen,121611.67
Obras Publicas,Empleados Regulares,325548.0
Obras Publicas,Empleados Transitorios,1409520.0
Obras Publicas,Seguro Choferil,1097.4
Obras Publicas,Seguro Social Federal,132732.7
Obras Publicas,Plan Medico,45600.0
Obras Publicas,Combustible y Lubricantes,300000.0
Obras Publicas,Materiales de Construccion,300000.0
Obras Publicas,Compra de Equipos,7000.0
Obras Publicas,Servicios No Profesionales,8000.0
Obras Publicas,Costos de Construccion,120000.0
Obras Publicas,Mantenimiento de Vehiculos,280000.0
Obras Publicas,Mantenimiento de Equipo,10000.0
Obras Publicas,Disposicion de Desperdicios,500000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,66420.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,421020.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,409.2
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,37289.16
Oficina Municipal Manejo de Emergencias,Plan Medico,21600.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,30000.0
Oficina Municipal Manejo de Emergencias,Servicios No Profesionales,2000.0
Guardia Municipal,Empleados Regulares,314976.0
Guardia Municipal,Empleados Transitorios,118944.0
Guardia Municipal,Seguro Choferil,316.2
