departamento,ingreso,monto
Finanzas,Patentes,3305767.0
Finanzas,Impuesto Municipal sobre las Ventas,1091906.0
Finanzas,Intereses y Recargos por Demoras en Patentes,20000.0
Finanzas,Arbitrios de Construccion,1113840.0
Finanzas,Otros Impuestos Locales,500000.0
Finanzas,Licencias y Permisos,2000.0
Finanzas,Compensacion AEE,386453.0
Finanzas,Otros Ingresos Intergubernamentales,4128409.34
Finanzas,Servicios Parques Diversiones,100.0
Finanzas,Otros Ingresos por Servicios,50000.0
Finanzas,Ingresos por Servicios Transportacion,1000.0
Finanzas,Multas,5000.0
Finanzas,Intereses Bancarios,3500.0
Finanzas,Ingresos Eventuales,1000000.0
Finanzas,Renta Locales y Propiedad Municipal,81900.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2981953.69
