departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,46992.0
Legislatura Municipal,Seguro Choferil,31.2
Legislatura Municipal,Seguro Social Federal,3747.89
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Beneficio por Fondo del Seguro del Estado,1487.78
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Equipo de Oficina,2000.0
Legislatura Municipal,Dietas,18500.0
Legislatura Municipal,Servicios Legales,24000.0
Legislatura Municipal,Cuotas y Suscripciones,1000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1150.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,4500.0
Legislatura Municipal,Otros Festivales o Actividades,1500.0
Oficina del Alcalde(sa),Empleados Regulares,298032.0
Oficina del Alcalde(sa),Empleados Transitorios,77292.0
Oficina del Alcalde(sa),Seguro Choferil,156.0
Oficina del Alcalde(sa),Seguro Social Federal,29553.79
Oficina del Alcalde(sa),Plan Medico,14400.0
Oficina del Alcalde(sa),Beneficio por Fondo del Seguro del Estado,14586.41
Oficina del Alcalde(sa),Bono Navideno,11000.0
Oficina del Alcalde(sa),Combustible y Lubricantes,15000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,23104.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,6500.0
Oficina del Alcalde(sa),Becas,45000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,5060.0
Oficina del Alcalde(sa),Mantenimiento de Vehiculos,12000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,20000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,5000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,10000.0
Oficina del Alcalde(sa),Seguros,31134.04
Oficina del Alcalde(sa),Miscelaneos,1500.0
Oficina del Alcalde(sa),Empleados Regulares,73873.68
Oficina del Alcalde(sa),Empleados Transitorios,30192.0
Oficina del Alcalde(sa),Empleados Irregulares,28275.36
Oficina del Alcalde(sa),Seguro Choferil,109.2
Oficina del Alcalde(sa),Seguro Social Federal,10812.59
Oficina del Alcalde(sa),Plan Medico,8400.0
Oficina del Alcalde(sa),Beneficio por Fondo del Seguro del Estado,7719.77
Oficina del Alcalde(sa),Bono Navideno,9000.0
Oficina del Alcalde(sa),Combustible y Lubricantes,15000.0
Oficina del Alcalde(sa),Servicios No Profesionales,2700.0
Oficina del Alcalde(sa),Gastos de Viaje,14700.0
Oficina del Alcalde(sa),Donaciones,25000.0
Oficina del Alcalde(sa),Mantenimiento de Vehiculos,15000.0
Finanzas,Empleados Regulares,285576.0
Finanzas,Empleados Transitorios,181512.0
Finanzas,Empleados Irregulares,18879.12
Finanzas,Seguro Choferil,312.0
Finanzas,Seguro Social Federal,39165.48
Finanzas,Plan Medico,28800.0
Finanzas,Beneficio por Fondo del Seguro del Estado,14945.61
Finanzas,Bono Navideno,26000.0
Finanzas,Combustible y Lubricantes,5000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),28800.0
Finanzas,Servicios Profesionales - No Clasificados,83700.0
Finanzas,Gastos de Viaje,2500.0
Finanzas,Renta de Edificios, Locales y Terrenos,42360.0
Finanzas,Renta de Equipos y Vehiculos,1771.0
Finanzas,Intereses Cuentas Vendidas,10766.77
Finanzas,Mantenimiento de Vehiculos,5000.0
Finanzas,Miscelaneos,9000.0
Finanzas,Liquidacion Deuda del CRIM,81268.9
Finanzas,Materiales de Oficina,30000.0
Finanzas,Materiales de Mantenimiento,1750.0
Finanzas,Equipo de Oficina,35000.0
Finanzas,Seguros,31134.04
Finanzas,Miscelaneos,1000.0
Finanzas,Pago de Sentencias y Reclamaciones,15669.82
Finanzas,Reclamaciones Anos Anteriores,5000.0
Finanzas,Reserva,3363393.83
Finanzas,Aportacion al CRIM,171987.3
Obras Publicas,Empleados Regulares,311595.36
Obras Publicas,Empleados Transitorios,175241.04
Obras Publicas,Empleados Irregulares,423123.95
Obras Publicas,Seguro Choferil,842.4
Obras Publicas,Seguro Social Federal,73895.97
Obras Publicas,Plan Medico,28800.0
Obras Publicas,Beneficio por Fondo del Seguro del Estado,86713.7
Obras Publicas,Bono Navideno,56000.0
Obras Publicas,Materiales de Mantenimiento,8250.0
Obras Publicas,Combustible y Lubricantes,400000.0
Obras Publicas,Materiales de Construccion,40000.0
Obras Publicas,Compra de Equipos,35000.0
Obras Publicas,Servicios Profesionales - No Clasificados,38000.0
Obras Publicas,Servicios No Profesionales,14700.0
Obras Publicas,Gastos de Viaje,5000.0
Obras Publicas,Canon Excavaciones y Demoliciones,8000.0
Obras Publicas,Renta de Edificios, Locales y Terrenos,11160.0
Obras Publicas,Renta de Equipos y Vehiculos,48349.0
Obras Publicas,Mantenimiento de Vehiculos,145000.0
Obras Publicas,Mantenimiento de Edificios,80000.0
Obras Publicas,Miscelaneos,500.0
Obras Publicas,Materiales y Suministros de Operacion,40000.0
Obras Publicas,Seguros,186804.26
Obras Publicas,Reparacion y Mantenimiento de Estructuras,150000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,82500.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,71888.4
Oficina Municipal Manejo de Emergencias,Empleados Irregulares,127271.76
Oficina Municipal Manejo de Emergencias,Seguro Choferil,296.4
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,22924.0
Oficina Municipal Manejo de Emergencias,Plan Medico,10800.0
Oficina Municipal Manejo de Emergencias,Beneficio por Fondo del Seguro del Estado,12202.64
Oficina Municipal Manejo de Emergencias,Bono Navideno,18000.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,1250.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,20000.0
Oficina Municipal Manejo de Emergencias,Combustible y Lubricantes,20000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,15000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,15000.0
Oficina Municipal Manejo de Emergencias,Servicios No Profesionales,2700.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,5000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,1265.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,30000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,500.0
Oficina Municipal Manejo de Emergencias,Seguros,31134.04
Guardia Municipal,Empleados Regulares,145801.68
Guardia Municipal,Empleados Transitorios,241435.68
