departamento,ingreso,monto
Finanzas,Otros Ingresos,20000.0
Finanzas,Patentes,2000000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1244173.0
Finanzas,Intereses y Recargos por Demoras en Patentes,0.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,710000.0
Finanzas,Licencias y Permisos,35000.0
Finanzas,Compensacion AEE,603921.91
Finanzas,Otros Ingresos Intergubernamentales,3627326.35
Finanzas,Permisos de Uso Estadios y Coliseos,187260.0
Finanzas,Otros Ingresos por Servicios,65000.0
Finanzas,Multas,4000.0
Finanzas,Intereses en Inversiones,64000.0
Finanzas,Intereses Bancarios,40000.0
Finanzas,Ingresos Eventuales,175000.0
Finanzas,Renta Locales y Propiedad Municipal,62100.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros IngresosVentas Sellos y,3605000.0
Finanzas,Comprobantes Contribucion,110000.0
Finanzas,Propiedad No,3549389.13
Finanzas,Otros Intereses,0.0
Finanzas,Otros Ingresos,0.0
Finanzas,Otros Ingresos,30000.0
Empresas,Otros Ingresos,0.0
Desarrollo,Otros IngresosOtros Ingresos por,40000.0
Desarrollo,Servicios,80000.0
Contribucion,Otros Ingresos,456500.0
Recaudos e Ingresos,Otros Ingresos,15000.0
