departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,43296.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,3465.14
Legislatura Municipal,Plan Medico,1560.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Dietas,38251.49
Legislatura Municipal,Renta de Equipos y Vehiculos,6240.0
Legislatura Municipal,Miscelaneos,1250.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Oficina del Alcalde(sa),Empleados Regulares,293520.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,14704.0
Oficina del Alcalde(sa),Seguro Choferil,176.0
Oficina del Alcalde(sa),Seguro Social Federal,24420.64
Oficina del Alcalde(sa),Plan Medico,9360.0
Oficina del Alcalde(sa),Bono Navideno,11000.0
Oficina del Alcalde(sa),Materiales de Oficina,2200.0
Oficina del Alcalde(sa),Compra de Uniformes,1000.0
Oficina del Alcalde(sa),Equipo de Oficina,750.0
Oficina del Alcalde(sa),Gastos de Representacion,8000.0
Oficina del Alcalde(sa),Gastos de Viaje,1500.0
Oficina del Alcalde(sa),Servicios Legales,72000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,4000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,2500.0
Finanzas,Empleados Regulares,147228.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,12000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,6904.8
Finanzas,Seguro Choferil,80.0
Finanzas,Seguro Social Federal,13321.16
Finanzas,Plan Medico,6240.0
Finanzas,Seguro por Desempleo,30000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,153610.45
Finanzas,Bono Navideno,8000.0
Finanzas,Equipo de Oficina,1250.0
Finanzas,Materiales de Oficina,12000.0
Finanzas,Acueducto y Alcantarillados,175000.0
Finanzas,Telefono y Comunicaciones,45000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21850.0
Finanzas,Servicios Profesionales - No Clasificados,270400.0
Finanzas,Servicios No Profesionales,650000.0
Finanzas,Gastos de Viaje,250.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,320000.0
Finanzas,Renta de Equipos y Vehiculos,17500.0
Finanzas,Deficit,37585.6
Finanzas,Intereses Cuentas Vendidas,29787.56
Finanzas,Mantenimiento de Equipo,6000.0
Finanzas,Miscelaneos,10403.15
Finanzas,Pago de Sentencias y Reclamaciones,100000.0
Finanzas,Reclamaciones Anos Anteriores,368572.8
Finanzas,Aportacion al CRIM,107319.12
Finanzas,Aportacion al Fondo de Equiparacion,844030.15
Finanzas,Liquidacion Deuda del CRIM,41221.29
Finanzas,Transferencias que Salen,184848.94
Obras Publicas,Empleados Regulares,510828.0
Obras Publicas,Vacaciones Acumuladas, Licencia Enfermedad,26689.42
Obras Publicas,Seguro Choferil,208.0
Obras Publicas,Seguro Social Federal,43721.08
Obras Publicas,Plan Medico,26520.0
Obras Publicas,Bono Navideno,34000.0
Obras Publicas,Combustible y Lubricantes,200000.0
Obras Publicas,Disposicion de Desperdicios,1914528.0
Obras Publicas,Materiales de Oficina,400.0
Obras Publicas,Energia Electrica,420608.0
Obras Publicas,Materiales de Construccion,13000.0
Obras Publicas,Materiales y Suministros de Operacion,35000.0
Obras Publicas,Compra de Equipos,30000.0
Obras Publicas,Gastos de Viaje,4000.0
Obras Publicas,Servicios de Ingenieria y Arquitectura,72000.0
Obras Publicas,Costos de Construccion,18500.0
Obras Publicas,Renta de Edificios, Locales y Terrenos,12.0
Obras Publicas,Renta de Equipos y Vehiculos,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,8500.0
Obras Publicas,Mantenimiento de Vehiculos,75000.0
Obras Publicas,Mantenimiento de Edificios,75000.0
Obras Publicas,Miscelaneos,20000.0
Salud,Empleados Regulares,62208.0
Salud,Vacaciones Acumuladas, Licencia Enfermedad,4665.6
Salud,Seguro Choferil,64.0
Salud,Seguro Social Federal,5421.83
Salud,Plan Medico,3120.0
Salud,Bono Navideno,4000.0
Salud,Materiales y Suministros de Operacion,4000.0
Salud,Servicios Profesionales - No Clasificados,553000.0
Salud,Miscelaneos,160000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,30348.0
Oficina Municipal Manejo de Emergencias,Vacaciones Acumuladas, Licencia Enfermedad,1098.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,16.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,2558.62
Oficina Municipal Manejo de Emergencias,Plan Medico,1560.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,2000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,500.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,150.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,150.0
Oficina Municipal Manejo de Emergencias,Alimentos,400.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,400.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,3500.0
Guardia Municipal,Empleados Regulares,307704.0
Guardia Municipal,Vacaciones Acumuladas, Licencia Enfermedad,15958.38
Guardia Municipal,Seguro Choferil,304.0
Guardia Municipal,Seguro Social Federal,26290.17
Guardia Municipal,Plan Medico,15600.0
Guardia Municipal,Bono Navideno,20000.0
Guardia Municipal,Materiales de Oficina,400.0
Guardia Municipal,Compra de Uniformes,4000.0
Guardia Municipal,Miscelaneos,3000.0
Recursos Humanos,Empleados Regulares,24000.0
Recursos Humanos,Empleados Transitorios,871230.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,17734.92
Recursos Humanos,Seguro Choferil,128.0
Recursos Humanos,Seguro Social Federal,74431.82
Recursos Humanos,Plan Medico,780.0
Recursos Humanos,Bono Navideno,60000.0
Recursos Humanos,Equipo de Oficina,750.0
Recursos Humanos,Materiales de Oficina,1500.0
Recursos Humanos,Adiestramientos,1500.0
Recursos Humanos,Pruebas de Dopaje,2500.0
Recursos Humanos,Servicios Legales,30000.0
Recreacion y Deportes,Empleados Regulares,91560.0
Recreacion y Deportes,Vacaciones Acumuladas, Licencia Enfermedad,6693.0
Recreacion y Deportes,Seguro Choferil,80.0
Recreacion y Deportes,Seguro Social Federal,7975.35
Recreacion y Deportes,Plan Medico,4680.0
Recreacion y Deportes,Bono Navideno,6000.0
Recreacion y Deportes,Compra de Equipos,1500.0
Recreacion y Deportes,Dietas,4750.0
Recreacion y Deportes,Materiales de Oficina,250.0
Recreacion y Deportes,Materiales y Suministros de Operacion,1750.0
