departamento,ingreso,monto
Finanzas,Patentes,1631501.0
Finanzas,Impuesto Municipal sobre las Ventas,1515037.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,422500.0
Finanzas,Licencias y Permisos,3000.0
Finanzas,Compensacion AEE,382356.0
Finanzas,Otros Ingresos Intergubernamentales,3151846.02
Finanzas,Disposicion Derperdicios,5000.0
Finanzas,Multas,10000.0
Finanzas,Intereses Bancarios,1300.0
Finanzas,Ingresos Eventuales,25000.0
Finanzas,Renta Locales y Propiedad Municipal,150000.0
Finanzas,Otros Ingresos,10000.0
Finanzas,Otros Recursos Financieros,1138839.33
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2214987.42
Finanzas,Transferencias que Entran,0.0
