departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,69864.0
Legislatura Municipal,Seguro Social Federal,5427.0
Legislatura Municipal,Plan Medico,6300.0
Legislatura Municipal,Bono Navideno,1050.0
Legislatura Municipal,Dietas,52500.0
Legislatura Municipal,Materiales y Suministros de Operacion,2000.0
Legislatura Municipal,Equipo de Oficina,3000.0
Legislatura Municipal,Servicios Legales,18000.0
Legislatura Municipal,Cuotas y Suscripciones,3000.0
Legislatura Municipal,Miscelaneos,3000.0
Legislatura Municipal,Publicaciones y Anuncios,1000.0
Oficina del Alcalde(sa),Empleados Regulares,228972.0
Oficina del Alcalde(sa),Empleados Transitorios,40116.0
Oficina del Alcalde(sa),Seguro Social Federal,20830.0
Oficina del Alcalde(sa),Plan Medico,21000.0
Oficina del Alcalde(sa),Bono Navideno,3100.0
Oficina del Alcalde(sa),Donaciones,5000.0
Oficina del Alcalde(sa),Gastos de Viaje,500.0
Oficina del Alcalde(sa),Servicios Legales,116000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,11000.0
Finanzas,Empleados Regulares,254244.0
Finanzas,Empleados Transitorios,115752.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,10000.0
Finanzas,Seguro Social Federal,28850.0
Finanzas,Plan Medico,42000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,179906.11
Finanzas,Bono Navideno,7000.0
Finanzas,Energia Electrica,592833.0
Finanzas,Acueducto y Alcantarillados,250000.0
Finanzas,Telefono y Comunicaciones,120000.0
Finanzas,Materiales y Suministros de Operacion,4000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),22000.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,420000.0
Finanzas,Renta de Edificios, Locales y Terrenos,74400.0
Finanzas,Renta de Equipos y Vehiculos,72000.0
Finanzas,Intereses,134000.0
Finanzas,Deficit,200000.0
Finanzas,Intereses Cuentas Vendidas,16125.82
Finanzas,Miscelaneos,38000.0
Finanzas,Pago de Sentencias y Reclamaciones,160000.0
Finanzas,Reclamaciones Anos Anteriores,175000.0
Finanzas,Aportacion al Fondo de Equiparacion,1004344.0
Finanzas,Aportacion al CRIM,229476.0
Finanzas,Liquidacion Deuda del CRIM,763710.68
Finanzas,Empleados Regulares,127428.0
Finanzas,Empleados Transitorios,57216.0
Finanzas,Seguro Social Federal,15418.0
Finanzas,Plan Medico,18900.0
Finanzas,Bono Navideno,3500.0
Finanzas,Miscelaneos,3000.0
Obras Publicas,Empleados Regulares,644976.0
Obras Publicas,Empleados Transitorios,31608.0
Obras Publicas,Seguro Social Federal,74760.0
Obras Publicas,Plan Medico,94500.0
Obras Publicas,Bono Navideno,22400.0
Obras Publicas,Combustible y Lubricantes,210000.0
Obras Publicas,Materiales de Construccion,125000.0
Obras Publicas,Materiales y Suministros de Operacion,60000.0
Obras Publicas,Compra de Equipos,50000.0
Obras Publicas,Mantenimiento de Equipo,120000.0
Obras Publicas,Miscelaneos,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,10000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,180446.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,406980.0
