departamento,ingreso,monto
Finanzas,Patentes,1792619.53
Finanzas,Impuesto Municipal sobre las Ventas,1355000.0
Finanzas,Arbitrios de Construccion,367344.65
Finanzas,Licencias y Permisos,9000.0
Finanzas,Compensacion AEE,525853.05
Finanzas,Otros Ingresos Intergubernamentales,3317588.0
Finanzas,Multas,7000.0
Finanzas,Ingresos Eventuales,500.0
Finanzas,Renta Locales y Propiedad Municipal,54000.0
Finanzas,Otros Ingresos,2264900.0
Finanzas,Ventas Sellos y Comprobantes Departamento de Hacienda,6500.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),4797530.0
